HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US47011,47011,67547,24655,41077,5108,11539,6539,6347,32724,6649,2947,2496,6084,19.08,73.09,9.01,95.33,3.95,0.85,0.25,0.23,0.01,0.23,47.05,30.18,13.9,7.03,6.61
050US47013,47013,34923,13162,19729,2499,6143,3194,2511,14792,3420,1824,1767,4478,16.34,67.1,12.82,99.2,0.49,0.56,0.16,0.06,0.01,0.08,62.55,30.68,24.82,13.45,8.17
050US47015,47015,10234,3983,5962,753,1552,877,754,4326,1131,482,541,1449,15.94,64.79,14.16,97.93,1.83,0.61,0.06,0.09,0,0.1,55.38,27.58,17.53,5.78,8.99
050US47017,47017,28285,11278,16015,1908,4308,2478,2054,11545,2904,1535,1560,4525,16.02,62.79,16,88.23,11.47,0.59,0.08,0.06,0.01,0.16,56.74,27.38,17.14,7.91,8.49
050US47019,47019,50205,19105,30375,3217,7720,4465,4339,22562,5291,2726,2442,6247,17.54,66.72,12.44,98.89,0.85,0.44,0.09,0.1,0,0.07,52.98,27.06,18.82,9.74,6.47
050US47021,47021,21616,7434,12735,1647,3928,2128,1653,10389,2115,883,763,1891,17.49,73.85,8.75,97.02,2.75,0.59,0.11,0.08,0,0.04,50.45,32.34,10.87,7.85,4.99
050US47023,47023,12727,4468,7749,855,1823,1614,1435,6086,1136,588,593,1646,23.96,68.86,12.93,89.02,10.74,0.49,0.04,0.1,0,0.09,55.59,26.18,20.71,6.32,5.77
050US47025,47025,24595,9227,14439,1829,4163,2318,2147,11279,2299,1217,1062,2746,18.15,70.22,11.16,98.4,1.28,0.6,0.19,0.03,0,0.1,61.19,30.13,29.32,9.13,10.1
050US47027,47027,7676,2952,4422,532,1162,682,611,3279,760,414,421,1108,16.84,64.79,14.43,98.29,1.46,0.46,0.1,0.14,0,0,65.75,27.96,26.78,9.59,7.49
050US47029,47029,28792,11277,17157,1967,4839,2604,2395,13050,3176,1335,1255,3170,17.36,68.96,11.01,97.32,2.32,0.79,0.09,0.05,0,0.22,59.91,29.4,27.54,15.09,9.96
050US47031,47031,38311,14970,22923,2790,6020,3567,2997,16913,4361,2169,1755,4303,17.13,67.14,11.23,95.86,3.5,0.57,0.08,0.43,0,0.14,43.9,28.93,14.3,6.77,8.82
050US47033,47033,14941,5638,8208,1016,2325,1488,1111,6225,1331,808,811,2425,17.4,64.03,16.23,80.88,18.93,0.64,0.07,0.05,0,0.07,55.03,28.83,21.77,8.96,4.58
