origin,count within 60,count within 30,minutes
7082,2,0,33.25
7083,27,7,0.0
7086,95,10,21.53
7087,91,6,20.69
7088,30,5,15.33
7090,17,4,18.51
7092,11,4,20.7
7093,94,4,23.7
7094,63,2,0.0
7095,19,9,0.0
7102,32,14,0.0
7103,31,14,0.0
7104,24,15,12.54
7105,31,13,10.41
7106,28,15,9.87
7107,26,16,0.0
7108,26,13,9.46
7109,21,5,0.0
7110,25,3,14.37
7111,28,15,0.0
7112,26,17,12.08
7114,26,11,12.39
7201,32,8,9.89
7202,35,8,0.0
7203,29,10,10.47
7204,28,6,16.0
7205,27,16,15.85
7206,34,5,0.0
7208,33,8,0.0
7302,101,10,0.0
7304,94,7,0.0
7305,84,7,0.0
7306,89,7,0.0
7307,87,9,14.4
7310,93,10,9.44
7311,104,24,6.56
7401,16,2,26.37
7403,1,1,26.01
7405,1,0,38.56
7407,23,11,14.95
7410,23,11,0.0
7416,2,0,48.76
7417,13,1,24.2
7419,1,0,58.91
7420,1,1,0.0
7423,19,1,13.23
7424,17,4,0.0
7430,2,0,47.98
7432,19,2,12.9
7436,3,0,35.39
7438,1,0,56.69
7439,2,1,26.42
7440,5,0,42.96
7442,2,1,16.85
7444,1,0,33.72
7446,2,0,36.54
7450,21,14,0.0
7452,22,18,12.24
7456,1,0,33.07
7457,1,1,29.62
7458,19,0,35.96
7463,18,2,19.54
7465,1,1,19.98
7470,15,0,37.57
7481,19,2,0.0
7495,2,0,51.62
7501,24,12,0.0
7502,22,6,12.66
7503,26,13,0.0
7504,23,11,0.0
7505,24,12,3.42
7506,21,12,22.76
7508,21,5,18.11
7512,16,6,17.11
7513,24,11,4.96
7514,23,11,6.8
7522,24,12,9.33
7524,23,11,11.91
7601,29,2,0.0
7603,40,3,11.8
7604,25,2,16.56
7605,61,6,17.23
7606,24,2,14.57
7607,23,14,9.32
7608,25,2,17.79
7620,7,0,40.55
7621,19,1,19.5
7624,11,0,39.73
7626,9,1,25.81
7627,13,0,31.69
7628,16,1,28.19
7630,17,6,27.12
7631,31,1,0.0
7632,59,1,11.13
7640,14,0,43.02
7641,14,0,36.57
7642,22,0,36.41
7643,18,2,21.52
7644,25,2,20.28
7645,13,0,39.18
7646,16,9,21.6
7647,11,4,27.35
7648,17,0,35.1
7649,17,6,17.24
7650,63,2,19.82
7652,22,7,0.0
7656,13,0,38.96
7657,69,1,15.36
7660,36,2,20.4
7661,21,8,20.18
7662,23,14,13.81
7663,24,11,21.5
7666,33,3,15.92
7670,17,1,15.54
7675,12,0,38.46
7676,18,7,23.8
7677,20,0,37.99
7701,18,16,0.0
7702,24,14,0.0
7703,25,15,0.0
7704,17,10,0.0
7711,17,8,13.16
7712,16,8,0.0
7716,13,0,33.11
7717,9,8,24.86
7718,14,3,22.75
7719,8,0,22.75
7720,9,8,20.06
7721,15,6,14.64
7722,32,1,0.0
7723,18,3,19.94
7724,26,13,0.0
7726,16,1,0.0
7727,17,0,40.71
7728,16,9,0.0
7730,12,9,0.0
7731,8,2,0.0
7732,4,0,51.4
7733,19,1,20.0
7734,11,5,0.0
7735,15,9,0.0
7737,13,0,30.04
7738,21,7,0.0
7739,19,15,12.61
7740,23,4,0.0
7746,21,6,0.0
7747,21,6,0.0
7748,14,0,32.89
7750,15,1,20.14
7751,16,10,0.0
7753,17,8,0.0
7755,23,3,19.29
7756,9,8,19.49
7757,19,10,13.67
7758,16,3,14.21
7760,17,1,16.93
7762,8,0,42.33
7764,25,8,12.21
7801,5,4,0.0
7803,6,4,18.7
7821,3,0,39.39
7822,2,0,35.49
7823,1,0,52.71
7826,1,0,58.64
7827,3,0,53.38
7828,2,0,31.21
7830,1,0,46.57
7832,1,0,48.98
7833,1,0,55.49
7834,8,1,25.93
7836,3,1,23.62
7842,3,1,26.19
7843,3,1,28.18
7846,1,0,57.39
7847,6,3,16.33
7848,3,1,0.0
7849,5,0,38.73
7850,4,0,31.39
7852,5,1,0.0
7856,5,1,29.37
7857,2,2,14.16
7860,2,1,0.0
7865,1,0,50.49
7866,4,3,0.0
7869,8,3,0.0
7871,2,1,0.0
7874,2,1,0.0
7876,5,1,21.9
7878,8,0,32.93
7882,1,0,45.7
7885,5,2,20.84
7901,12,2,0.0
