origin,count within 30,minutes
7627,52,15.83
7628,65,10.68
7630,45,8.71
7631,74,8.19
7632,73,7.31
7640,41,16.16
7641,57,13.07
7642,33,11.7
7643,77,9.66
7644,67,8.08
7645,7,14.99
7646,60,8.17
7647,31,13.29
7648,40,13.82
7649,62,6.63
7650,79,6.5
7652,55,0.0
7656,14,14.38
7657,78,8.27
7660,73,9.75
7661,67,8.3
7662,69,6.36
7663,57,7.34
7666,77,7.72
7670,66,11.69
7675,27,12.9
7676,41,8.8
7677,10,13.51
7701,9,0.0
7702,8,5.62
7703,8,9.48
7704,6,5.37
7711,6,10.49
7712,7,7.19
7716,5,11.52
7717,8,7.6
7718,7,8.91
7719,8,9.27
7720,7,8.27
7721,14,4.83
7722,8,16.92
7723,6,12.69
7724,8,8.26
7726,8,16.92
7727,7,12.5
7728,12,0.0
7730,11,4.49
7731,7,17.5
7732,6,13.56
7733,8,10.49
7734,6,6.93
7735,11,0.0
7737,7,10.25
7738,8,8.67
7739,7,6.46
7740,6,14.3
7746,10,13.55
7747,11,6.39
7748,7,7.48
7750,4,15.33
7751,10,13.49
7753,8,0.0
7755,7,11.98
7756,6,9.74
7757,8,10.48
7758,7,8.23
7760,6,10.42
7762,8,11.42
7764,8,13.0
7801,3,9.59
7803,1,14.05
7820,1,23.78
7821,2,16.27
7822,2,12.51
7823,1,26.25
7825,1,22.16
7826,1,21.39
7827,1,16.72
7828,2,22.38
7834,6,0.0
7836,2,22.72
7840,1,29.43
7842,2,11.37
7843,1,23.46
7846,1,15.66
7847,2,15.4
7848,1,11.42
7849,2,18.3
7850,2,19.81
7851,2,26.4
7852,2,19.59
7856,2,17.05
7857,2,20.04
7860,1,0.0
7863,1,27.19
7865,1,29.42
7866,3,9.97
7869,2,15.31
7871,2,18.68
7874,2,22.65
7876,1,20.86
7878,8,5.14
7882,1,19.79
7885,3,11.66
7901,18,11.24
7920,6,18.63
7921,5,12.83
7922,13,13.94
7924,4,23.56
7926,1,25.69
7927,11,13.42
7928,14,16.59
7930,2,25.94
7931,2,21.7
7932,13,16.4
7933,11,14.14
7934,3,18.77
7935,11,19.42
7936,14,13.19
7939,5,17.91
7940,13,15.52
7945,1,25.86
7946,5,18.64
7950,6,14.82
7960,11,15.19
7961,11,19.82
7970,1,23.97
7974,15,15.59
7976,5,26.04
7977,5,16.82
7979,1,25.22
7980,6,16.04
7981,13,13.16
8001,3,17.87
8002,32,0.0
8003,26,9.84
8004,9,17.62
8005,3,24.48
8007,30,6.96
8009,10,14.89
8010,22,15.62
8011,8,11.47
8012,22,0.0
8014,10,11.61
8015,2,25.74
8016,20,8.12
8020,22,18.95
8021,22,7.55
8022,6,16.89
8023,13,5.08
8026,23,8.42
8027,19,17.04
8028,12,14.94
8029,30,5.38
8030,32,6.98
8031,32,8.59
8033,31,8.07
8034,29,7.8
8035,31,8.51
8036,16,9.01
