origin,count within 30,minutes
6060,6,27.08
6061,13,14.18
6062,127,0.0
6063,9,12.12
6065,9,18.6
6066,76,0.0
6067,125,14.71
6068,3,27.61
6069,7,11.9
6070,36,17.48
6071,36,13.44
6073,60,15.54
6074,80,0.0
6076,24,0.0
6078,63,9.96
6081,55,11.93
6082,73,0.0
6084,57,11.34
6085,80,11.83
6088,70,0.0
6089,75,14.5
6090,9,25.22
6091,9,17.67
6092,9,22.64
6093,31,19.09
6095,94,0.0
6096,71,7.86
6098,9,0.0
6103,136,2.27
6105,136,0.0
6106,136,0.0
6107,124,6.24
6108,120,0.0
6109,126,8.0
6110,124,6.73
6111,126,8.02
6112,136,0.0
6114,136,0.0
6117,90,6.26
6118,105,0.0
6119,126,3.85
6120,136,0.0
6160,136,3.37
6226,12,0.0
6231,15,14.08
6232,35,16.16
6234,9,10.06
6235,5,12.54
6237,23,10.27
6238,35,17.58
6239,11,0.0
6241,10,11.14
6242,10,14.56
6243,13,13.35
6247,5,19.93
6248,27,22.58
6249,13,16.27
6250,7,9.5
6254,19,11.85
6255,13,11.17
6256,14,9.72
6259,8,13.53
6260,12,0.0
6262,11,11.05
6263,11,11.43
6264,15,12.31
6266,13,9.02
6268,13,16.09
6269,18,15.03
6277,13,11.76
6278,12,0.0
6279,28,12.09
6280,14,7.24
6281,9,16.4
6282,6,17.44
6320,20,0.0
6330,16,14.56
6331,6,15.95
6332,18,6.13
6333,23,10.16
6334,25,9.73
6335,19,14.57
6336,22,12.04
6339,20,19.12
6340,21,0.0
6350,12,20.03
6351,20,0.0
6353,21,7.08
6354,9,0.0
6355,11,10.47
6357,23,12.18
6359,13,18.8
6360,23,0.0
6365,14,14.29
6370,16,18.44
6371,14,9.52
6373,6,12.6
6374,20,8.55
6375,20,0.0
6376,14,16.53
6377,5,10.1
6378,11,13.77
6379,11,5.54
6380,25,8.15
6382,21,0.0
6384,12,15.9
6385,23,0.0
6387,9,7.86
6389,28,6.18
6401,122,0.0
6403,60,8.68
6405,70,0.0
6409,28,9.6
6410,143,13.33
6412,27,17.75
6413,29,0.0
6414,76,6.78
6415,19,0.0
6416,122,9.59
6417,23,16.54
6418,122,4.51
6419,25,11.21
6420,24,16.18
6422,48,17.24
6423,5,11.35
6424,62,12.08
6426,28,9.05
6437,65,12.92
6438,23,14.71
6441,27,19.07
6442,24,14.56
6443,28,11.42
6444,94,7.9
6447,76,15.68
6450,183,0.0
6451,167,0.0
6455,67,9.11
6456,59,9.24
6457,104,0.0
6460,106,0.0
6461,106,0.0
6467,132,9.3
6468,46,15.11
6469,24,0.0
6470,18,0.0
6471,80,9.26
6472,98,9.67
6473,111,0.0
6475,17,0.0
6477,111,9.5
6478,33,17.2
6479,116,11.09
6480,106,0.0
6481,82,7.1
6482,29,12.76
6483,118,8.88
6484,117,9.45
6488,31,14.48
6489,111,9.9
6492,136,0.0
6498,8,8.77
6510,120,0.0
6511,101,0.0
6512,86,0.0
6513,91,0.0
6514,107,0.0
6515,136,0.0
6516,108,0.0
6517,85,8.64
6518,113,8.56
6519,126,0.0
6524,77,13.05
6525,138,5.89
6604,70,0.0
6605,85,0.0
6606,72,0.0
6607,84,0.0
6608,84,0.0
6610,84,0.0
6611,79,0.0
6612,56,9.74
6614,84,0.0
6615,108,0.0
6702,71,0.0
6704,56,0.0
6705,76,0.0
6706,93,0.0
6708,72,0.0
6710,56,0.0
6712,113,8.57
6716,72,8.8
6750,6,20.67
6751,20,20.68
6752,16,24.76
6754,3,29.65
6755,5,10.29
6756,9,14.74
6757,1,22.36
6758,8,28.1
6759,18,15.73
6762,36,6.4
6763,34,21.92
6770,93,0.0
6776,15,20.24
6778,41,17.54
6779,59,6.86
6782,60,13.24
6783,7,25.76
6784,17,17.5
6785,1,20.23
6786,62,9.38
6787,60,13.97
6790,36,0.0
6791,36,12.24
6795,45,9.54
6796,9,24.92
6798,17,16.76
