"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"01118",2018,14980,69.6,17.08,0.61,4.12,0,8.6,20.9,9.94,10.59,58.02,16.17,12.9
"01119",2018,13626,71.53,20.25,0,1.54,0,6.69,28.51,12.33,20.42,58.48,15.42,16.3
"01128",2018,2672,73.02,16.13,0.52,2.43,0,7.9,17.07,8.24,11.71,43.34,22.57,20.7
"01129",2018,6762,75.14,16.55,0.12,2.23,0,5.96,17.86,9.46,11.09,53.71,17.72,13.9
"01151",2018,8807,65.89,23.72,0,1.08,0,9.31,35.06,22.52,13.73,65.49,11.89,17.5
"01199",2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01201",2018,44607,87.23,4.83,0.33,1.98,0.06,5.57,6.24,9.72,11.1,51.46,19.3,17.3
"01220",2018,8209,97.16,0.66,0.04,0.6,0,1.55,1.07,10.93,9.89,49.32,19.78,16.2
"01222",2018,810,98.52,0,0.49,0,0,0.99,0.99,16.61,10.37,48.27,26.3,16.2
"01223",2018,2402,93.8,2.54,0.21,0.17,0,3.29,4.58,6.28,6.29,40.13,22.4,12.2
"01224",2018,210,100,0,0,0,0,0,0,12.38,3.81,15.71,0,30
"01225",2018,3135,97.96,0.67,0.45,0,0,0.93,3.09,6.27,11.9,41.95,22.2,18.6
"01226",2018,6782,95.64,0.19,0.55,1.83,0,1.8,3.86,4.22,9.14,43.87,20.98,15.4
"01229",2018,70,87.14,0,0,0,0,12.86,14.29,22.86,0,0,54.29,28.6
"01230",2018,8542,89.9,3.14,0.08,1.36,0.06,5.47,7.66,6.73,15.39,43.76,24.27,10.7
"01235",2018,2640,97.61,0.23,0.19,0,0.08,1.89,1.17,7.23,8.75,42.73,18.18,13.3
"01236",2018,1140,93.07,5.79,0,0,0,1.14,7.19,8.54,12.19,40.88,27.54,11.7
"01237",2018,2580,96.01,2.44,0,0.23,0,1.32,1.09,4.27,5.89,44.88,22.02,12.4
"01238",2018,5903,90.68,1.68,0.12,3.3,0,4.22,1.76,8.26,10.13,48.2,24,13.1
"01240",2018,4441,93.94,2.54,0.63,1.13,0,1.76,4.57,4.64,11.84,35.51,40.76,17.1
"01242",2018,471,100,0,0,0,0,0,0,0.6,0,63.27,14.01,9.1
