"GEOID","year","totWrkE","eduP","hghRskP","hltCrP","retailP"
"02142",2018,2002,0,88.16,0,3.8
"02143",2018,18883,0.35,65.32,0.33,5.21
"02144",2018,18429,0.71,78.09,0.21,5.91
"02145",2018,16096,1.02,53.38,0.75,3.17
"02148",2018,32501,0.82,45.54,0.87,2.7
"02149",2018,24084,1.72,27.58,0.64,0.79
"02150",2018,20616,1.5,25.97,0.7,0.57
"02151",2018,27782,1.17,27.23,0.6,0.95
"02152",2018,10268,1.32,45.08,0.8,0.94
"02155",2018,35454,1.37,55.86,0.43,3.35
"02163",2018,518,0.77,84.56,0,4.63
"02169",2018,31776,1.15,50.32,1.03,1.7
"02170",2018,11248,2.28,42.92,1.11,1.81
"02171",2018,10855,0.53,57.49,0.35,2.01
"02176",2018,16259,1.25,64.02,0.54,4.56
"02180",2018,12406,1.52,56.41,1.09,2.94
"02184",2018,19651,1.33,53.89,0.95,2.23
"02186",2018,14014,1.08,61.65,1.19,0.88
"02188",2018,8584,1.08,44.19,0.91,2.69
"02189",2018,8675,1.34,40.8,0.56,0.52
"02190",2018,9594,1.74,43.59,1.19,1.66
"02191",2018,4522,1.37,42.61,1,3.27
"02199",2018,609,1.31,83.58,0,0
"02203",2018,0,NA,NA,NA,NA
"02210",2018,2479,0.44,84.27,0.61,2.02
"02215",2018,12710,1.22,45,0,1.96
"02301",2018,29879,1.37,23.11,0.74,0.42
"02302",2018,16584,1.24,24.45,0.84,1.01
"02322",2018,2569,0.62,35.07,1.52,4.17
"02324",2018,14571,1.41,41.34,0.53,1.24
"02330",2018,5725,1.08,28.03,1.97,0.33
"02332",2018,7220,1.15,61.11,0.22,2.44
"02333",2018,7397,1.01,33.5,1.72,1.32
"02338",2018,4441,0.65,34.56,1.91,0.83
"02339",2018,7293,2.1,46.59,1.54,0.75
"02341",2018,6212,1.26,43.75,1.3,1.18
"02343",2018,5249,0.4,44.22,1.05,2.21
"02346",2018,12829,1.07,41.3,1.76,2.03
"02347",2018,6311,2.22,39.87,2.63,1.77
"02351",2018,9649,0.83,38.93,1.66,2.95
"02356",2018,7095,0.9,52.92,0.63,1.23
"02357",2018,567,9.17,22.93,0,2.82
"02359",2018,10351,1.28,44.83,0.7,2.04
"02360",2018,30590,1.5,38.87,1.85,2.06
"02364",2018,7066,1.9,45.66,2.79,1.66
"02366",2018,0,NA,NA,NA,NA
"02367",2018,1549,1.03,41.32,3.49,1.29
"02368",2018,18154,1.26,34.66,1.35,1.63
"02370",2018,9979,2.8,37.57,1.54,1.46
"02375",2018,5677,0.7,47.24,0.63,2.48
"02379",2018,3704,1.24,37.26,0.43,2.56
"02382",2018,8333,0.76,37.68,0.83,2.44
"02420",2018,6932,1.02,85.89,0.29,4.27
"02421",2018,9004,0.62,79.44,0.42,5.7
"02445",2018,12210,1.28,69.4,0.07,1.56
"02446",2018,17116,0.78,65.72,0,2.48
"02451",2018,10980,1.75,56.14,0.53,4.97
"02452",2018,8007,0.67,48.59,0,2.41
"02453",2018,17342,1.33,50.67,0.26,2.98
"02457",2018,698,1.43,24.64,0.86,0
"02458",2018,6878,2.02,67.64,0.79,2.31
"02459",2018,9812,0.65,82.56,0.19,3.81
"02460",2018,5282,1.4,61.36,0.49,3.05
"02461",2018,4010,0,79.7,0,1.87
"02462",2018,751,6.52,72.04,0,4.93
"02464",2018,1796,0,72.16,0.56,1.5
"02465",2018,6434,2.18,70.98,0.85,2.6
