"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"27017",2018,35540,89.26,1.77,5.46,0.51,0,3.01,1.76,5.89,11.51,54.82,16.71,12.7
"27019",2018,100416,92.45,1.71,0.2,2.82,0,2.8,4.14,3.61,12.88,60.49,10.92,6.7
"27021",2018,29022,84.48,0.43,11.59,0.63,0.04,2.82,2.14,8.3,9.56,45.9,24.82,15.5
"27023",2018,12010,90.88,0.68,1.85,0.92,1.14,4.52,6.87,9.33,11.67,53.06,20.51,13.6
"27025",2018,54727,95.29,1.28,0.46,1.01,0.03,1.93,2.09,5.67,12.14,55.8,14.4,11.9
"27027",2018,62801,90.79,3.1,1.63,1.02,0.02,3.44,4.45,5.12,19.06,65.39,12.86,9.9
"27029",2018,8812,85.97,0.39,8.49,0.44,0.02,4.69,2.05,14.31,10.91,53.03,20.06,16.8
"27031",2018,5311,86.88,0.45,8.72,0.88,0,3.07,2.26,3.38,8.57,41.14,26.61,13.6
"27033",2018,11372,89.77,0.75,0.33,3.5,0.23,5.43,7.42,9.64,11.06,51.57,22.48,14.4
"27035",2018,63855,96.05,0.75,0.96,0.41,0,1.83,1.45,6.26,10.69,50.85,21.45,14.1
"27037",2018,418201,82.59,5.92,0.31,4.73,0.05,6.4,6.98,5.13,12.25,59.1,13.11,8.8
"27039",2018,20582,95.57,0.24,0.44,0.81,0.01,2.93,5.01,5.21,12.5,59.11,14.03,8.7
"27041",2018,37203,96.95,0.48,0.31,0.3,0,1.96,1.6,4.97,10.67,50.88,22,12.6
"27043",2018,13896,97.43,0.18,0.23,0.28,0,1.88,6.68,8.44,10.36,48.95,22.58,12.5
"27045",2018,20888,97.86,0.49,0.04,0.51,0.01,1.09,1.54,8.73,10.7,52.72,20.31,11.3
"27047",2018,30526,93.17,1.34,0.42,2.2,0.05,2.83,9.62,10.15,10.45,50.63,21.76,13.8
"27049",2018,46217,94.26,1.12,1.02,0.76,0,2.84,3.34,5.65,11.31,52.54,18.55,10.7
"27051",2018,5938,97.07,0.17,0.4,0.02,0,2.34,2.26,6.38,9.62,49.81,23.12,14.1
"27053",2018,1235478,72.64,13.05,0.71,7.09,0.04,6.47,6.9,6.79,12.15,61.17,13.29,9.9
"27055",2018,18663,97.09,0.99,0.23,0.7,0.02,0.98,1.08,5.39,10.72,49.82,20.21,11.3
"27057",2018,20862,93.76,0.74,2.19,0.59,0,2.72,2.06,7.14,9.4,46.39,24.5,15.3
"27059",2018,38974,95.33,0.49,0.41,1.3,0.02,2.46,1.93,8.34,11.73,56.64,15.05,13.1
"27061",2018,45203,92.84,0.5,3.68,0.41,0,2.56,1.41,6.44,10.72,48.73,21.96,15.5
"27063",2018,10047,94.55,0.13,0.1,2.89,0,2.34,3.46,6.88,11.37,50.93,20.84,10.8
"27065",2018,16004,96.3,0.35,0.85,0.54,0.01,1.95,1.55,9.6,11.19,50.29,19.75,18
"27067",2018,42658,88.58,4.82,0.42,0.91,0,5.28,11.9,11.5,12.3,55.97,17.87,11.9
"27069",2018,4337,97.69,0.88,0.37,0.35,0,0.71,2.1,5.96,11.34,47.04,23.43,11.5
"27071",2018,12644,93.48,0.48,3.61,0.47,0,1.96,0.32,7.68,10.37,44.9,23.3,16.9
"27073",2018,6773,96.53,0.84,0.21,0.83,0,1.59,2.2,7.32,10.38,43.79,26.16,14.9
"27075",2018,10569,96.63,0.74,0.58,0.03,0.41,1.62,1.53,3.99,8.83,43.63,25.05,14.2
"27077",2018,3809,93.1,0.03,0.29,0.84,0,5.75,1.68,8.4,8.4,42.85,22.63,10.7
"27079",2018,27983,96.12,0.84,0.19,0.49,0.01,2.34,5.87,7.23,11.89,54.54,16.84,10.8
"27081",2018,5707,97.76,0.26,1.02,0.16,0,0.81,1.91,8.68,9.79,49.05,24.58,13.1
"27083",2018,25839,86.96,3.48,0.38,4.14,0.01,5.02,6.66,7.96,14.64,60.77,14.97,9.8
"27085",2018,35825,94.92,0.56,0.19,0.63,0,3.71,6.04,7.01,11.88,55.18,17.87,11.8
"27087",2018,5506,47.2,0.51,40.37,0.38,0.27,11.26,4.16,13.05,12.33,58.99,17.33,15
"27089",2018,9392,97.11,0.38,0.3,0.33,0.02,1.85,4.42,11.45,11.05,51.06,20.58,12.3
"27091",2018,19964,96.21,0.32,0.13,0.38,0.07,2.9,4.26,7.26,10.94,49.76,22.45,14.1
"27093",2018,23079,97.36,0.55,0.15,0.28,0.05,1.61,3.83,7.4,11.45,53.17,18.91,11.2
"27095",2018,25728,90.48,0.42,5.03,0.8,0.05,3.22,2.35,10.18,11.44,54.84,17.75,15.4
"27097",2018,32949,96.74,0.53,0.22,0.47,0,2.04,1.66,9.93,11.07,52.97,18.46,12.5
"27099",2018,39602,88.34,3.6,0.17,3.11,0.39,4.39,11.29,13.06,12.16,56.53,18.32,12.5
"27101",2018,8353,96.56,0.59,0.23,1.25,0,1.38,3.83,9.56,10.07,46.95,25,12.9
"27103",2018,33783,92.53,3.15,0.03,1.75,0,2.54,4.45,5.76,16.66,60.57,15.07,12
"27105",2018,21839,79.1,4.67,0.6,6.55,0.03,9.05,27.16,22.24,12.7,60.22,15.61,12.6
"27107",2018,6559,93.18,0.53,2.53,0.63,0,3.13,5.02,8.71,11.62,51,21.24,12.2
"27109",2018,153065,84.21,5.92,0.31,5.82,0.05,3.69,4.84,5.6,11.59,59.89,14.63,10.1
"27111",2018,57992,95.21,1.38,0.51,0.6,0.02,2.27,3.35,7.71,10.87,48.31,22.84,13.1
"27113",2018,14184,93.59,1.23,1.74,0.99,0.01,2.45,3.57,7.48,11.76,56.58,17.48,12.1
"27115",2018,29129,91.44,2.27,2.46,0.57,0.08,3.18,2.87,10.37,10.88,50.49,19.43,17.4
"27117",2018,9185,92.67,1.4,1.69,0.93,0,3.31,6.58,12.41,11.33,53.08,20.42,14.1
