ID,address,city,state,zip,Longitude,Latitude,Match Score
126,2101 Garner Drive ,Raleigh,NC,27610,-78.63014401804197,35.752173995483744,98.04
127,Phoenix Wellness & Rejuvenation Center 116 E Steuben Street,Bath,NY,14810,-77.31390836523563,42.33324878492074,94.59
128,607 West Country Club ,Roswell,NM,88201,-104.53104533466093,33.42335532113141,98.84
129,7335 Frankford Avenue ,Philadelphia,FL,19134,-75.03939696356623,40.03729090096297,98.16
130,Life & Health Services 1814 Cumberland Avenue,Middlesboro,KY,40965,-83.71333034909375,36.60740131720702,96.79
131,120 Coastal Horizons Drive ,Shallotte,NC,28470,-78.34825399254834,33.99381101317415,100
132,3974 Springfield Road ,Glen Allen,VA,23060,-77.55930710470284,37.644095606004846,100
133,"Rapha Centre 482 Interstate Drive, Suite D",Manchester,TN,37355,-86.07812808178267,35.497954811667306,99.58
134,Narrow Path Family Health 158 Pike Street,Port Jervis,NY,12771-1800,-74.69053821390989,41.37681055878146,96.07
135,El Rio Community Health Center - Cherrybell 1230 S Cherrybell Avenue,Tucson,AZ,85713,-110.96996999999999,32.20005000000003,85
136,START TREATMENT & RECOVERY CENTERS: Bushwick  Clinic 1149-55 Myrtle Avenue,Brooklyn,NY,11206,-73.93487385191716,40.69704064200497,94.08
137,Keystone Substance Abuse Services 195 S. Herlong Avenue,Rock Hill,SC,29732,-81.04907712016676,34.955396314596435,95.05
138,2711 Murfreesboro Pike STE 201 ,Antioch,TN,37013,-86.63509942900168,36.07089163086876,100
139,77 Hospital Drive Suite 100 Advanced OBGYN Women's Health Center,Logan,WV,25601,-81.99425702116194,37.84630286544399,95.3
140,Urb. Gran Vista II Plaza 5 # 46,Gurabo,PR,778,-66.00365882087667,18.234113831182025,96.67
141,10301 HAGEN RANCH ROAD SUITE B6,BOYNTON BEACH,FL,33437,-80.16690402299487,26.52313500015211,100
142,"North Country Healthcare, Inc. 2650 E Show Low Lake Road, Suite 1",Show Low,AZ,85901,-110.013286,34.20252300000004,97.22
143,7900 Highway 570 W ,Summit,MS,39652,-90.54963221924737,31.268380960404805,96.96
144,118 Monahan Avenue ,Dunmore,PA,18444,-75.615452227935,41.431563916351315,98.33
145,"Front Range Clinic 755 North Avenue, Suite B-C",Grand Junction,CO,81504,-108.55957399521003,39.077312536107954,99.26
146,PO Box 1807 ,Post Falls,ID,83877,-116.91578999999996,47.70980000000003,98
147,3 Broadway ,Cape May Court House,NJ,8204,-74.81844479908172,39.088289602235086,98.75
148,132 Village Center ,Harlan,KY,40831,-83.31600481915447,36.816147533056366,98.82
