"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"132","Compass Health Inc","Pathways Comm Behavioral Hlthcare","206 South Mill Street",NA,"Eldon","MO","65026","1864","buprenorphine","29131","Miller","SAMHSA",c(-92.578125, 38.3483763),-92.578125,38.3483763
"133","Valley Hope Association","Valley Hope of Boonville","1415 Ashley Road",NA,"Boonville","MO","65233",NA,"buprenorphine","29053","Cooper","SAMHSA",c(-92.7652055, 38.9531109),-92.7652055,38.9531109
"134","Compass Health Inc","Pathways Comm Behavioral Healthcare","319 Main Street",NA,"Boonville","MO","65233","1565","buprenorphine","29053","Cooper","SAMHSA",c(-92.7440787, 38.9758834),-92.7440787,38.9758834
"135","Counseling Associates",NA,"2526 Highway 65 South","Suite 201","Clinton","AR","72031",NA,"buprenorphine","05141","Van Buren","SAMHSA",c(-92.4507586, 35.5588442),-92.4507586,35.5588442
"136","BHG XXVIII LLC","BHG West Plains Treatment Center","1639 Bruce Smith Parkway",NA,"West Plains","MO","65775",NA,"buprenorphine","29091","Howell","SAMHSA",c(-91.8757748, 36.7125583),-91.8757748,36.7125583
"137","Family Counseling Center Inc","Turning Leaf","1015 Lanton Road",NA,"West Plains","MO","65775",NA,"buprenorphine","29091","Howell","SAMHSA",c(-91.8428035, 36.7131685),-91.8428035,36.7131685
"138","Counseling Associates Mountain View","Outpatient Clinic","106 Mountain Place Drive",NA,"Mountain View","AR","72560",NA,"buprenorphine","05137","Stone","SAMHSA",c(-92.1255919, 35.8643197),-92.1255919,35.8643197
"139","Preferred Family Healthcare Inc",NA,"210 Hoover Road",NA,"Jefferson City","MO","65109",NA,"buprenorphine","29051","Cole","SAMHSA",c(-92.221681, 38.597596),-92.221681,38.597596
"140","Lighthouse Behavioral Wellness Centers","(previously MHSSO)","2530 South Commerce Street","Building B","Ardmore","OK","73401",NA,"buprenorphine","40019","Carter","SAMHSA",c(-97.1411329, 34.1428018),-97.1411329,34.1428018
"141","Preferred Family Healthcare Inc","Jefferson City Adolescent CSTAR","101 Adams Street",NA,"Jefferson City","MO","65101",NA,"buprenorphine","29051","Cole","SAMHSA",c(-92.166089, 38.575804),-92.166089,38.575804
"142","Compass Health Inc","Pathways Comm Behavioral Hlthcare","1000 West Nifong Street","Building 6 Suite 220-B","Columbia","MO","65203",NA,"buprenorphine","29019","Boone","SAMHSA",c(-92.3559343, 38.9077234),-92.3559343,38.9077234
"143","Southwest Arkansas Csl and MHC",NA,"1312 West Collin Raye Drive",NA,"De Queen","AR","71832",NA,"buprenorphine","05133","Sevier","SAMHSA",c(-94.3531812, 34.0468489),-94.3531812,34.0468489
"144","Harry S Truman Memorial","Veterans Hospital","800 Hospital Drive",NA,"Columbia","MO","65201",NA,"buprenorphine","29019","Boone","SAMHSA",c(-92.3288487, 38.9372354),-92.3288487,38.9372354
"145","Compass Health Inc","Pathways Comm Behavioral Hlthcare","117 North Garth Avenue",NA,"Columbia","MO","65203",NA,"buprenorphine","29019","Boone","SAMHSA",c(-92.3393599, 38.9538144),-92.3393599,38.9538144
"146","Compass Health Inc","Pathways Comm Behavioral Hlthcare","201 North Garth Avenue",NA,"Columbia","MO","65203",NA,"buprenorphine","29019","Boone","SAMHSA",c(-92.3392283, 38.9544162),-92.3392283,38.9544162
"147","Phoenix Programs Inc",NA,"90 East Leslie Lane",NA,"Columbia","MO","65202",NA,"buprenorphine","29019","Boone","SAMHSA",c(-92.335645, 38.9716408),-92.335645,38.9716408
"148","Compass Health Inc","Pathways Comm Behavioral Hlthcare","1448 East 10th Street",NA,"Rolla","MO","65401",NA,"buprenorphine","29161","Phelps","SAMHSA",c(-91.751325, 37.9506681),-91.751325,37.9506681
"149","DRD Management Inc","BHG Columbia Treatment Center","1301 Vandiver Drive","Suite Y","Columbia","MO","65202",NA,"buprenorphine","29019","Boone","SAMHSA",c(-92.3208527, 38.9719349),-92.3208527,38.9719349
"150","Reality House Programs Inc","Clinical Services Department","1301 Vandiver Drive","Suites 103-105-107-109","Columbia","MO","65202",NA,"buprenorphine","29019","Boone","SAMHSA",c(-92.3208527, 38.9719349),-92.3208527,38.9719349
"151","Carl Albert","Community Mental Health Center","2000 East Lincoln Street",NA,"Idabel","OK","74745",NA,"buprenorphine","40089","McCurtain","SAMHSA",c(-94.8027463, 33.8802524),-94.8027463,33.8802524
"152","Family Guidance Center",NA,"109 East Summit Drive",NA,"Maryville","MO","64468",NA,"buprenorphine","29147","Nodaway","SAMHSA",c(-94.8741228, 40.3198747),-94.8741228,40.3198747
"153","Southern Oklahoma Treatment Services",NA,"1307 SW Washington Avenue",NA,"Lawton","OK","73501",NA,"buprenorphine","40031","Comanche","SAMHSA",c(-98.4084557, 34.5936287),-98.4084557,34.5936287
"154","Counseling Associates",NA,"115 South 3rd Street",NA,"Heber Springs","AR","72543",NA,"buprenorphine","05023","Cleburne","SAMHSA",c(-92.0311839, 35.4909896),-92.0311839,35.4909896
"155","Ouachita Behav Health and Wellness",NA,"125 Wellness Way",NA,"Hot Springs National Park","AR","71913",NA,"buprenorphine","05051","Garland","SAMHSA",c(-93.07873, 34.464022),-93.07873,34.464022
"156","Stockton Medical Group of Hot Springs",NA,"1 Mercy Lane","Suite 403","Hot Springs National Park","AR","71913",NA,"buprenorphine","05051","Garland","SAMHSA",c(-93.0667005, 34.4680835),-93.0667005,34.4680835
"157","Compass Health Inc","Pathways Comm Behav Hlthcare/OIT","2625 Fairway Drive","Suite E","Fulton","MO","65251",NA,"buprenorphine","29027","Callaway","SAMHSA",c(-91.9654611, 38.8799794),-91.9654611,38.8799794
"158","Turning Point Recovery Center",NA,"100 East Rollins Street","Suite A","Moberly","MO","65270",NA,"buprenorphine","29175","Randolph","SAMHSA",c(-92.4356607, 39.4183736),-92.4356607,39.4183736
"159","Preferred Family Healthcare Inc","Moberly Adult Program","3029 County Road 1325",NA,"Moberly","MO","65270","5152","buprenorphine","29175","Randolph","SAMHSA",c(-92.4353793, 39.4566621),-92.4353793,39.4566621
"160","Addiction and Mental Health Servs","Bradford Health Services/Little Rock","11215 Hermitage Road","Suite 104","Little Rock","AR","72211",NA,"buprenorphine","05119","Pulaski","SAMHSA",c(-92.398085, 34.7463918),-92.398085,34.7463918
"161","Compass Health Inc",NA,"704 East Highway 28",NA,"Owensville","MO","65066",NA,"buprenorphine","29073","Gasconade","SAMHSA",c(-91.490285, 38.3473624),-91.490285,38.3473624
"162","Natural State Recovery Centers LLC",NA,"3600 Cantrell Road","Suite 303","Little Rock","AR","72202",NA,"buprenorphine","05119","Pulaski","SAMHSA",c(-92.3113845, 34.7638181),-92.3113845,34.7638181
"163","University of Arkansas for","Medical Sciences/SAT Clinic","4224 Shuffield Drive",NA,"Little Rock","AR","72207",NA,"buprenorphine","05119","Pulaski","SAMHSA",c(-92.3196395, 34.7471978),-92.3196395,34.7471978
"164","Central Arkansas Veterans Healthcare","Substance Use Disorder (SUD) Program","North Little Rock Division","2200 Fort Roots Drive","North Little Rock","AR","72114",NA,"buprenorphine","05119","Pulaski","SAMHSA",c(-92.283008, 34.7696789),-92.283008,34.7696789
"165","Catar Clinic",NA,"4260 Stockton Drive",NA,"North Little Rock","AR","72117",NA,"buprenorphine","05119","Pulaski","SAMHSA",c(-92.2176331, 34.7851589),-92.2176331,34.7851589
"166","Turning Point Recovery Center",NA,"201 East Monroe Street","Suite 103","Mexico","MO","65265",NA,"buprenorphine","29007","Audrain","SAMHSA",c(-91.8808525, 39.1732966),-91.8808525,39.1732966
"167","Turning Point Recovery Centers",NA,"303 North Missouri Street","Suite E","Macon","MO","63552",NA,"buprenorphine","29121","Macon","SAMHSA",c(-92.465611, 39.740674),-92.465611,39.740674
"168","Pine Lake Behavioral Health",NA,"9100 Andermatt Drive","Suite 1","Lincoln","NE","68526","6700","buprenorphine","31109","Lancaster","SAMHSA",c(-96.59317, 40.733536),-96.59317,40.733536
"169","Enterhealth Life Recovery Center","Drug and Alcohol Addiction Treatment","524 North Lincoln Park Road",NA,"Van Alstyne","TX","75495",NA,"buprenorphine","48181","Grayson","SAMHSA",c(-96.562853, 33.432429),-96.562853,33.432429
"170","Bryan Medical Center West","Independence Center","1640 Lake Street",NA,"Lincoln","NE","68502",NA,"buprenorphine","31109","Lancaster","SAMHSA",c(-96.6980563, 40.7884103),-96.6980563,40.7884103
"171","Community Hlth Ctrs of Southern IA",NA,"802 East Ackerley Street",NA,"Lamoni","IA","50140",NA,"buprenorphine","19053","Decatur","SAMHSA",c(-93.9231769, 40.6197355),-93.9231769,40.6197355
"172","Touchstone Short Term Residential","Substance Abuse Treatment Program","2633 P Street","1st Floor","Lincoln","NE","68503",NA,"buprenorphine","31109","Lancaster","SAMHSA",c(-96.6828079, 40.8143628),-96.6828079,40.8143628
"173","Preferred Family Healthcare Inc","DBA Bridgeway Behavioral Health","108 South Sturgeon Street",NA,"Montgomery City","MO","63361","2503","buprenorphine","29139","Montgomery","SAMHSA",c(-91.504557, 38.9771814),-91.504557,38.9771814
"174","Southwest Arkansas Csl and MHC",NA,"300 East 20th Street",NA,"Hope","AR","71801",NA,"buprenorphine","05057","Hempstead","SAMHSA",c(-93.5843539, 33.64979),-93.5843539,33.64979
"175","SW Arkansas Counseling MHC Inc",NA,"2904 Arkansas Boulevard",NA,"Texarkana","AR","71854",NA,"buprenorphine","05091","Miller","SAMHSA",c(-94.011008, 33.4601498),-94.011008,33.4601498
"176","Texas Treatment Services LLC",NA,"207 Broad Street",NA,"Wichita Falls","TX","76301",NA,"buprenorphine","48485","Wichita","SAMHSA",c(-98.5030058, 33.9132208),-98.5030058,33.9132208
"177","Red River Hospital",NA,"1505 8th Street",NA,"Wichita Falls","TX","76301",NA,"buprenorphine","48485","Wichita","SAMHSA",c(-98.5013548, 33.9063056),-98.5013548,33.9063056
"178","MedPro Treatment Centers",NA,"405 North Mcdonald Street","Suite B","McKinney","TX","75069","3911","buprenorphine","48085","Collin","SAMHSA",c(-96.6125398, 33.2008505),-96.6125398,33.2008505
"179","Preferred Family Healthcare Inc","Adolescent CSTAR","1101 South Jamison Street",NA,"Kirksville","MO","63501",NA,"buprenorphine","29001","Adair","SAMHSA",c(-92.5577649146754, 40.1878631894929),-92.5577649146754,40.1878631894929
"180","Preferred Family Healthcare Inc","DBA Bridgeway Behavioral Health","100 West Main Street",NA,"Union","MO","63084","1363","buprenorphine","29071","Franklin","SAMHSA",c(-91.009597, 38.445507),-91.009597,38.445507
"181","Preferred Family Healthcare Inc",NA,"411 East Locust Street",NA,"Union","MO","63084",NA,"buprenorphine","29071","Franklin","SAMHSA",c(-91.0055016, 38.4447811),-91.0055016,38.4447811
"182","Exult Healthcare Solutions LLC",NA,"4801 Medical Center Drive",NA,"McKinney","TX","75069",NA,"buprenorphine","48085","Collin","SAMHSA",c(-96.635481, 33.1586119),-96.635481,33.1586119
"183","Preferred Family Healthcare Inc","DBA Bridgeway Behavioral Health","1206 East Veterans Memorial Parkway","Suite A","Warrenton","MO","63383","1314","buprenorphine","29219","Warren","SAMHSA",c(-91.1304988, 38.8183066),-91.1304988,38.8183066
"184","Access Counseling Group","Frisco","4280 Main Street","Suite 300","Frisco","TX","75033",NA,"buprenorphine","48085","Collin","SAMHSA",c(-96.821321, 33.1500834),-96.821321,33.1500834
"185","Collin County MH/MR Center","DBA Lifepath Systems","7304 Alma Drive",NA,"Plano","TX","75025",NA,"buprenorphine","48085","Collin","SAMHSA",c(-96.7093915, 33.0747563),-96.7093915,33.0747563
"186","Community Hlth Ctrs of Southern IA",NA,"102-104 North Franklin Street",NA,"Corydon","IA","50060","1405","buprenorphine","19185","Wayne","SAMHSA",c(-93.3192008, 40.7577778),-93.3192008,40.7577778
"187","West Texas Counseling and","Rehabilitation Program of Plano Inc","1108 Dobie Drive","Suite 102","Plano","TX","75074",NA,"buprenorphine","48085","Collin","SAMHSA",c(-96.6982756, 33.0351743),-96.6982756,33.0351743
"188","Heartland Family Service",NA,"2101 South 42nd Street",NA,"Omaha","NE","68105",NA,"buprenorphine","31055","Douglas","SAMHSA",c(-95.975777, 41.239749),-95.975777,41.239749
"189","Veterans Affairs Medical Center","Substance Use Disorders Program","4101 Woolworth Avenue",NA,"Omaha","NE","68105",NA,"buprenorphine","31055","Douglas","SAMHSA",c(-95.9744277, 41.242852),-95.9744277,41.242852
"190","Ideal Option","Omaha","930 South 48th Street",NA,"Omaha","NE","68106",NA,"buprenorphine","31055","Douglas","SAMHSA",c(-95.9857157, 41.2505781),-95.9857157,41.2505781
"191","Hansen Industries","DBA Life Management","5068 West Plano Parkway","Suite 134","Plano","TX","75093",NA,"buprenorphine","48085","Collin","SAMHSA",c(-96.7981779, 33.0154569),-96.7981779,33.0154569
"192","Heartland Family Service","Iowa Family Works","1722 Avenue C",NA,"Council Bluffs","IA","51501",NA,"buprenorphine","19155","Pottawattamie","SAMHSA",c(-95.870488, 41.2647621),-95.870488,41.2647621
"193","Preferred Family Healthcare Inc",NA,"269 Firehouse Lane","Suite 1","Troy","MO","63379",NA,"buprenorphine","29113","Lincoln","SAMHSA",c(-90.9877221, 38.9842708),-90.9877221,38.9842708
"194","Symetria Recovery","Lewisville","1850 Lake Pointe Drive",NA,"Lewisville","TX","75057",NA,"buprenorphine","48121","Denton","SAMHSA",c(-96.9792201, 33.0173703),-96.9792201,33.0173703
"195","Preferred Family Healthcare Inc","DBA Bridgeway Behavioral Health","1011 East Cherry Street",NA,"Troy","MO","63379",NA,"buprenorphine","29113","Lincoln","SAMHSA",c(-90.9638855, 38.9849722),-90.9638855,38.9849722
"196","Heartland Family Service",NA,"4847 Sahler Street",NA,"Omaha","NE","68104","5207","buprenorphine","31055","Douglas","SAMHSA",c(-95.9865912, 41.2967384),-95.9865912,41.2967384
"197","Turning Point Recovery Center",NA,"1420 Business 61 South",NA,"Bowling Green","MO","63334",NA,"buprenorphine","29163","Pike","SAMHSA",c(-91.1838672, 39.3329067),-91.1838672,39.3329067
"198","Crossroads Behavioral Health Services",NA,"405 East McLane Street",NA,"Osceola","IA","50213",NA,"buprenorphine","19039","Clarke","SAMHSA",c(-93.7594203, 41.0308255),-93.7594203,41.0308255
"199","NE Arkansas Community MH Center","DBA Mid South Health Systems","2707 Browns Lane",NA,"Jonesboro","AR","72401",NA,"buprenorphine","05031","Craighead","SAMHSA",c(-90.6884686, 35.8121172),-90.6884686,35.8121172
"200","BHG XXIX LLC",NA,"1369 North Westwood Boulevard",NA,"Poplar Bluff","MO","63901",NA,"buprenorphine","29023","Butler","SAMHSA",c(-90.4166756, 36.7698239),-90.4166756,36.7698239
"201","Medical City Green Oaks Hospital",NA,"7808 Clodus Fields Drive",NA,"Dallas","TX","75251",NA,"buprenorphine","48113","Dallas","SAMHSA",c(-96.7715146, 32.9128472),-96.7715146,32.9128472
"202","Preferred Family Healthcare Inc","Hannibal Adolescent Office","4355 Paris Gravel Road",NA,"Hannibal","MO","63401",NA,"buprenorphine","29173","Ralls","SAMHSA",c(-91.4096913, 39.6849306),-91.4096913,39.6849306
"203","Community Hlth Ctrs of Southern IA","Behavioral Health Services","221 East State Street",NA,"Centerville","IA","52544",NA,"buprenorphine","19007","Appanoose","SAMHSA",c(-92.8722459, 40.7344369),-92.8722459,40.7344369
"204","West Texas Counseling and","Rehabilitation of Garland Inc","2848 West Kingsley Road","Suite B","Garland","TX","75041",NA,"buprenorphine","48113","Dallas","SAMHSA",c(-96.6727917, 32.8785499),-96.6727917,32.8785499
"205","Turning Point Recovery Center",NA,"146 Communications Drive",NA,"Hannibal","MO","63401",NA,"buprenorphine","29127","Marion","SAMHSA",c(-91.3917625, 39.7023564),-91.3917625,39.7023564
"206","NE Arkansas Community MH Center","DBA Mid South Health Systems","28 Southpointe Drive",NA,"Paragould","AR","72450",NA,"buprenorphine","05055","Greene","SAMHSA",c(-90.530431, 36.020491),-90.530431,36.020491
"207","Nexus Recovery Center Inc",NA,"8733 La Prada Drive",NA,"Dallas","TX","75228",NA,"buprenorphine","48113","Dallas","SAMHSA",c(-96.6660523, 32.8124272),-96.6660523,32.8124272
"208","COMTREA Inc",NA,"1817 Gravois Road",NA,"High Ridge","MO","63049",NA,"buprenorphine","29099","Jefferson","SAMHSA",c(-90.5050696, 38.4820607),-90.5050696,38.4820607
"209","Community Counseling Center",NA,"309 Garrett Street",NA,"Fredericktown","MO","63645",NA,"buprenorphine","29123","Madison","SAMHSA",c(-90.282739, 37.564736),-90.282739,37.564736
"210","Anti Aging and Longevity Center of","Texas PA","8021 East RL Thornton Freeway","Suite A","Dallas","TX","75228",NA,"buprenorphine","48113","Dallas","SAMHSA",c(-96.704618, 32.794859),-96.704618,32.794859
"211","COMTREA Inc",NA,"110 North Mill Street",NA,"Festus","MO","63028",NA,"buprenorphine","29099","Jefferson","SAMHSA",c(-90.392977, 38.220611),-90.392977,38.220611
"212","Alternative Behavioral Care",NA,"255 Spencer Road","Suite 101","Saint Peters","MO","63376",NA,"buprenorphine","29183","St. Charles","SAMHSA",c(-90.6040001, 38.7881281),-90.6040001,38.7881281
"213","West Texas Counseling and","Rehabilitation Program of Irving","1116 West Pioneer Drive",NA,"Irving","TX","75061",NA,"buprenorphine","48113","Dallas","SAMHSA",c(-96.960123, 32.8211755),-96.960123,32.8211755
"214","West Texas Counseling and","Rehabilitation Program of Dallas","1808 Market Center Boulevard",NA,"Dallas","TX","75207","3315","buprenorphine","48113","Dallas","SAMHSA",c(-96.8229354, 32.7948161),-96.8229354,32.7948161
"215","Psychotherapeutic Services of America","DBA Integrated Psychotherapeutic Servs","2121 Main Street","Suite 100","Dallas","TX","75201",NA,"buprenorphine","48113","Dallas","SAMHSA",c(-96.7916912, 32.7824957),-96.7916912,32.7824957
"216","Symetria Recovery","Hurst","1813 Harwood Court",NA,"Hurst","TX","76054",NA,"buprenorphine","48439","Tarrant","SAMHSA",c(-97.180423, 32.847676),-97.180423,32.847676
"217","Preferred Family Healthcare Inc","DBA Bridgeway Behavioral Health","2120 Parkway Drive",NA,"Saint Peters","MO","63376",NA,"buprenorphine","29183","St. Charles","SAMHSA",c(-90.5727017, 38.7981444),-90.5727017,38.7981444
"218","Preferred Family Healthcare Inc","Clarity Healthcare","639 York Street",NA,"Quincy","IL","62301",NA,"buprenorphine","17001","Adams","SAMHSA",c(-91.4052021, 39.9296661),-91.4052021,39.9296661
"219","Dallas County Treatment Center","Metro Treatment of Texas LP","123 East Colorado Boulevard",NA,"Dallas","TX","75203",NA,"buprenorphine","48113","Dallas","SAMHSA",c(-96.8220289, 32.7589946),-96.8220289,32.7589946
"220","COMTREA Inc",NA,"21 Municipal Drive",NA,"Arnold","MO","63010",NA,"buprenorphine","29099","Jefferson","SAMHSA",c(-90.4020479295926, 38.4448877057648),-90.4020479295926,38.4448877057648
"221","New Season St Charles Trt Center",NA,"2027 Campus Drive",NA,"Saint Charles","MO","63301",NA,"buprenorphine","29183","St. Charles","SAMHSA",c(-90.5373089, 38.7893261),-90.5373089,38.7893261
"222","Centrec Care",NA,"1224 Fern Ridge Parkway","Suite 305","Saint Louis","MO","63141",NA,"buprenorphine","29189","St. Louis","SAMHSA",c(-90.473878, 38.683466),-90.473878,38.683466
"223","Preferred Family Healthcare Inc","Saint Charles Adolescent Program","2 Westbury Drive",NA,"Saint Charles","MO","63301",NA,"buprenorphine","29183","St. Charles","SAMHSA",c(-90.518299, 38.783068),-90.518299,38.783068
"224","Kirkwood Medication Assisted Trts",NA,"111 Prospect Avenue","Suite 201-C","Saint Louis","MO","63122",NA,"buprenorphine","29189","St. Louis","SAMHSA",c(-90.4075849, 38.567925),-90.4075849,38.567925
"225","Bridgeway Behavioral Health","Saint Charles","1570 South Main Street",NA,"Saint Charles","MO","63303",NA,"buprenorphine","29183","St. Charles","SAMHSA",c(-90.4934753, 38.7638528),-90.4934753,38.7638528
