ZCTA,YEAR,TotalPop,NonrelatedHousehold,NonrelatedGroupDwelling,GroupQuarters,GroupQuarterPercent,NonrelatedHousePercent
00203,2014-2018,5987,77,0,0,0.0,1.29
00203,2014-2018,4455,0,0,0,0.0,0.0
00203,2014-2018,17535,228,0,27,0.15,1.3
00203,2014-2018,33022,150,89,1081,3.27,0.45
00204,2014-2018,23298,153,18,290,1.24,0.66
00204,2014-2018,10424,22,82,0,0.0,0.21
00204,2014-2018,92,0,0,0,0.0,0.0
00204,2014-2018,23761,75,61,38,0.16,0.32
00205,2014-2018,26152,11,125,82,0.31,0.04
00205,2014-2018,12748,22,17,47,0.37,0.17
00205,2014-2018,13244,46,63,154,1.16,0.35
00205,2014-2018,8202,52,40,47,0.57,0.63
00205,2014-2018,11317,7,41,1897,16.76,0.06
00206,2014-2018,10987,10,9,234,2.13,0.09
00206,2014-2018,29201,81,71,412,1.41,0.28
00206,2014-2018,18101,33,51,191,1.06,0.18
00206,2014-2018,18377,51,62,72,0.39,0.28
00207,2014-2018,1696,0,0,814,48.0,0.0
00207,2014-2018,28534,133,101,331,1.16,0.47
00208,2014-2018,19378,88,16,108,0.56,0.45
00209,2014-2018,15880,37,0,29,0.18,0.23
00209,2014-2018,11734,15,63,278,2.37,0.13
00210,2014-2018,4082,58,0,599,14.67,1.42
00210,2014-2018,3853,0,39,459,11.91,0.0
00211,2014-2018,2449,0,0,32,1.31,0.0
00211,2014-2018,7926,0,55,1241,15.66,0.0
00211,2014-2018,7531,14,181,20,0.27,0.19
00211,2014-2018,13516,0,71,909,6.73,0.0
00211,2014-2018,29108,0,91,12826,44.06,0.0
00211,2014-2018,23118,115,166,2541,10.99,0.5
00211,2014-2018,27830,7,251,2512,9.03,0.03
00211,2014-2018,28199,74,295,583,2.07,0.26
00212,2014-2018,14928,28,48,1974,13.22,0.19
00212,2014-2018,29919,144,0,91,0.3,0.48
00212,2014-2018,25059,205,83,786,3.14,0.82
00212,2014-2018,55821,535,388,415,0.74,0.96
00212,2014-2018,34358,211,380,591,1.72,0.61
00212,2014-2018,29591,388,129,189,0.64,1.31
00212,2014-2018,36898,97,208,405,1.1,0.26
00212,2014-2018,46927,384,248,217,0.46,0.82
00212,2014-2018,19414,153,144,84,0.43,0.79
00213,2014-2018,40377,229,302,1894,4.69,0.57
00213,2014-2018,33771,522,170,569,1.68,1.55
00213,2014-2018,28487,82,153,473,1.66,0.29
00213,2014-2018,19424,262,555,133,0.68,1.35
00213,2014-2018,44760,108,313,761,1.7,0.24
00213,2014-2018,34223,268,46,351,1.03,0.78
00213,2014-2018,38835,52,259,10419,26.83,0.13
00213,2014-2018,38272,36,255,5970,15.6,0.09
00214,2014-2018,21338,84,108,106,0.5,0.39
00214,2014-2018,14052,0,187,54,0.38,0.0
