ZCTA,moudMinDis,bupMinDis,metMinDis,nalMinDis
93287,21.94274949,22.01325905,21.94274949,27.20399866
93291,5.789801966,5.789801966,16.70028477,8.627578198
93292,6.16790935,6.16790935,17.49398038,10.22974128
93301,0.096802954,0.096802954,0.74251537,2.859947263
93304,1.510660626,1.510660626,1.51386373,4.931012675
93305,0.975892359,0.975892359,1.624978679,1.624896707
93306,6.003682482,6.003682482,16.05428743,14.39606819
93307,2.140295743,2.140295743,9.269998311,11.06407521
93308,12.53810007,13.05033241,13.70475898,12.53810007
93309,1.641382307,1.641382307,4.436902321,2.60328097
93311,12.47904092,12.47904092,17.39814553,13.44001222
93312,0.690216335,0.690216335,7.524103164,2.15727778
93313,9.428470716,9.428470716,15.59461377,15.65239685
93314,8.687705217,8.687705217,15.44998896,9.95306094
93401,1.58690731,1.58690731,20.79787821,1.935273723
93402,6.481520023,6.481520023,20.29200688,11.81510757
93405,2.958445294,2.958445294,16.33099488,4.985724074
93410,0.806875079,0.806875079,15.48668698,1.555990859
93420,7.674108401,7.674108401,17.8162239,7.772293304
93422,1.586345776,1.586345776,2.347504096,3.185250903
93424,0.863252287,0.863252287,25.3253482,4.852110044
93426,25.10681823,25.10681823,36.28421377,27.61482508
93427,6.637277921,6.637277921,32.73712707,9.021457839
93428,5.21776087,5.21776087,26.71757177,21.69725797
