ZCTA,bupTime,bupCount,metTime,metCount,nalTime,nalCount
19475,10,78,18,5,10,25
19477,4,418,17,16,4,93
19492,12,65,19,5,17,23
19501,11,88,14,1,15,18
19503,14,60,17,2,12,24
19504,14,59,18,2,12,24
19505,11,31,14,1,9,7
19506,15,60,22,1,15,11
19507,6,12,31,0,6,7
19508,0,74,19,2,15,16
19510,0,61,18,1,15,11
19511,17,26,30,1,26,9
19512,10,30,14,1,0,8
19518,0,65,16,2,15,13
19519,8,62,19,2,11,11
19520,0,42,24,2,21,13
19522,8,59,22,1,18,11
19523,17,17,33,0,30,2
19525,0,25,10,2,10,12
19526,0,60,23,1,20,17
19529,18,5,26,1,0,3
19530,17,90,25,2,20,20
19533,0,62,15,1,15,11
19534,11,27,29,1,12,9
19535,8,72,20,2,13,16
19536,14,64,28,2,24,14
19538,13,70,18,1,13,20
19539,21,48,26,1,21,15
19540,0,72,17,1,14,17
19541,14,59,23,1,20,11
19542,6,68,16,2,15,13
19543,12,103,25,2,21,28
19544,6,39,21,1,9,14
19545,8,35,12,1,4,10
19547,13,67,23,2,12,11
19549,4,49,28,1,21,12
19550,0,16,31,0,0,7
19551,5,64,16,1,5,11
19554,10,17,32,0,15,4
19555,5,63,19,1,16,12
19559,9,36,29,1,9,14
19560,6,60,14,1,10,11
19562,20,49,25,1,20,15
19564,14,58,25,1,17,12
19565,0,74,11,1,0,18
19567,10,74,21,2,10,18
19601,0,72,7,1,0,17
19602,0,69,8,1,0,16
19604,0,69,9,1,0,15
19605,0,69,10,1,6,15
19606,0,73,13,2,6,16
19607,7,73,9,1,7,17
19608,0,74,9,1,8,18
19609,0,75,5,1,7,18
19610,0,72,0,1,6,17
19611,0,72,7,1,0,17
19701,0,80,20,5,0,20
19702,0,175,0,10,0,41
19703,5,264,0,8,0,47
19706,15,126,15,5,15,28
19707,0,186,11,10,9,39
19709,0,81,23,4,0,18
19710,7,213,11,10,11,42
19711,0,175,0,8,0,39
19713,0,178,8,10,0,41
19716,9,178,10,8,9,41
19717,6,182,9,10,6,43
19720,0,212,0,12,0,43
19730,8,95,22,4,8,24
19731,17,70,23,2,17,12
19732,9,216,15,10,9,43
19733,14,163,14,6,14,35
19734,0,58,28,4,15,12
19735,9,212,14,10,12,42
19736,6,190,10,10,10,41
19801,0,225,9,12,0,45
19802,0,245,9,12,0,50
19803,0,247,10,12,0,50
19804,9,217,9,12,9,41
19805,0,212,0,12,0,40
19806,0,236,7,12,6,47
19807,0,197,12,10,12,37
19808,0,182,13,10,0,39
19809,0,222,7,8,0,38
19810,0,238,10,10,4,45
19901,0,38,0,4,0,12
19902,7,36,7,4,7,12
19904,0,36,0,3,0,9
19930,22,9,22,2,22,4
19931,14,17,14,2,14,11
19933,0,23,9,4,0,17
19934,0,36,10,4,10,12
19936,9,38,9,3,9,10
19938,11,28,20,2,20,8
19939,23,20,23,2,23,9
19940,17,24,17,4,17,17
19941,13,26,13,4,0,16
