"GEOID","minDisHosp","timeDrive","countDrive"
37115010500,19.82,36.16,0
37117970400,16.37,27.18,2
37119000300,0.82,2.63,15
37119000800,1.42,3.55,15
37067003003,8.33,14.22,6
37067003202,2.79,6.77,11
37189920800,1.07,0,2
37191000601,8.93,20.42,1
37191001400,3.2,6.83,1
37193960400,13.92,25.03,1
37159052000,0.87,6.56,5
37161960200,9.06,21.12,1
37083930300,3.23,6.57,2
37053110102,24.18,58.75,0
37055970601,5.1,19.57,1
37057060302,7.8,17.13,7
37057061000,3.51,6.44,4
37061090400,1.76,0,1
37179020701,6.24,11.98,1
37063000200,2.59,4.25,7
37117970500,5.75,14.09,1
37119000700,2.29,6.79,14
37119001605,3.1,7.96,14
37119001910,4.9,12.69,12
37119001919,3.71,10.91,13
37119002100,1.39,7.19,13
37119002600,0.54,3.12,14
37119003008,2.44,5.11,12
37019020201,5.61,17.77,4
37019020309,8.06,20.23,1
37019020504,8.71,17.48,2
37019020510,13.08,24.97,1
37021000600,2.01,3.02,5
37021002000,0.53,0,5
37021002606,9.28,19.04,4
37023020201,15.6,31.59,0
37097061408,6.31,17.21,2
37099950700,14.73,38.57,0
37101041502,12.64,21.23,2
37103920100,16.62,44.56,0
37105030101,1.02,4.5,1
37109070600,16.27,30.17,0
37111970100,9.3,28.29,1
37111970400,3.04,9.4,1
37113970200,13.31,34.72,0
37115010200,25.17,54.15,0
37117970100,11.65,19.61,2
37135011400,1.78,5.98,7
37135011800,2.86,10.13,7
37139960100,1.66,8.38,1
37085071303,11.6,32.42,0
37089930300,4.91,11.4,2
37089930900,2.42,2.91,3
37091950100,15.59,23.97,1
37093970402,12.46,31.19,0
37095920100,43.53,72.11,0
37081010403,1.04,4.83,7
37081010900,0.81,3.02,8
37081011500,2.4,6.21,10
37081012604,3.02,6.13,11
37081012610,4.25,10.01,10
37081012707,2.85,5.02,8
37183053719,9.72,18.81,12
37183054110,7.22,15.14,6
37049960600,0.78,0,1
37017950100,13.27,30.97,0
37017950600,14.15,28.62,1
37077970400,2.31,11.57,2
37079950300,11.53,25.93,1
37159051204,3.98,15.63,4
37067003805,1.23,9.33,7
37067004011,5.21,11.43,7
37035010303,3.4,8.05,3
37151031504,7.02,14.01,9
37197050300,5.23,9.48,2
37129011605,3.9,11.24,3
37071030102,5.75,8.82,9
37071030602,11.54,23.92,4
37071031004,2.74,9.83,4
37071032702,4.11,9.39,4
37073970100,27.5,33.51,0
37075920300,19.45,58.86,0
37081014412,3.9,10.18,9
37081015707,4.6,10.53,8
37155961000,1.21,4.04,1
37157040400,3.17,3.53,3
37157041200,1.57,8.79,2
37159050300,1.89,8.67,5
37025041902,2.01,7.29,4
37025042101,3.75,9.8,4
37025042602,6.49,18.25,6
37027031403,9.76,18.54,4
37031970304,8.26,16.14,1
37031970504,3.84,7.37,1
37031970902,20.49,33.5,0
37031990100,55.85,12.36,1
37119005710,5.35,16.54,12
37133000103,8.75,18.5,3
37133000402,15.49,34.35,0
37133001700,2.28,5.73,3
37133002202,0.47,0,3
37163970900,15.65,33.34,0
37167931201,0.93,0,1
37169070503,13.32,27.07,6
37171930901,1.31,0,2
37173960301,10.87,15.31,1
37177960100,35.21,40.73,0
37119005308,3.24,11.53,14
37119005621,9.72,16.64,10
37001021702,2.72,13.79,4
37003040700,8.14,13.3,3
37013930300,1.98,3.76,2
37037020105,7.22,13.85,1
37037020600,13.46,23.6,2
37039930300,14.87,41.56,0
37063002018,4.97,11.45,8
37063002022,7.72,16.46,8
37065021000,2.62,5.8,2
37065021300,6.41,20.81,1
37067000200,1.95,6.91,8
37067001000,0.98,3.96,8
37067001602,4.31,11.19,7
37067002100,0.85,0,8
37041930101,1.45,0,2
37045951000,1.27,5.8,4
37081016101,4.56,10.8,8
37081016503,6.19,14.56,8
37183053606,6.78,13.62,8
37183051900,1.14,5.21,8
37183052407,2.85,8.5,8
37183052602,1.72,4.72,8
37183052809,1.39,0,5
37183053005,2.35,11.46,6
37183053204,8.62,19.63,2
37183053408,6.39,9.2,2
37183053425,5.84,9.61,3
37183053507,3.39,7.8,6
37183053519,2.14,6.61,7
37119003018,5,13.12,11
37119003300,1.66,5.35,14
37119003807,2.92,8.78,15
37119004500,4.77,9.1,15
37183052506,3.29,8.37,9
37183053422,4.64,6.98,3
37183053713,5.3,11.65,9
37183054008,3.78,6.76,8
37191001800,3.33,7.69,1
37193960900,15.47,25.85,1
37195000801,2.59,5.28,2
37047931300,18.2,34.26,0
37049960700,0.71,4.56,1
37025040701,4.97,12.42,2
37051003311,5.59,10,6
37057060700,3.14,6.46,6
37063001400,4.43,10.06,8
37067000301,2.11,7.76,7
37067002601,3.32,8.05,8
37071031003,4.41,15.04,3
37031970401,0.21,0,1
37035010402,1.2,4.72,3
37045951100,1.47,6.94,4
37001020200,6.29,19.88,1
37021001200,4.2,8.93,5
