COUNTYFP,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
2113,89,52,89
19135,,,
1941,,,
1817,26,2,26
249,,,
257,59,49,59
18115,,,
18119,,,
18121,,,
291,224,198,18
297,,,
211,,,
1949,53,53,53
18133,24,7,24
18157,383,331,383
18111,,,
1721,,,
19159,,,
19165,,,
263,,,
273,,,
277,,,
285,,,
19169,177,159,168
19189,8,6,8
21,,,
29,,,
215,89,83,89
225,,,
229,,,
243,,,
445,,,
4839,41,342,48
48337,,,
48355,72,614,72
5172,45,27,45
5174,334,329,294
18143,4,4,
18171,,,
18177,43,33,43
1997,,,
19141,,,
1955,,,
1973,,,
1979,,,
441,,,
46111,,,
5181,858,797,798
287,,,
289,,,
4619,25,25,25
46121,48,24,48
5351,38,25,38
5359,33,5,23
5411,893,855,869
2311,2289,22,2281
2419,62,36,46
3813,,,
311,,,
313,,,
48275,,,
3129,,,
2425,346,294,36
2435,43,38,33
259,3687,3683,3626
2615,13,13,13
3845,,,
3851,,,
3895,,,
3811,136,57,121
253,34,261,32
2511,143,97,141
2521,144,167,19
26159,61,54,61
26165,84,71,84
4151,34,37,34
4273,453,425,453
4283,163,137,163
48441,243,199,243
48451,27,27,27
55123,8,7,7
47115,,,
47125,14,72,19
51153,351,317,339
4615,,,
4635,1,1,1
4639,,,
4649,,,
5175,14,5,14
451,6,6,6
4845,,,
51181,18,1,18
295,,,
299,,,
39159,37,32,37
31171,,,
48145,,,
3657,79,72,68
3667,2417,2192,247
3915,,,
27153,,,
27157,,,
2813,,,
2623,16,5,16
371,99,44,99
5577,,,
2923,,,
29133,,,
29149,,,
3131,,,
3135,,,
3137,,,
3827,,,
1325,,,
13315,,,
1633,,,
1743,755,727,749
4711,25,24,25
48385,,,
48399,,,
5585,17,12,16
4131,31,14,31
4893,,,
3619,227,199,169
3151,,,
4125,,,
4787,,,
2823,,,
48485,342,17,342
48489,,,
525,215,198,172
2175,,,
2183,32,22,32
2627,46,46,46
367,,,
395,,,
3673,22,22,22
4849,38,19,38
4869,,,
13273,1,1,1
4581,,,
465,,,
4611,2,2,2
2921,473,42,441
2935,,,
2637,83,76,83
2651,25,1334,199
41,,,
45,2,,2
433,,,
853,,,
1231,2451,2245,2451
12119,,,
1373,,,
5515,344,311,311
55119,,,
4111,36,36,36
5179,,,
3213,3,3,3
2795,77,59,77
2711,,,
2719,623,462,593
27125,49,65,49
5449,177,135,166
5473,,,
5567,,,
5573,83,69,57
17137,49,18,41
42121,38,33,36
441,19,16,19
4817,,,
3999,85,693,85
3913,121,117,118
329,,,
4127,24,24,
4149,,,
4857,,,
499,,,
4921,73,53,7
5641,14,6,14
5111,,,
5125,,,
2145,,,
21113,5,21,5
21141,35,22,35
4159,48,48,48
417,5,5,5
5645,,,
2319,53,468,515
5143,,,
48251,,,
51135,,,
2295,,,
22125,,,
2661,8,8,8
48231,,,
48279,,,
43,93,93,93
2981,,,
3123,,,
37189,159,141,114
387,,,
5163,322,286,322
4213,281,27,28
42117,19,76,19
2665,1292,1112,1246
29167,,,
19191,11,,11
2985,,,
435,,,
4927,,,
59,,,
47139,,,
47153,262,399,262
48497,,,
13223,23,15,23
55127,38,29,38
561,18,3,18
565,199,122,199
2121,,,
223,,,
47169,,,
519,81,75,65
48413,,,
4659,,,
4663,,,
4677,,,
4687,,,
4689,,,
5615,,,
47177,25,11,25
4817,,,
48131,,,
48143,,,
4211,962,762,768
4219,337,315,324
4215,5,5,
42115,13,13,13
5149,,,
2617,216,28,216
51685,,,
48163,,,
