"GEOID","bupTimeBike","bupCountBike60","bupCountBike30","metTimeBike","metCountBike60","metCountBike30","nalTimeBike","nalCountBike60","nalCountBike30"
1077,36.92,11,0,40.59,1,0,40.59,3,0
1079,11.7,25,8,102.16,0,0,11.7,6,4
1080,21.33,23,8,90.45,0,0,21.33,5,4
1081,52.27,1,0,91.95,0,0,82.51,0,0
1082,0,18,7,148.61,0,0,0,6,2
1083,14.9,18,3,92.58,0,0,55.68,6,0
1085,0,47,10,0,1,1,0,5,3
1086,19.75,10,10,19.75,1,1,19.75,3,3
1088,23.74,38,2,41.61,2,0,41.61,2,0
1089,0,194,115,24.01,7,1,0,23,7
1092,0,18,1,106.35,0,0,42.41,6,0
1093,36.43,21,0,61.24,0,0,49.07,1,0
1094,34.4,13,0,137.22,0,0,73.43,0,0
1095,0,95,3,48.66,2,0,32.37,14,0
1096,46.1,11,0,71.02,0,0,46.1,1,0
1097,39.29,10,0,39.29,1,0,39.29,3,0
1103,0,203,147,5.75,6,3,0,22,10
1104,0,204,112,13.55,6,4,0,22,11
1105,0,172,116,0,4,3,6.18,15,8
1106,0,170,57,21.14,4,2,23.99,13,6
1107,0,195,143,0,6,3,10.19,22,9
1108,0,183,122,0,5,3,14.02,17,9
1109,0,203,117,13.92,6,3,0,22,9
1118,0,173,63,12.3,4,2,0,15,8
1119,0,172,18,31.36,4,0,18.82,15,3
