YEAR,COUNTYFP,TotalPop,TotalVetPop,MalePop,MaleVetPop,Male18To34,MaleVet18To34,Male35To54,MaleVet35To54,Male55To64,MaleVet55To64,Male65To74,MaleVet65To74,Male75Plus,MaleVet75Plus,FemalePop,FemaleVetPop,Female18To34,FemaleVet18To34,Female35To54,FemaleVet35To54,Female55To64,FemaleVet55To64,Female65To74,FemaleVet65To74,Female75Plus,FemaleVet75Plus,VetPercent
2014-2018,05069,54647,4188,26713,3893,8512,198,8599,715,4616,970,3177,1266,1809,744,27934,295,7887,36,8450,115,5115,99,3654,15,2828,30,7.66
2014-2018,05071,19899,1820,9798,1727,2774,52,3439,414,1648,353,1215,517,722,391,10101,93,2876,0,3232,75,1721,11,1303,7,969,0,9.15
2014-2018,05073,5551,439,2635,395,658,6,740,42,524,131,410,107,303,109,2916,44,621,13,857,26,573,5,466,0,399,0,7.91
2014-2018,05075,12939,1106,6286,1074,1791,32,1994,213,1066,238,854,318,581,273,6653,32,1716,14,2046,17,1120,0,932,1,839,0,8.55
2014-2018,05077,7625,368,4394,368,1436,8,1570,109,626,60,447,110,315,81,3231,0,740,0,905,0,617,0,532,0,437,0,4.83
2014-2018,05079,11321,770,7316,705,2565,97,2937,161,899,139,611,205,304,103,4005,65,918,33,1311,23,689,9,541,0,546,0,6.8
2014-2018,05081,9669,864,4580,817,1128,36,1508,213,784,97,763,272,397,199,5089,47,1102,9,1694,13,918,12,773,13,602,0,8.94
2014-2018,05083,16920,1530,8184,1369,1965,38,2865,303,1408,217,1205,446,741,365,8736,161,2137,13,2805,89,1556,35,1239,16,999,8,9.04
2014-2018,05085,52481,6654,25143,6041,7705,987,9281,1946,4058,1037,2677,1186,1422,885,27338,613,7927,289,9884,156,4354,83,2954,79,2219,6,12.68
2014-2018,05087,12248,856,6076,813,1541,11,2026,161,1130,223,883,251,496,167,6172,43,1420,0,2042,8,1127,35,911,0,672,0,6.99
2014-2018,05089,13389,1833,6489,1756,1171,22,1766,252,1395,408,1348,637,809,437,6900,77,1193,10,1786,18,1582,12,1402,26,937,11,13.69
2014-2018,05091,33326,3148,16045,2759,4895,327,5474,737,2688,462,1920,696,1068,537,17281,389,4593,179,5690,114,2986,58,2263,31,1749,7,9.45
2014-2018,05093,31431,2237,15011,2068,4791,72,4967,518,2640,425,1664,566,949,487,16420,169,4703,25,5486,82,2816,21,1889,7,1526,34,7.12
2014-2018,05095,5773,472,2706,445,651,24,805,63,543,91,401,128,306,139,3067,27,623,0,912,25,613,2,501,0,418,0,8.18
2014-2018,05097,7297,814,3561,768,697,3,1042,94,674,97,685,344,463,230,3736,46,666,14,1103,13,722,0,666,19,579,0,11.16
2014-2018,05099,6526,384,3161,363,739,18,1066,45,596,42,510,142,250,116,3365,21,737,0,1064,16,644,0,487,5,433,0,5.88
2014-2018,05001,6298,702,3105,678,628,0,887,24,674,147,592,316,324,191,3193,24,670,0,849,10,661,0,593,0,420,14,11.15
2014-2018,05003,18655,1692,8507,1632,2089,341,2718,138,1734,315,1214,487,752,351,10148,60,2350,10,3135,40,2027,0,1384,6,1252,4,9.07
2014-2018,05005,7966,881,3960,840,1034,33,1284,140,741,257,529,205,372,205,4006,41,848,2,1317,12,785,27,613,0,443,0,11.06
2014-2018,05007,14078,1016,6353,965,1763,31,1943,156,1192,236,903,333,552,209,7725,51,2003,12,2351,33,1480,0,1039,1,852,5,7.22
2014-2018,05009,8459,785,4176,751,1100,42,1349,112,742,164,568,216,417,217,4283,34,956,0,1336,9,799,11,678,0,514,14,9.28
