ZCTA,minDisMet,time_to_nearest_methadone,count_in_range_methadone,methadone_score,minDisBup,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score,minDisNalV,time_to_nearest_naltrexone,count_in_range_naltrexone,naltrexone_score
88427,,,0,0.0,26.21,44.0,0.0,0.0,,98.0,0,0.0
88430,,,0,0.0,43.1,69.0,0.0,0.0,,120.0,0,0.0
88431,,,0,0.0,29.22,40.0,0.0,0.0,28.47,40.0,0,0.0
88434,,,0,0.0,22.1,28.0,5.0,0.07,,,0,0.0
88435,,119.0,0,0.0,0.18,0.0,1.0,1.0,0.14,0.0,2,2.0
88436,,,0,0.0,,97.0,0.0,0.0,21.13,43.0,0,0.0
89001,,125.0,0,0.0,42.44,90.0,0.0,0.0,,125.0,0,0.0
89002,4.82,17.0,8,1.1,1.57,9.0,113.0,0.7,1.84,0.0,22,2.1
89003,,,0,0.0,,92.0,0.0,0.0,,,0,0.0
89004,16.0,27.0,1,0.1,6.37,14.0,68.0,0.53,7.26,14.0,10,1.07
89005,11.21,25.0,5,0.3,8.82,17.0,46.0,0.43,0.51,0.0,12,1.83
89007,37.89,58.0,0,0.0,3.14,8.0,2.0,0.73,15.17,25.0,1,0.17
89008,,170.0,0,0.0,3.21,0.0,1.0,1.0,,153.0,0,0.0
89010,,,0,0.0,29.7,118.0,0.0,0.0,29.07,118.0,0,0.0
89011,1.1,0.0,9,1.97,2.61,10.0,201.0,0.67,3.64,11.0,30,1.83
89012,2.66,10.0,8,1.73,0.59,0.0,227.0,1.0,0.11,0.0,32,2.37
89013,,,0,0.0,,178.0,0.0,0.0,,178.0,0,0.0
89014,0.8,0.0,9,2.13,0.64,0.0,260.0,1.0,2.51,7.0,36,2.07
89015,2.74,10.0,8,1.63,0.66,0.0,219.0,1.0,2.23,5.0,30,2.07
89017,,,0,0.0,38.81,77.0,0.0,0.0,,,0,0.0
89018,36.72,49.0,0,0.0,29.17,39.0,0.0,0.0,28.32,39.0,0,0.0
89019,30.79,64.0,0,0.0,23.4,59.0,0.0,0.0,23.43,64.0,0,0.0
