ZCTA,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
"1824","10011","97.55","2.45","1.85","41.89","15.15",563.6399252
"1826","11569","97.02","2.98","0","39.16","20.94",559.7506437
"1827","1151","99.04","0.96","0","44.57","3.42",69.96290177
"1830","10747","93.51","6.49","0.34","22.65","46.44",777.4107683
"1832","9435","93.79","6.21","0.29","25.77","43.9",827.6311024
"1833","3382","96.19","3.81","0","30.24","20.26",263.0042909
"1834","2445","96.85","3.15","0","55.31","15.24",275.2865849
"1835","5560","94.55","5.45","0","30.48","29.81",711.7969304
"1840","2354","96.09","3.91","0","7.18","93.63",4724.87089
"1841","15749","93.94","6.06","0","11.32","70.92",5099.642024
"1843","9141","93.84","6.16","0","14.74","66.16",2709.749836
"1844","18477","95.75","4.25","0.17","31.95","27.92",831.8437169
"1845","11830","94.01","5.99","0.14","29.34","28.21",450.0963758
"1850","5899","92.51","7.49","0","17.69","60.91",4338.678775
"1851","10723","94.8","5.2","0.08","22.35","57.32",3206.093114
"1852","14426","95.29","4.71","0.19","21.32","52.91",2902.64095
"1854","10287","92.27","7.73","0.11","18.16","62.69",2614.725897
"1860","2840","97.71","2.29","10.67","39.54","11.89",334.310747
"1862","3663","92.49","7.51","9.45","37.24","14.82",396.4203885
"1863","3971","97.2","2.8","0","32.25","18.52",859.4845194
"1864","5684","95.21","4.79","0","46.23","12.18",431.8994091
"1867","9313","97.7","2.3","0","44.06","16.89",935.4691222
"1876","11767","97.98","2.02","0","43.04","14.49",574.9984581
"1879","4510","98.45","1.55","0","41.72","16.19",268.4382471
"1880","10974","96.19","3.81","0","36.3","24.23",1587.726115
"1886","8683","96.16","3.84","0.28","35","13.4",287.100155
"1887","8138","98.65","1.35","0.42","47.51","14.18",479.1668424
"1890","8197","96.12","3.88","0.38","30.78","14.8",1358.829164
"1901","968","91.43","8.57","0","8.91","90.4",3909.324235
"1902","18078","95.4","4.6","0.24","17.24","65.75",7522.868888
"1904","6362","96.89","3.11","0","31.09","24.24",1406.562612
"1905","8725","95.98","4.02","0.13","20.81","53.46",2452.245363
"1906","11006","94.82","5.18","2.58","43.23","18.55",1019.279191
"1907","5893","93.92","6.08","0.92","31.79","21.68",1941.743139
"1908","1702","92.36","7.64","0","36.78","31.62",1627.299417
"1913","7540","94.58","5.42","0","31.09","31.41",613.4044544
"1915","17513","95.28","4.72","0","31.55","38.86",1160.601183
"1921","2775","99.21","0.79","0","32.36","1.96",117.8378782
"1922","1158","98.79","1.21","0","34.37","11.54",120.7168728
"1923","11205","95.52","4.48","1.25","37.8","27.84",848.5203366
"1929","1730","82.66","17.34","0","38.89","17.2",123.9025998
"1930","14962","87.8","12.2","0.13","34.06","37.09",571.0993874
"1937","0",,,,,,0
