COUNTYFP,year,unempP,povP,pciE
12075,2018,6.8,20.7,22025.0
12077,2018,11.3,13.0,17197.0
12079,2018,5.7,28.2,19223.0
12081,2018,5.9,12.5,32070.0
12083,2018,8.8,16.6,24570.0
12085,2018,5.3,10.5,40389.0
12086,2018,6.3,18.0,26838.0
12087,2018,2.9,11.8,43477.0
12089,2018,4.7,10.2,35335.0
12091,2018,5.6,11.5,31901.0
12093,2018,7.1,22.7,19943.0
12095,2018,6.0,16.1,28859.0
12097,2018,6.3,16.3,21331.0
12099,2018,6.5,12.8,37998.0
12101,2018,6.5,13.5,27786.0
12103,2018,5.7,13.0,33478.0
12105,2018,6.9,16.6,23812.0
12107,2018,10.5,24.8,19976.0
12109,2018,4.9,8.4,41393.0
12111,2018,6.5,15.0,25736.0
12113,2018,5.6,9.8,30904.0
12115,2018,4.7,9.7,39364.0
12117,2018,5.6,11.4,33419.0
12119,2018,4.7,8.8,33629.0
12121,2018,7.3,17.8,21755.0
12123,2018,6.2,19.8,16919.0
12125,2018,8.7,22.0,15475.0
12127,2018,5.6,15.2,27272.0
12129,2018,5.2,11.5,24322.0
12131,2018,5.2,14.7,33731.0
12133,2018,8.7,22.4,18112.0
13001,2018,5.9,23.3,20421.0
13003,2018,9.2,30.0,18565.0
13005,2018,5.3,27.2,19634.0
13007,2018,4.0,21.3,22864.0
13009,2018,9.4,26.2,20305.0
13011,2018,5.3,13.4,20810.0
13013,2018,5.1,12.1,23638.0
13015,2018,5.6,13.2,25712.0
13017,2018,4.7,31.6,17563.0
13019,2018,8.6,26.3,18611.0
13021,2018,8.8,25.7,24409.0
13023,2018,7.4,20.8,18519.0
13025,2018,5.8,24.1,18904.0
13027,2018,10.2,27.0,23421.0
13029,2018,7.3,14.1,30892.0
13031,2018,8.6,28.7,21207.0
13033,2018,5.0,24.8,21334.0
13035,2018,5.6,23.8,22360.0
13037,2018,15.0,29.7,13927.0
13039,2018,7.3,12.9,28509.0
13043,2018,6.3,32.8,18718.0
13045,2018,7.9,18.8,24155.0
13047,2018,3.9,9.8,26915.0
13049,2018,12.2,24.4,19341.0
13051,2018,8.0,15.8,30664.0
13053,2018,9.6,16.8,23651.0
13055,2018,8.2,19.9,18209.0
13057,2018,4.3,8.1,35199.0
13059,2018,6.4,31.3,22589.0
13061,2018,17.3,41.1,16199.0
13063,2018,8.5,20.0,20419.0
13065,2018,6.6,39.2,16538.0
13067,2018,5.0,10.0,38268.0
13069,2018,4.6,22.3,19709.0
13071,2018,6.8,25.2,19173.0
13073,2018,5.2,8.8,32509.0
13075,2018,5.2,24.0,19778.0
13077,2018,4.7,11.1,32542.0
13079,2018,9.6,19.7,21102.0
13081,2018,12.2,30.8,21581.0
13083,2018,4.1,15.1,24028.0
13085,2018,4.0,8.7,32646.0
13087,2018,5.4,25.2,20397.0
13089,2018,7.4,16.6,34100.0
13091,2018,7.2,23.6,18921.0
13093,2018,12.5,24.6,20259.0
13095,2018,14.2,29.4,21180.0
13097,2018,6.9,13.1,26621.0
13099,2018,7.6,28.8,17598.0
13101,2018,5.1,26.8,22883.0
13103,2018,4.0,8.6,29795.0
13105,2018,6.8,19.5,22593.0
13107,2018,7.7,27.0,17981.0
13109,2018,7.8,27.3,20537.0
13111,2018,6.2,13.5,26665.0
13113,2018,5.0,5.6,42126.0
13115,2018,6.3,19.1,25058.0
13117,2018,3.5,5.9,41585.0
13119,2018,5.2,24.8,21686.0
13121,2018,6.5,15.1,43707.0
13123,2018,5.5,16.3,25812.0
13125,2018,3.3,18.3,21076.0
13127,2018,5.4,18.3,31493.0
13129,2018,4.6,20.0,22448.0
13131,2018,6.6,23.5,22442.0
13133,2018,4.9,22.3,35844.0
13135,2018,4.7,11.4,29474.0
13137,2018,4.0,14.5,22018.0
13139,2018,3.7,14.6,27625.0
13141,2018,4.0,24.1,16713.0
13143,2018,4.8,15.5,24444.0
13145,2018,7.1,6.8,34511.0
13147,2018,4.9,17.4,22361.0
13149,2018,7.7,15.6,21796.0
13151,2018,6.7,10.4,28274.0
13153,2018,7.0,15.7,28196.0
13155,2018,9.2,26.5,18406.0
13157,2018,4.8,11.0,27115.0
13159,2018,6.6,17.8,19999.0
13161,2018,5.9,20.6,18042.0
13163,2018,6.9,24.8,18764.0
13165,2018,4.0,29.3,16089.0
13167,2018,9.0,22.6,20773.0
13169,2018,7.4,15.0,25725.0
13171,2018,11.1,20.2,20874.0
13173,2018,8.7,23.8,18800.0
13175,2018,4.8,26.7,20655.0
13177,2018,7.4,13.8,28612.0
13179,2018,11.4,16.8,21430.0
13181,2018,4.6,19.5,26324.0
13183,2018,15.1,20.0,21695.0
13185,2018,7.6,25.2,23077.0
13187,2018,4.5,17.2,24790.0
13189,2018,8.3,24.9,21384.0
13191,2018,7.9,19.9,27030.0
13193,2018,12.0,27.2,15924.0
13195,2018,8.5,17.4,24292.0
13197,2018,10.3,21.0,22478.0
13199,2018,5.9,21.5,20060.0
13201,2018,5.0,23.0,21746.0
13205,2018,13.7,24.0,17514.0
13207,2018,7.9,13.9,34669.0
13209,2018,7.2,20.7,22317.0
13211,2018,5.7,10.5,30587.0
13213,2018,7.8,15.4,20618.0
13215,2018,9.2,21.1,25318.0
13217,2018,7.7,17.9,24426.0
13219,2018,3.5,5.9,41671.0
13221,2018,4.7,15.1,23027.0
13223,2018,4.3,9.4,27855.0
13225,2018,9.2,21.5,22767.0
13227,2018,6.1,9.6,30567.0
13229,2018,5.8,21.7,22236.0
13231,2018,6.4,13.1,26737.0
13233,2018,5.9,17.9,23233.0
13235,2018,4.8,25.9,19389.0
13237,2018,4.6,16.0,28819.0
13239,2018,11.1,22.7,19371.0
13241,2018,4.2,19.4,28312.0
13243,2018,7.8,37.0,19356.0
13245,2018,10.3,23.4,22045.0
13247,2018,7.6,15.2,26367.0
13249,2018,12.7,21.3,20585.0
13251,2018,6.2,22.3,21557.0
13253,2018,7.7,24.4,26358.0
13255,2018,6.9,21.6,22166.0
13257,2018,9.1,16.2,21839.0
13259,2018,8.9,37.0,16359.0
13261,2018,9.2,27.8,20191.0
13263,2018,7.9,19.1,20785.0
13265,2018,9.4,28.0,19897.0
13267,2018,3.8,22.5,17553.0
13269,2018,11.7,26.3,19068.0
13271,2018,2.6,28.2,15200.0
13273,2018,8.6,31.9,19330.0
13275,2018,8.1,20.8,25542.0
13277,2018,2.9,24.7,22072.0
13279,2018,10.3,23.7,23416.0
13281,2018,5.5,15.8,23940.0
13283,2018,5.7,21.2,23907.0
13285,2018,7.9,20.5,22348.0
13287,2018,6.1,35.3,18787.0
13289,2018,6.9,26.1,19465.0
13291,2018,3.7,14.4,27282.0
13293,2018,8.2,22.3,21015.0
13295,2018,6.4,17.7,23311.0
13297,2018,6.0,12.9,26545.0
13299,2018,3.5,23.7,20457.0
13301,2018,8.0,26.3,22916.0
13303,2018,7.4,26.6,19579.0
13305,2018,7.6,19.6,21067.0
13307,2018,2.2,25.3,21586.0
13309,2018,11.0,26.8,12292.0
13311,2018,4.2,13.8,25617.0
13313,2018,6.3,17.8,23271.0
13315,2018,7.0,22.0,14829.0
13317,2018,4.3,23.9,23198.0
13319,2018,7.2,25.0,21403.0
13321,2018,6.5,20.8,23517.0
15001,2018,5.9,16.6,29253.0
15003,2018,4.3,8.7,35202.0
15005,2018,0.0,10.6,47709.0
15007,2018,4.0,8.5,31674.0
15009,2018,4.4,9.7,33792.0
16001,2018,3.8,11.0,33352.0
16003,2018,11.1,11.4,25143.0
16005,2018,6.2,17.0,24555.0
16007,2018,3.1,16.9,24654.0
16009,2018,8.8,16.7,23502.0
16011,2018,4.3,12.5,21322.0
16013,2018,1.9,14.0,32861.0
16015,2018,6.4,13.1,30660.0
16017,2018,3.7,14.7,27590.0
16019,2018,3.8,12.1,27272.0
16021,2018,3.9,16.8,25401.0
16023,2018,5.8,16.2,25941.0
16025,2018,3.0,23.3,30803.0
16027,2018,6.5,15.2,20807.0
16029,2018,2.1,8.5,26908.0
16031,2018,3.2,14.3,21547.0
16033,2018,7.8,19.7,16181.0
16035,2018,5.5,13.4,22844.0
16037,2018,4.7,20.6,24545.0
16039,2018,7.0,13.8,23547.0
16041,2018,1.4,11.8,22367.0
16043,2018,6.4,12.7,21782.0
16045,2018,4.5,18.3,20776.0
16047,2018,4.4,15.9,22542.0
16049,2018,4.9,14.6,21584.0
16051,2018,4.6,7.7,22934.0
16053,2018,4.0,18.0,20820.0
16055,2018,5.2,12.1,29429.0
16057,2018,5.0,20.6,25623.0
16059,2018,3.5,13.1,23042.0
16061,2018,5.8,14.2,24052.0
16063,2018,3.1,13.4,20188.0
16065,2018,6.6,30.5,15626.0
16067,2018,3.5,19.3,23578.0
16069,2018,4.7,14.6,27753.0
16071,2018,5.1,13.0,21575.0
16073,2018,4.5,21.1,21935.0
16075,2018,5.5,13.6,25002.0
16077,2018,3.9,9.6,22199.0
16079,2018,8.6,17.3,24204.0
16081,2018,6.0,6.1,30554.0
16083,2018,3.4,14.8,24222.0
16085,2018,4.3,10.0,30838.0
16087,2018,5.4,15.7,21414.0
17001,2018,4.7,12.1,29347.0
17003,2018,7.0,30.2,19065.0
17005,2018,3.9,14.5,26356.0
17007,2018,6.8,11.0,30725.0
17009,2018,4.3,10.0,22279.0
17011,2018,5.3,12.6,29126.0
17013,2018,5.1,12.8,27314.0
17015,2018,6.6,11.1,28053.0
17017,2018,6.3,13.5,26245.0
17019,2018,4.8,20.9,29683.0
17021,2018,3.4,13.0,26166.0
17023,2018,6.3,12.6,29887.0
17025,2018,5.5,16.0,25821.0
17027,2018,3.4,9.0,31240.0
17029,2018,5.7,21.5,26790.0
17031,2018,7.8,15.1,35575.0
17033,2018,5.4,11.6,26713.0
17035,2018,3.4,14.0,25622.0
17037,2018,7.4,16.5,28073.0
17039,2018,5.5,11.0,29402.0
17041,2018,4.3,11.2,27871.0
17043,2018,4.5,6.8,43982.0
17045,2018,6.0,12.3,27701.0
17047,2018,6.1,10.3,26908.0
17049,2018,3.9,11.6,30255.0
17051,2018,7.0,17.9,22260.0
17053,2018,5.3,15.8,28002.0
17055,2018,8.5,19.6,23510.0
17057,2018,6.7,16.5,25538.0
17059,2018,4.5,19.6,25572.0
17061,2018,4.0,14.4,23946.0
17063,2018,5.1,8.8,33308.0
17065,2018,3.2,9.5,27795.0
17067,2018,6.2,11.9,26880.0
17069,2018,15.9,16.4,25795.0
17071,2018,5.6,8.2,28401.0
17073,2018,5.1,11.9,29014.0
17075,2018,5.6,14.0,26976.0
17077,2018,9.4,27.5,24521.0
17079,2018,4.1,13.1,25536.0
17081,2018,7.4,18.4,25770.0
17083,2018,4.1,9.2,28924.0
17085,2018,4.5,8.3,32710.0
17087,2018,5.7,11.8,22469.0
17089,2018,5.5,10.0,34924.0
17091,2018,6.0,14.8,27164.0
17093,2018,4.9,5.3,34423.0
17095,2018,5.7,18.1,24681.0
17097,2018,5.6,8.3,44287.0
17099,2018,6.8,13.5,29093.0
17101,2018,6.3,16.7,22099.0
17103,2018,4.4,10.9,29249.0
