COUNTYFP,year,totWrkE,eduP,hghRskP,hltCrP,retailP
13131,2018,10303.0,8.98,31.19,14.79,12.0
13133,2018,6305.0,7.49,21.9,16.46,9.45
13135,2018,450670.0,7.92,18.53,10.23,12.51
13137,2018,18083.0,9.39,34.61,11.24,11.78
13139,2018,91959.0,7.43,30.37,10.27,12.67
13141,2018,1977.0,15.28,25.34,24.13,5.31
13143,2018,12285.0,9.18,30.48,11.95,10.36
13145,2018,15186.0,9.15,19.73,13.31,9.19
13147,2018,9948.0,7.36,31.07,9.24,14.06
13149,2018,4905.0,8.48,35.88,10.99,10.38
13151,2018,104676.0,10.25,13.13,11.34,11.06
13153,2018,68567.0,8.75,14.66,12.55,11.81
13155,2018,3277.0,9.61,29.05,12.73,9.49
13157,2018,29560.0,8.83,25.63,11.44,14.33
13159,2018,5349.0,9.53,35.82,9.31,10.19
13161,2018,5530.0,6.15,34.48,10.89,10.85
13163,2018,5933.0,8.66,37.91,14.12,12.37
13165,2018,3309.0,8.79,35.66,13.75,7.22
13167,2018,4211.0,8.62,24.27,13.63,12.25
13169,2018,12114.0,10.52,22.81,15.33,10.35
13171,2018,7132.0,9.73,23.95,11.33,12.82
13173,2018,3643.0,8.7,19.87,17.27,13.12
13175,2018,17326.0,7.87,21.7,18.04,15.35
13177,2018,13267.0,12.21,22.02,16.17,9.29
13179,2018,22691.0,8.23,13.75,10.6,11.89
13181,2018,3259.0,9.54,36.94,10.25,10.65
13183,2018,6232.0,8.63,24.23,12.32,13.08
13185,2018,46705.0,12.54,16.19,13.17,15.82
13187,2018,15665.0,13.27,20.19,10.09,15.03
13189,2018,8513.0,7.21,27.24,10.69,15.0
13191,2018,5900.0,5.1,23.31,11.64,12.51
13193,2018,4416.0,7.31,40.1,12.98,8.11
13195,2018,12522.0,14.2,25.44,13.2,11.2
13197,2018,3432.0,11.89,34.73,8.45,9.82
13199,2018,8133.0,12.43,34.48,10.41,9.79
13201,2018,2371.0,9.41,28.89,16.53,8.98
13205,2018,8216.0,7.31,31.74,10.5,9.01
13207,2018,11536.0,12.66,18.55,13.26,10.06
13209,2018,3519.0,11.82,30.43,14.29,10.77
13211,2018,8139.0,10.46,27.91,9.26,8.23
13213,2018,16935.0,4.87,47.25,7.66,10.69
13215,2018,79636.0,8.29,16.01,13.86,12.75
13217,2018,46939.0,8.24,23.71,12.37,12.97
13219,2018,18115.0,18.7,14.8,15.05,8.36
13221,2018,6684.0,14.35,27.5,14.48,11.71
13223,2018,76827.0,8.76,20.59,11.03,13.24
13225,2018,10524.0,11.84,21.75,12.58,11.92
13227,2018,13613.0,6.52,25.51,11.86,13.23
13229,2018,7687.0,8.17,32.98,12.09,10.76
13231,2018,7774.0,12.86,27.59,11.62,7.85
13233,2018,18048.0,5.51,39.08,8.34,11.61
13235,2018,3704.0,7.99,26.27,14.23,12.74
13237,2018,9234.0,10.53,22.5,7.33,14.44
13239,2018,799.0,5.26,29.41,8.26,18.65
13241,2018,6142.0,12.46,25.06,9.96,14.52
13243,2018,2408.0,10.22,31.35,11.05,13.25
13245,2018,80890.0,9.11,16.08,16.71,13.91
13247,2018,39286.0,10.27,18.6,12.51,9.2
13249,2018,2173.0,10.35,32.9,15.78,12.01
13251,2018,5539.0,6.88,33.76,11.61,11.93
13253,2018,2864.0,8.66,28.04,15.85,11.77
