COUNTYFP,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
13177,11058,93.63,6.37,14.31,20.37,27.63,31.07221043
13179,27997,82.98,17.02,15.33,17.55,55.53,54.20857568
13181,4875,70.24,29.76,32.49,44.77,27.66,23.17232978
13183,6677,83.88,16.12,43.39,13.08,30.41,16.67618596
13185,46967,86.17,13.83,11.18,19.41,47.72,94.47222321
13187,13473,86.46,13.54,20.29,21.08,32.08,47.61774781
13189,9323,86.91,13.09,20.32,28.74,39.16,36.20996733
13191,9518,63.39,36.61,31.41,36.89,22.24,22.06551033
13193,6103,76.57,23.43,30.07,35.65,35.01,15.23235868
13195,12002,89.25,10.75,28.71,32.66,24.11,42.51106531
13197,4189,79.52,20.48,37.91,32.47,26.24,11.44487891
13199,9981,81.67,18.33,19.34,31,32.89,19.91336928
13201,2766,83.15,16.85,22.2,30.74,32.91,9.793870573
13205,9047,87.2,12.8,24.06,33.92,36.92,17.66455235
13207,11039,88.8,11.2,18.65,30.36,20.81,27.86994624
13209,3956,76.82,23.18,35.97,28.54,27.71,16.40513289
13211,7679,86.68,13.32,13.5,32.99,25.27,22.10403474
13213,16061,87.67,12.33,34.64,27.37,30.81,46.62222734
13215,84416,86.39,13.61,1.57,20.87,51.98,390.0270479
13217,38978,93.97,6.03,5.49,18.03,32.3,142.3864639
13219,13879,94.34,5.66,5.15,21.93,17.31,75.29464584
13221,6616,84.96,15.04,31.74,33.14,21.17,15.06854255
13223,55449,94.48,5.52,3.1,18.21,23.62,177.5559469
13225,11496,87.88,12.12,15.66,22.56,36.78,76.50445301
13227,13922,85.05,14.95,15.42,23.95,24.1,59.99385187
13229,8125,87.04,12.96,33.49,30.72,23.81,23.86564839
13231,6931,88.1,11.9,13,24.74,17.18,32.07537528
13233,16986,88.37,11.63,9.47,26.95,34.98,54.73546662
13235,4729,80.71,19.29,21.08,28.44,37.1,18.97214128
13237,13046,66.38,33.62,28.28,26.96,22.09,37.849575
13239,2034,45.92,54.08,59.29,40.91,31.26,13.44911569
13241,12600,52.09,47.91,10.81,31.94,25.19,34.04130496
13243,3548,73.73,26.27,22.1,37.67,42.58,8.285188618
