COUNTYFP,cntT,cntBupT,cntMetT,cntNalT,avBupTime,avMetTime,avNalTime,pctBupT,pctMetT,pctNalT
08011,1,1.0,0.0,1.0,0.0,63.53,0.0,1.0,0.0,1.0
08013,68,67.0,65.0,67.0,3.68,11.96,6.26,0.99,0.96,0.99
08014,18,18.0,18.0,18.0,7.41,17.17,8.04,1.0,1.0,1.0
08015,5,4.0,,5.0,11.93,,6.62,0.8,,1.0
08017,1,0.0,0.0,0.0,102.94,102.94,58.86,0.0,0.0,0.0
08019,3,1.0,0.0,3.0,34.55,49.98,13.11,0.33,0.0,1.0
08021,2,2.0,0.0,0.0,0.0,36.78,36.78,1.0,0.0,0.0
08023,2,1.0,0.0,1.0,18.82,72.06,18.82,0.5,0.0,0.5
08025,1,0.0,0.0,1.0,36.38,57.25,0.0,0.0,0.0,1.0
08027,1,0.0,0.0,0.0,63.71,76.7,63.71,0.0,0.0,0.0
08029,7,5.0,0.0,6.0,22.76,72.33,16.67,0.71,0.0,0.86
08031,144,144.0,144.0,144.0,2.37,8.31,4.39,1.0,1.0,1.0
08033,1,1.0,0.0,0.0,0.0,135.22,79.9,1.0,0.0,0.0
08035,61,60.0,52.0,59.0,7.77,20.42,9.49,0.98,0.85,0.97
08037,14,13.0,,3.0,10.88,,40.27,0.93,,0.21
08039,7,5.0,0.0,4.0,27.29,59.58,27.09,0.71,0.0,0.57
08041,130,127.0,115.0,129.0,5.57,19.19,7.36,0.98,0.88,0.99
08043,14,13.0,0.0,13.0,10.52,52.36,11.8,0.93,0.0,0.93
08045,11,11.0,,8.0,9.62,,17.61,1.0,,0.73
08047,1,0.0,0.0,1.0,49.78,60.92,0.0,0.0,0.0,1.0
08049,3,1.0,0.0,2.0,35.32,131.48,28.0,0.33,0.0,0.67
08051,4,0.0,,2.0,121.96,,54.41,0.0,,0.5
08053,1,0.0,0.0,0.0,143.22,241.42,98.01,0.0,0.0,0.0
08055,2,1.0,0.0,0.0,16.71,72.92,60.14,0.5,0.0,0.0
08057,1,0.0,0.0,0.0,78.48,214.32,82.74,0.0,0.0,0.0
08059,138,133.0,126.0,137.0,6.29,16.78,7.09,0.96,0.91,0.99
08061,1,0.0,0.0,0.0,65.64,65.97,45.82,0.0,0.0,0.0
08063,3,0.0,0.0,2.0,66.82,164.17,27.64,0.0,0.0,0.67
08065,2,2.0,,2.0,3.16,,3.16,1.0,,1.0
08067,10,8.0,8.0,0.0,11.87,17.97,59.74,0.8,0.8,0.0
08069,73,69.0,13.0,69.0,6.29,43.16,9.19,0.95,0.18,0.95
08071,6,4.0,,4.0,17.0,,18.26,0.67,,0.67
08073,2,1.0,0.0,1.0,24.36,112.68,24.36,0.5,0.0,0.5
08075,6,5.0,,5.0,9.42,,12.42,0.83,,0.83
08077,29,27.0,27.0,27.0,8.48,15.02,10.51,0.93,0.93,0.93
08079,1,0.0,0.0,0.0,83.56,105.38,82.55,0.0,0.0,0.0
08081,4,3.0,,3.0,13.8,,16.4,0.75,,0.75
08083,7,5.0,0.0,7.0,20.9,62.96,15.13,0.71,0.0,1.0
08085,10,9.0,0.0,9.0,15.1,95.35,22.28,0.9,0.0,0.9
08087,8,8.0,,8.0,10.91,,10.91,1.0,,1.0
08089,7,5.0,0.0,7.0,16.24,73.5,7.13,0.71,0.0,1.0
08091,1,0.0,0.0,0.0,44.08,116.14,44.08,0.0,0.0,0.0
08093,5,0.0,0.0,1.0,59.64,100.39,58.82,0.0,0.0,0.2
08095,2,0.0,,2.0,61.44,,12.78,0.0,,1.0
08097,4,3.0,,0.0,13.24,,40.37,0.75,,0.0
08099,5,3.0,3.0,4.0,22.59,22.59,9.97,0.6,0.6,0.8
08101,55,54.0,51.0,52.0,6.69,12.66,7.78,0.98,0.93,0.95
08103,2,1.0,0.0,1.0,31.38,141.73,37.86,0.5,0.0,0.5
08105,3,3.0,1.0,3.0,23.11,35.77,12.48,1.0,0.33,1.0
08107,8,6.0,,5.0,16.29,,25.51,0.75,,0.62
08109,2,1.0,0.0,2.0,23.54,56.94,0.0,0.5,0.0,1.0
08111,1,0.0,0.0,0.0,62.74,64.14,88.94,0.0,0.0,0.0
08113,4,4.0,0.0,0.0,5.67,176.75,114.64,1.0,0.0,0.0
08115,1,0.0,,1.0,47.32,,0.0,0.0,,1.0
08117,5,5.0,0.0,5.0,5.76,96.84,16.28,1.0,0.0,1.0
08119,6,4.0,0.0,4.0,20.4,66.82,26.34,0.67,0.0,0.67
08121,2,0.0,,1.0,65.5,,35.73,0.0,,0.5
08123,77,76.0,26.0,76.0,8.38,40.33,8.53,0.99,0.34,0.99
08125,2,1.0,,2.0,24.22,,0.0,0.5,,1.0
09001,211,211.0,210.0,211.0,3.9,9.0,6.41,1.0,1.0,1.0
09003,224,224.0,223.0,223.0,3.48,8.79,6.75,1.0,1.0,1.0
09005,51,51.0,42.0,51.0,10.01,17.88,10.64,1.0,0.82,1.0
09007,37,37.0,31.0,35.0,6.45,20.22,10.39,1.0,0.84,0.95
09009,190,190.0,189.0,190.0,3.04,10.48,5.51,1.0,0.99,1.0
09011,66,66.0,65.0,66.0,4.95,12.78,7.8,1.0,0.98,1.0
09013,29,29.0,29.0,29.0,6.01,15.94,12.42,1.0,1.0,1.0
09015,25,25.0,25.0,25.0,6.92,14.18,8.43,1.0,1.0,1.0
10001,33,33.0,33.0,33.0,7.53,11.08,9.87,1.0,1.0,1.0
10003,131,131.0,131.0,131.0,3.02,9.0,5.96,1.0,1.0,1.0
10005,54,54.0,54.0,54.0,10.72,14.95,12.5,1.0,1.0,1.0
11001,179,179.0,179.0,179.0,1.53,6.21,5.16,1.0,1.0,1.0
12001,56,56.0,48.0,53.0,6.32,16.48,14.01,1.0,0.86,0.95
12003,4,3.0,0.0,0.0,11.38,40.22,41.14,0.75,0.0,0.0
12005,44,44.0,41.0,43.0,7.6,15.13,9.96,1.0,0.93,0.98
12007,4,4.0,0.0,4.0,12.93,46.47,12.93,1.0,0.0,1.0
12009,114,114.0,103.0,104.0,5.67,18.66,14.89,1.0,0.9,0.91
12011,362,361.0,359.0,361.0,3.26,13.82,6.78,1.0,0.99,1.0
12013,3,3.0,0.0,0.0,18.14,67.64,44.29,1.0,0.0,0.0
12015,39,38.0,4.0,33.0,7.98,43.88,19.42,0.97,0.1,0.85
12017,28,27.0,0.0,15.0,12.1,50.6,27.28,0.96,0.0,0.54
12019,30,29.0,11.0,26.0,8.99,38.95,14.65,0.97,0.37,0.87
12021,74,69.0,62.0,72.0,8.73,19.43,11.77,0.93,0.84,0.97
12023,12,11.0,9.0,9.0,12.25,22.03,22.03,0.92,0.75,0.75
12027,9,2.0,0.0,2.0,34.99,60.39,37.9,0.22,0.0,0.22
12029,4,3.0,0.0,0.0,16.87,85.06,45.33,0.75,0.0,0.0
12031,174,174.0,168.0,173.0,4.54,16.14,9.2,1.0,0.97,0.99
12033,72,72.0,67.0,71.0,7.82,14.09,9.36,1.0,0.93,0.99
12035,21,21.0,1.0,21.0,8.68,36.18,10.99,1.0,0.05,1.0
12037,6,5.0,0.0,3.0,16.29,91.11,22.34,0.83,0.0,0.5
12039,9,8.0,0.0,8.0,17.26,44.7,17.26,0.89,0.0,0.89
12041,5,5.0,0.0,2.0,20.52,52.72,33.11,1.0,0.0,0.4
12043,4,1.0,0.0,0.0,35.36,69.72,68.18,0.25,0.0,0.0
12045,4,2.0,0.0,0.0,24.02,61.57,41.68,0.5,0.0,0.0
12047,3,2.0,0.0,0.0,28.57,44.78,41.54,0.67,0.0,0.0
12049,6,6.0,0.0,0.0,13.0,68.88,40.9,1.0,0.0,0.0
12051,7,4.0,0.0,0.0,29.97,65.89,54.24,0.57,0.0,0.0
12053,45,44.0,36.0,44.0,9.62,21.08,14.11,0.98,0.8,0.98
12055,27,22.0,0.0,18.0,15.64,91.68,22.76,0.81,0.0,0.67
12057,321,321.0,256.0,317.0,5.93,22.04,10.03,1.0,0.8,0.99
12059,4,3.0,0.0,0.0,19.5,66.79,53.72,0.75,0.0,0.0
12061,31,31.0,14.0,29.0,4.48,31.37,13.83,1.0,0.45,0.94
12063,11,10.0,0.0,9.0,20.71,66.12,23.57,0.91,0.0,0.82
12065,4,2.0,0.0,1.0,31.44,49.08,34.68,0.5,0.0,0.25
12067,2,0.0,0.0,1.0,43.13,78.4,42.46,0.0,0.0,0.5
12069,56,55.0,2.0,38.0,7.88,47.01,21.2,0.98,0.04,0.68
12071,167,165.0,130.0,149.0,7.76,22.2,17.07,0.99,0.78,0.89
12073,68,68.0,59.0,67.0,8.13,18.8,11.36,1.0,0.87,0.99
12075,10,8.0,1.0,5.0,22.09,55.78,31.58,0.8,0.1,0.5
12077,2,1.0,0.0,0.0,28.36,65.67,47.82,0.5,0.0,0.0
12079,5,5.0,0.0,0.0,10.29,53.68,45.15,1.0,0.0,0.0
12081,79,78.0,72.0,77.0,7.28,16.83,13.87,0.99,0.91,0.97
