ZCTA,pop,minDist_SUT
80449,778,42.65
80294,0,0.16
06422,7248,1.8
06350,46,5.49
32571,35388,9.36
74942,155,11.41
97761,4290,16.51
97869,833,15.99
97005,26442,0.26
97636,431,44.36
16323,15530,0.34
16933,6783,9.75
15701,34184,0.38
19457,63,2.7
15778,191,12.15
18353,12460,8.6
15434,258,3.1
15219,16501,0.33
82725,630,41.06
36830,39078,7.57
36720,1012,25.76
98047,7023,2.66
98565,769,6.18
98385,301,3.04
25541,9934,9.46
26164,7553,11.92
26137,581,13.9
54946,96,19.55
53901,14703,1.42
25672,384,8.86
54765,2,15.04
53195,121,6.28
77518,10684,2.78
54874,3841,13.11
54214,220,6.54
84313,89,60.81
54654,66,17.27
82601,28830,16.04
82201,6471,9.27
25008,139,12.64
82838,248,29.22
98320,1128,16.53
97828,3112,19.62
85322,626,20.32
31815,3677,20.25
21052,251,4.76
04746,429,12.04
59831,423,12.03
81149,825,26.19
21718,140,9.63
59460,161,35.68
60482,10916,0.93
50566,450,6.93
46045,78,5.62
61323,91,5.51
04435,1069,9.86
57012,1198,23.65
38588,757,17.44
37064,56641,4.65
38450,3039,9.05
37874,15203,7.79
37357,5653,11.96
79032,76,13.23
78621,23496,0.4
77430,2104,10.14
77583,36903,7.38
75560,857,24.78
76450,13020,5.09
77535,34291,8.11
77713,13469,4.25
78861,13965,24.01
75089,34374,7.74
79916,3039,2.37
78060,115,54.81
03770,513,7.15
07102,13382,0.05
07505,2423,0.15
07649,8134,1.65
87511,2896,4.74
87011,47,53.8
88032,252,3.68
10026,39363,0.08
14173,387,9.75
14539,171,4.95
11373,93967,0.21
10162,1584,0.35
11947,511,4.38
13325,1067,25.33
10503,173,1.78
11096,8311,0.88
11355,80853,0.35
28043,21075,5.71
28098,3629,2.04
27809,5083,4.35
27205,34517,4.85
28282,0,0.31
44680,4455,7.61
58402,250,0.26
58069,100,58.75
58563,2191,26.87
58451,171,38.84
45316,108,8.47
43844,3519,10.88
45336,161,20.03
74966,3663,15.15
74048,6213,1.1
74134,16254,3.29
73111,11368,1.44
73097,167,4.9
83226,1951,12.35
32079,461,8.21
20565,0,0.46
58707,515,0.23
13677,112,5.31
07495,0,1.54
10168,0,0.07
15733,159,2.55
97637,99,63.02
82327,955,38.68
85750,24535,1.59
95531,23470,8.25
96050,418,17.81
96086,309,9.78
81521,15781,14.73
80428,824,26.87
78411,25999,0.78
75501,35834,6.09
27831,3199,4.65
05905,711,15.38
24202,11319,4.55
98586,1640,10.1
44095,33340,2.01
74745,9499,1.39
24861,135,12.0
48509,8823,2.82
55962,752,19.39
55439,8996,0.95
55070,7810,1.4
55316,24478,1.54
06376,213,8.07
95451,11627,9.73
80013,72887,2.61
32456,8437,19.21
06409,466,10.41
95404,40474,1.8
83539,2293,41.37
52726,4716,6.05
32615,14630,9.23
67831,824,40.04
67140,916,13.39
70643,187,31.39
60633,12871,2.12
46915,584,11.64
20712,9496,0.85
42071,31614,1.19
01907,14950,1.71
70441,4357,22.69
01504,9246,2.58
49762,660,31.05
49434,6,4.75
49953,2519,5.34
49745,1013,14.68
04852,38,21.05
55604,3384,17.71
39470,11799,18.37
01360,2997,8.81
68327,301,31.71
03854,780,1.13
03576,2807,4.84
88260,15142,19.74
11235,78128,0.5
28152,25348,4.3
68071,2163,0.12
39482,11089,15.67
73945,2884,22.48
74960,13497,1.13
07066,15603,0.84
08561,320,4.69
16940,268,16.11
29455,22024,10.02
29575,18727,1.33
29690,23217,8.19
28553,326,11.44
35150,17448,17.66
36785,1039,15.73
35968,4584,3.87
36866,3758,7.6
86401,25709,18.62
72530,1282,9.52
71913,47060,1.45
72852,115,14.94
72112,10966,2.6
71677,192,10.46
72701,43641,6.99
71772,8,24.16
71770,3591,9.7
96094,6556,15.98
92557,52089,1.55
93225,4816,23.97
90211,7969,0.66
95140,115,9.93
93550,77006,6.5
95987,6119,16.57
95573,1554,10.61
96041,2797,19.56
93238,1015,12.32
90089,3862,0.32
95623,3730,7.08
95981,32,12.15
96006,380,27.05
93562,1723,17.98
81647,7333,13.17
80473,4,25.75
80537,43637,4.63
80030,16607,0.32
81022,1628,17.09
80544,119,3.89
81424,1000,16.63
80820,751,29.65
06266,538,3.49
06389,15,1.0
06608,13856,0.07
20551,0,0.31
32054,11724,3.28
32177,26377,5.6
34268,128,4.76
32612,7606,2.13
33026,31045,3.22
32430,1064,21.64
33855,0,18.13
31044,3463,14.25
31419,58252,6.74
31549,2157,25.8
30733,2143,7.69
47352,1064,7.28
47110,840,7.71
47160,113,4.3
47467,117,8.73
50515,260,10.51
50041,89,25.41
50652,95,18.41
50160,498,9.14
52166,107,15.29
50165,109,6.21
67117,1879,1.37
66522,58,21.34
66203,19290,1.71
55403,16588,0.64
55422,29243,0.99
18246,247,7.2
39630,785,24.71
39046,27639,17.09
39083,9774,4.79
38879,661,3.98
39455,9100,10.97
87521,835,17.28
87041,772,12.2
10459,48351,0.31
11425,0,0.03
10170,0,0.15
10032,64264,0.18
13368,1063,30.9
10152,0,0.13
11575,16546,0.19
11005,1749,0.43
14727,5225,11.57
11429,27403,1.94
11223,81789,0.31
10020,0,0.22
11103,36140,0.48
11412,37458,1.62
28658,27479,2.09
27587,66583,1.01
27534,32233,1.55
28785,7811,10.52
28327,16192,10.29
28280,0,0.25
28328,27225,1.0
27539,23436,4.65
27605,5490,2.58
58703,22581,4.29
58204,2347,14.87
58545,3573,10.97
58656,509,16.21
43004,26139,3.65
43136,690,7.32
43468,401,9.95
45229,13090,1.31
43842,330,12.33
45616,1461,10.75
45884,158,10.26
45041,87,2.8
45354,456,9.49
74017,28375,6.0
74463,2145,7.58
73841,1329,17.38
97108,505,11.08
97850,17180,1.95
97503,12338,11.22
18434,3899,4.07
17815,30375,1.76
16720,1250,11.43
16682,23,5.95
17888,273,2.64
16049,2951,6.28
15483,404,3.42
16201,17616,2.47
15034,1779,1.44
15035,2106,2.48
17343,19,5.94
65453,8643,2.51
64165,215,7.49
65259,3278,7.22
59525,298,30.86
59710,255,29.78
59018,519,13.85
59923,9282,13.8
59337,768,6.8
59261,506,27.24
68444,70,7.99
68118,10134,1.84
89318,1271,12.27
03824,16440,5.62
03586,629,6.17
08312,8261,0.79
07880,263,4.17
88038,341,68.0
88116,450,36.18
83626,1494,6.87
62682,986,17.48
60155,7829,0.45
62541,37,12.63
