"ZCTA","minDisHosp","timeDrive","countDrive"
4027,10.61,16.73,1
4032,15.36,18.2,5
4037,13.28,23.15,2
4038,9.22,12.89,4
4039,21.47,20.76,6
4040,6.25,13.34,2
4042,17.23,27.13,1
4043,9.44,14.46,3
4046,5.45,16.12,2
4051,18.13,27.4,1
4055,9.98,14.3,1
4057,5.44,7.78,2
4062,14.41,16.23,4
4063,2.12,5.68,6
4064,1.02,0,6
4066,13.9,24.98,1
4069,19.52,26.96,1
4072,6.1,5,6
4074,6.19,12.81,6
4079,10.69,20.41,1
4083,19.06,27.86,2
4084,18.76,29.61,1
4086,7.12,7.74,1
4088,12.83,19.22,2
4090,17.44,17.97,3
4092,4.07,0,6
4093,13.43,20.83,6
4096,15.08,16.06,5
4097,18.12,26.33,4
4101,1.15,0,6
4102,1.23,0,6
4103,2.63,0,6
4105,7.8,15.83,4
4106,2.29,6.58,6
4107,6.27,10.22,4
4110,10.9,15.74,5
4210,2.89,7.08,2
4220,17.4,28.95,1
4221,18.71,27.81,1
4222,14.08,24.1,3
4224,11.1,24.37,1
4227,11.51,26.76,1
4234,2.03,15.61,1
4236,9.36,12.48,2
4237,12.86,26.85,1
4238,10.42,28.15,1
4239,9.86,26.98,1
4240,2.4,0,2
4250,9.29,15.96,3
4252,12.07,16.74,3
4256,13.45,23.61,3
4257,3.65,9.74,1
4258,9.64,22.46,3
4260,14.4,19.76,4
4263,19.23,28,2
4265,19.13,27.17,6
4267,16.69,29.44,1
4268,5.45,0,1
4270,9.49,16.47,1
4271,5.68,14.31,1
4274,13.23,25.83,3
4275,14.55,20.29,1
4276,4.4,0,1
4280,9.75,12.53,3
4281,4.5,9.42,1
4282,16.07,24.88,2
4287,15.49,22.11,1
4289,10.72,17.98,1
4290,10.53,23.1,1
4294,7.38,23.94,1
4330,1.58,0,5
4342,15.32,29.19,1
4343,8.35,14.55,4
4344,5.27,13.3,4
4345,9.7,16.95,4
4346,5.46,14.88,4
4347,3.13,8.86,4
4351,6.34,12.23,4
4353,9.65,24.1,4
4354,21.51,29.99,4
4355,11.81,24.82,4
4358,14.92,17.34,5
4359,10.68,20.21,4
4360,13.46,19.79,1
4363,9.22,18.24,4
4364,13.32,21.88,4
4401,6.06,0,4
4406,22.26,29.37,1
4412,2.68,11.48,4
4419,17.99,25.98,5
4422,18.16,24.27,1
4426,4.9,0,1
4427,23.15,26.35,5
4428,12.88,25.56,4
4429,12.63,23.8,5
4430,9.15,20.45,1
4431,15.7,27.08,2
4434,16.4,19.92,1
4441,44.63,0,1
4442,6.07,17.4,1
4443,11.71,18.39,1
4444,14.76,21.7,4
4448,13.63,23.05,1
4449,19.22,27.01,4
4450,14.65,18.48,4
4455,16.93,16.17,1
4456,17.1,19.59,4
4457,7.27,0,1
4460,12.44,24.61,2
4461,18.63,25.1,4
4462,33.77,0,1
4463,24.52,27.3,1
4468,19.96,23.54,4
4469,9.57,21.95,4
4471,24.17,28.71,1
4472,16.91,22.75,2
4473,6.91,19.37,4
4474,9.33,22.42,4
4475,17.05,27.72,1
4476,10.22,16.09,1
4479,7.59,23.34,1
4481,11.03,20.06,1
4485,9.66,23.3,1
4489,9.7,16.31,4
4493,10.88,19.44,1
4495,16.69,21.46,1
4530,4.36,12.53,2
4535,9.31,24.7,1
4537,13.99,23.53,1
4538,17.7,28.32,1
4539,6.18,13.84,1
4541,13.08,27.75,1
4543,2.78,0,1
4548,13.17,29.95,1
4551,7.41,21.82,1
4553,3.51,9.73,1
4554,15.51,25.61,1
4555,8.54,13.63,1
4556,8.45,15.19,1
4558,12.29,25.21,1
4562,12.18,26.81,1
4564,9.87,24.11,1
4568,13.62,25.63,1
4572,13.76,15.59,2
4573,7.36,14.8,1
4578,12,16.85,2
4579,9.97,25.8,2
4605,12.47,0,1
4609,4.78,0,1
4614,0.65,0,1
4616,12.43,22.12,1
4617,11.24,29.02,1
4619,5.25,0,1
4626,17.81,29.08,1
4629,5.09,9.15,1
4630,12.09,12.15,1
4640,7.82,21,1
4644,4.46,2.46,1
4646,12.57,24.31,1
4648,9.29,13.58,1
4650,14.86,26.22,1
4654,7.75,0,1
4655,7.46,23.99,1
4660,10.03,26.47,1
4662,9.75,29.5,1
4671,13.13,29.08,1
4673,11.56,19.3,1
4675,8.52,23.74,1
4676,7.32,15.3,1
4684,8.93,12.28,2
4691,16.26,24.57,1
4694,15.89,17.82,1
4730,4.86,0,1
4734,20.47,26.23,1
4736,3.74,0,3
4739,26.85,26.67,1
