COUNTYFP,year,essnWrkE,wrkPopE,essnWrkP
17059,2018,1239,2139,57.92
17061,2018,3610,6026,59.91
17063,2018,12959,25041,51.75
17065,2018,2147,3635,59.06
17067,2018,4569,8127,56.22
17069,2018,916,1379,66.42
17071,2018,1984,3262,60.82
17073,2018,11744,22904,51.27
17075,2018,7456,13260,56.23
17077,2018,11367,25059,45.36
17079,2018,2395,4438,53.97
17081,2018,9247,16150,57.26
17083,2018,5716,10675,53.55
17085,2018,5785,10723,53.95
17087,2018,1980,3878,51.06
17089,2018,119961,266113,45.08
17091,2018,27390,50539,54.2
17093,2018,25647,64083,40.02
17095,2018,11859,21236,55.84
17097,2018,130720,350731,37.27
17099,2018,28662,51365,55.8
17101,2018,3717,6333,58.69
17103,2018,8527,15455,55.17
17105,2018,9377,16284,57.58
17107,2018,6415,12456,51.5
17109,2018,6277,13464,46.62
17111,2018,67085,163471,41.04
17113,2018,32778,90407,36.26
17115,2018,24123,47876,50.39
17117,2018,10877,20652,52.67
17119,2018,59649,125733,47.44
17121,2018,10512,16723,62.86
17123,2018,3002,5404,55.55
17125,2018,3606,6162,58.52
17127,2018,3078,5617,54.8
17129,2018,2839,6077,46.72
17131,2018,3960,7392,53.57
17133,2018,7194,17910,40.17
17135,2018,5971,11245,53.1
17137,2018,7911,15653,50.54
17139,2018,3885,6925,56.1
17141,2018,13581,24879,54.59
17143,2018,37811,83236,45.43
17145,2018,5061,7988,63.36
17147,2018,4146,8575,48.35
17149,2018,3940,6935,56.81
17151,2018,828,1267,65.35
17153,2018,1139,1863,61.14
17155,2018,1784,2993,59.61
17157,2018,7893,12944,60.98
17159,2018,4471,7257,61.61
17161,2018,35014,68166,51.37
17163,2018,56592,118602,47.72
17165,2018,5610,9736,57.62
17167,2018,40211,95308,42.19
17169,2018,1597,2872,55.61
17171,2018,1288,2343,54.97
17173,2018,6099,10347,58.94
17175,2018,1257,2508,50.12
17177,2018,11346,21222,53.46
17179,2018,29406,63328,46.43
17181,2018,4427,7148,61.93
17183,2018,17814,31575,56.42
17185,2018,3109,5325,58.38
17187,2018,4486,8086,55.48
17189,2018,3800,7121,53.36
17191,2018,4385,7507,58.41
17193,2018,3371,5926,56.88
17195,2018,15030,26393,56.95
17197,2018,157861,348560,45.29
17199,2018,14955,28899,51.75
17201,2018,67784,132751,51.06
17203,2018,8338,18800,44.35
18001,2018,9297,15536,59.84
18003,2018,88580,179102,49.46
18005,2018,18143,40192,45.14
18007,2018,2246,4073,55.14
18009,2018,3360,5348,62.83
18011,2018,12800,33689,37.99
18013,2018,3575,7022,50.91
18015,2018,5582,9242,60.4
18017,2018,10883,17098,63.65
18019,2018,29522,57679,51.18
18021,2018,7334,12218,60.03
18023,2018,9408,15129,62.19
18025,2018,2749,4361,63.04
18027,2018,8945,14513,61.63
18029,2018,12832,24790,51.76
18031,2018,7629,13121,58.14
18033,2018,12539,21374,58.66
18035,2018,26540,53067,50.01
18037,2018,11809,22194,53.21
18039,2018,54594,96156,56.78
18041,2018,6284,9858,63.75
18043,2018,17889,38611,46.33
18045,2018,4623,7506,61.59
18047,2018,6183,11080,55.8
18049,2018,5408,9557,56.59
18051,2018,9949,16281,61.11
18053,2018,16576,29052,57.06
18055,2018,7839,14124,55.5
18057,2018,49834,168749,29.53
18059,2018,17183,38632,44.48
18061,2018,9618,17765,54.14
18063,2018,35829,84103,42.6
18065,2018,10983,20056,54.76
18067,2018,21399,36898,58.0
18069,2018,10037,18366,54.65
18071,2018,11098,20533,54.05
18073,2018,8943,15493,57.72
18075,2018,6231,9491,65.65
18077,2018,8596,14454,59.47
18079,2018,7796,13225,58.95
18081,2018,33648,76397,44.04
18083,2018,10914,18068,60.41
18085,2018,21450,39265,54.63
18087,2018,11033,16906,65.26
18089,2018,113274,217505,52.08
18091,2018,26755,47006,56.92
18093,2018,11201,20460,54.75
18095,2018,30768,56373,54.58
18097,2018,216380,457060,47.34
18099,2018,12261,21365,57.39
18101,2018,2870,4705,61.0
18103,2018,9786,15271,64.08
18105,2018,29325,72599,40.39
18107,2018,11018,18836,58.49
18109,2018,17608,33028,53.31
18111,2018,3852,6161,62.52
18113,2018,14517,22947,63.26
18115,2018,1775,3004,59.09
18117,2018,4925,8424,58.46
18119,2018,5804,9411,61.67
18121,2018,4218,6748,62.51
18123,2018,5324,8351,63.75
18125,2018,3747,5726,65.44
18127,2018,39610,80189,49.4
18129,2018,6530,12398,52.67
18131,2018,3569,5536,64.47
18133,2018,8868,16250,54.57
18135,2018,6922,11271,61.41
18137,2018,8068,13884,58.11
18139,2018,4495,7440,60.42
18141,2018,62044,128360,48.34
18143,2018,6006,10004,60.04
18145,2018,12422,22158,56.06
18147,2018,5811,9947,58.42
18149,2018,5770,9661,59.72
18151,2018,9499,17250,55.07
18153,2018,5473,8286,66.05
18155,2018,2828,4355,64.94
18157,2018,43088,94285,45.7
18159,2018,4236,7450,56.86
18161,2018,2021,3368,60.01
18163,2018,43885,87595,50.1
18165,2018,3925,6549,59.93
18167,2018,25445,48565,52.39
18169,2018,8562,14813,57.8
18171,2018,2325,3948,58.89
18173,2018,15321,31570,48.53
18175,2018,7138,12021,59.38
18177,2018,17157,29728,57.71
18179,2018,7566,13750,55.03
18181,2018,6659,11453,58.14
18183,2018,9917,16976,58.42
19001,2018,1936,3580,54.08
19003,2018,899,1756,51.2
19005,2018,4171,6923,60.25
19007,2018,3038,5520,55.04
19009,2018,1536,2908,52.82
19011,2018,6972,13323,52.33
19013,2018,34720,69573,49.9
19015,2018,7162,13879,51.6
19017,2018,5831,12957,45.0
19019,2018,5697,10407,54.74
19021,2018,6361,10523,60.45
19023,2018,3646,7287,50.03
19025,2018,2318,4416,52.49
19027,2018,5442,10632,51.19
19029,2018,3389,6455,52.5
19031,2018,4776,9920,48.15
19033,2018,11882,21912,54.23
19035,2018,3311,5930,55.83
19037,2018,3625,6457,56.14
19039,2018,2613,4612,56.66
19041,2018,4100,8262,49.62
19043,2018,5170,9181,56.31
19045,2018,12218,22653,53.94
19047,2018,5194,7993,64.98
19049,2018,14941,46027,32.46
19051,2018,2221,4158,53.42
19053,2018,1762,3720,47.37
19055,2018,4988,9334,53.44
19057,2018,10641,19087,55.75
19059,2018,4758,9189,51.78
19061,2018,23145,50388,45.93
19063,2018,2693,4802,56.08
19065,2018,5454,9937,54.89
19067,2018,3865,7920,48.8
19069,2018,2509,4845,51.79
19071,2018,1761,3373,52.21
19073,2018,2324,4498,51.67
19075,2018,2908,6244,46.57
19077,2018,2520,5275,47.77
19079,2018,3933,7607,51.7
19081,2018,2809,5653,49.69
19083,2018,4717,8713,54.14
19085,2018,3666,7347,49.9
19087,2018,5142,9335,55.08
19089,2018,2724,4783,56.95
19091,2018,2496,4672,53.42
19093,2018,1803,3443,52.37
19095,2018,4428,8353,53.01
19097,2018,5244,9531,55.02
19099,2018,8650,17587,49.18
19101,2018,3850,8235,46.75
19103,2018,35256,82627,42.67
19105,2018,4952,9825,50.4
19107,2018,2722,4996,54.48
19109,2018,3713,7496,49.53
19111,2018,9784,15928,61.43
19113,2018,51211,118580,43.19
19115,2018,3453,5510,62.67
19117,2018,2148,3981,53.96
19119,2018,2822,6089,46.35
19121,2018,3811,8363,45.57
19123,2018,5555,10783,51.52
19125,2018,8573,16957,50.56
19127,2018,11362,19085,59.53
19129,2018,3740,7475,50.03
19131,2018,2797,5225,53.53
19133,2018,2237,4269,52.4
19135,2018,2017,3662,55.08
19137,2018,2517,4779,52.67
19139,2018,11803,21523,54.84
19141,2018,4209,7379,57.04
19143,2018,1724,3162,54.52
19145,2018,3837,7143,53.72
19147,2018,2445,4781,51.14
19149,2018,6574,13314,49.38
19151,2018,1910,3396,56.24
19153,2018,102113,253971,40.21
19155,2018,23134,47226,48.99
19157,2018,4700,9850,47.72
