"","GEOID","count_in_range_buprenorphine","time_to_nearest_buprenorphine","buprenorphine_score"
"625","03045",10,14,0.522222222222222
"626","03046",8,25,0.166666666666667
"627","03047",2,21,0.2
"628","03048",8,16,0.344444444444444
"629","03049",6,21,0.3
"630","03051",16,10,0.666666666666667
"631","03052",12,21,0.3
"632","03053",14,17,0.433333333333333
"633","03054",14,0,0.733333333333333
"634","03055",6,28,0.0444444444444444
"635","03057",2,29,0.0222222222222222
"636","03060",22,0,1
"637","03062",16,8,0.733333333333333
"638","03063",16,12,0.6
"639","03064",18,7,0.766666666666667
"640","03070",8,26,0.122222222222222
"641","03071",2,19,0.244444444444444
"642","03076",26,14,0.511111111111111
"643","03077",12,23,0.222222222222222
"644","03079",28,14,0.522222222222222
"645","03082",0,36,0
"646","03084",4,23,0.188888888888889
"647","03086",2,26,0.0888888888888889
"648","03087",28,22,0.266666666666667
"649","03101",18,0,0.955555555555556
"650","03102",18,5,0.8
"651","03103",18,0,1
"652","03104",16,0,0.933333333333333
"653","03106",16,0,0.866666666666667
"654","03109",10,8,0.733333333333333
"655","03110",12,11,0.633333333333333
"656","03215",0,32,0
"657","03216",2,23,0.155555555555556
"658","03217",4,16,0.311111111111111
"659","03218",6,30,0
"660","03220",4,15,0.4
"661","03221",0,39,0
"662","03222",2,0,0.666666666666667
"663","03223",2,12,0.4
"664","03224",8,23,0.233333333333333
"665","03225",0,40,0
"666","03226",4,23,0.177777777777778
"667","03227",0,38,0
"668","03229",6,20,0.333333333333333
"669","03230",2,21,0.2
"670","03231",2,16,0.311111111111111
"671","03233",2,23,0.155555555555556
"672","03234",8,21,0.3
"673","03235",10,0,0.722222222222222
"674","03237",4,21,0.222222222222222
"675","03238",0,36,0
"676","03240",0,32,0
"677","03241",4,24,0.144444444444444
"678","03242",8,26,0.111111111111111
"679","03243",4,19,0.344444444444444
"680","03244",2,18,0.266666666666667
"681","03245",2,13,0.377777777777778
"682","03246",4,0,0.722222222222222
"683","03249",4,8,0.511111111111111
"684","03251",0,35,0
"685","03253",4,15,0.333333333333333
"686","03254",0,51,0
"687","03255",0,33,0
"688","03256",8,21,0.288888888888889
"689","03257",2,19,0.244444444444444
"690","03258",6,15,0.5
"691","03259",0,47,0
"692","03260",2,23,0.155555555555556
"693","03261",0,31,0
"694","03262",0,31,0
"695","03263",6,26,0.133333333333333
"696","03264",2,0,0.666666666666667
"697","03266",4,18,0.266666666666667
"698","03268",8,17,0.322222222222222
"699","03269",4,17,0.344444444444444
"700","03273",0,33,0
"701","03275",12,16,0.466666666666667
"702","03276",10,7,0.633333333333333
"703","03278",6,30,0
"704","03279",0,34,0
"705","03280",2,28,0.0444444444444444
"706","03281",0,34,0
"707","03282",2,30,0
"708","03284",6,14,0.377777777777778
"709","03285",2,25,0.111111111111111
"710","03287",0,32,0
"711","03290",0,35,0
"712","03291",2,27,0.0666666666666667
"713","03293",2,26,0.0888888888888889
"714","03301",18,0,1
"715","03303",8,12,0.6
"716","03304",16,11,0.633333333333333
"717","03307",6,17,0.433333333333333
"718","03431",6,0,1
"719","03440",2,0,0.666666666666667
"720","03441",8,25,0.166666666666667
"721","03442",4,12,0.4
"722","03443",10,22,0.266666666666667
"723","03444",2,0,0.666666666666667
"724","03445",4,18,0.4
"725","03446",6,0,0.822222222222222
"726","03447",6,23,0.233333333333333
"727","03448",6,14,0.533333333333333
"728","03449",4,16,0.422222222222222
"729","03450",6,15,0.366666666666667
"730","03451",4,19,0.366666666666667
"731","03452",4,18,0.288888888888889
"732","03455",8,14,0.533333333333333
"733","03456",4,26,0.133333333333333
"734","03457",8,21,0.3
"735","03458",4,18,0.344444444444444
"736","03461",8,21,0.222222222222222
"737","03462",10,17,0.433333333333333
"738","03464",6,19,0.255555555555556
"739","03465",6,14,0.533333333333333
"740","03466",8,16,0.466666666666667
"741","03467",8,21,0.3
"742","03470",6,28,0.0666666666666667
"743","03561",2,25,0.111111111111111
"744","03570",2,0,0.666666666666667
"745","03574",0,31,0
"746","03575",0,50,0
"747","03576",0,92,0
"748","03579",0,68,0
"749","03580",0,35,0
"750","03581",0,37,0
"751","03582",0,50,0
"752","03583",0,38,0
"753","03584",0,46,0
"754","03585",0,40,0
"755","03586",0,36,0
"756","03588",2,20,0.222222222222222
"757","03590",0,66,0
"758","03592",0,102,0
"759","03593",2,21,0.2
"760","03595",0,45,0
"761","03597",0,83,0
"762","03598",0,46,0
"763","03601",0,37,0
"764","03602",4,28,0.0666666666666667
"765","03603",2,15,0.333333333333333
"766","03604",0,36,0
"767","03605",0,34,0
"768","03607",0,41,0
"769","03608",0,34,0
"770","03609",2,30,0
"771","03740",0,33,0
"772","03741",4,28,0.0666666666666667
"773","03743",2,0,0.666666666666667
"774","03745",2,18,0.266666666666667
"775","03746",6,19,0.3
"776","03748",6,20,0.333333333333333
"777","03750",12,17,0.433333333333333
"778","03751",6,14,0.388888888888889
"779","03752",2,30,0
"780","03753",10,0,0.777777777777778
"781","03754",4,20,0.3
"782","03755",12,0,0.877777777777778
"783","03765",4,18,0.4
"784","03766",14,0,1
"785","03768",16,20,0.277777777777778
"786","03770",8,18,0.4
"787","03771",2,25,0.111111111111111
"788","03773",4,16,0.422222222222222
"789","03774",4,24,0.2
"790","03777",4,23,0.233333333333333
"791","03779",4,13,0.566666666666667
"792","03780",4,26,0.133333333333333
"793","03781",2,30,0
"794","03782",4,20,0.288888888888889
"795","03784",14,0,0.922222222222222
"796","03785",0,35,0
"797","03801",8,0,0.833333333333333
"798","03809",4,25,0.111111111111111
"799","03810",4,24,0.177777777777778
"800","03811",10,13,0.466666666666667
"801","03812",0,58,0
"802","03813",0,76,0
"803","03814",2,23,0.155555555555556
"804","03816",2,18,0.266666666666667
"805","03817",0,37,0
"806","03818",0,55,0
"807","03819",2,20,0.222222222222222
"808","03820",8,11,0.588888888888889
"809","03823",6,19,0.333333333333333
"810","03824",8,19,0.333333333333333
"811","03825",4,17,0.311111111111111
"812","03826",8,15,0.377777777777778
"813","03827",4,20,0.288888888888889
"814","03830",0,33,0
"815","03832",0,56,0
"816","03833",4,21,0.2
"817","03835",4,14,0.377777777777778
"818","03836",0,36,0
"819","03837",2,29,0.0222222222222222
"820","03838",0,55,0
"821","03839",4,8,0.622222222222222
"822","03840",6,11,0.533333333333333
"823","03841",8,19,0.266666666666667
"824","03842",6,0,0.755555555555556
"825","03844",8,9,0.533333333333333
"826","03845",0,56,0
"827","03846",0,52,0
"828","03847",0,59,0
"829","03848",4,19,0.244444444444444
"830","03849",0,48,0
"831","03850",2,21,0.2
"832","03851",2,24,0.133333333333333
"833","03852",4,23,0.166666666666667
"834","03853",2,13,0.377777777777778
"835","03854",6,12,0.522222222222222
"836","03855",4,26,0.0888888888888889
