G_ZCTA,ZCTA,year,totWrkE,eduP,hghRskP,hltCrP,retailP
G40140,40140,2018,87,0,18.39,40.23,22.99
G40142,40142,2018,1189,11.77,33.14,16.48,8.24
G40143,40143,2018,2606,8.71,36.68,12.89,13.7
G40144,40144,2018,727,23.11,31.36,11.28,14.86
G40145,40145,2018,308,2.92,62.01,8.44,4.22
G40146,40146,2018,1570,5.86,39.04,9.87,8.66
G40150,40150,2018,2230,5.38,29.87,10.45,11.3
G40152,40152,2018,318,14.15,37.42,11.95,4.72
G40155,40155,2018,338,9.47,21.89,6.21,6.21
G40157,40157,2018,387,15.76,47.03,6.46,2.58
G40160,40160,2018,9917,5.88,16.87,11.71,13.62
G40161,40161,2018,103,0,51.46,0,0
G40162,40162,2018,3148,9.91,23.16,14.8,8.13
G40165,40165,2018,17447,6.53,27.44,12.49,11.67
G40170,40170,2018,141,21.28,55.32,0,0
G40171,40171,2018,49,0,51.02,0,0
G40175,40175,2018,6065,4.85,19.34,15.33,12.66
G40176,40176,2018,340,20.29,47.94,10.59,6.18
G40177,40177,2018,621,4.19,25.12,11.11,11.43
G40178,40178,2018,272,18.01,16.18,13.97,14.71
G40202,40202,2018,1666,6.96,8.64,9.96,11.64
G40203,40203,2018,6599,6.94,16.2,19.68,11.79
G40204,40204,2018,8609,11.4,11.16,16.53,8.55
G40205,40205,2018,13592,13.98,11.37,16.16,8.46
G40206,40206,2018,12049,11.77,10.91,19,10.81
G40207,40207,2018,16807,9.01,12.08,16.09,9.39
G40208,40208,2018,8535,13.77,13.91,12.33,12.83
G40209,40209,2018,115,0,20,6.96,0
G40210,40210,2018,4778,6.53,19.44,16.18,11.83
G40211,40211,2018,8424,8.18,15.08,15.87,6.98
G40212,40212,2018,5835,6.27,18.54,17.19,11.72
G40213,40213,2018,8166,6.2,18.38,13.83,9.04
G40214,40214,2018,21390,7.79,20.51,11.61,10.78
G40215,40215,2018,8675,8.08,20.27,15.4,12.96
G40216,40216,2018,19630,6.55,24.42,14.29,10.94
G40217,40217,2018,7257,9.14,16.54,14.51,10.07
G40218,40218,2018,17371,5.58,19.53,15.36,12.71
G40219,40219,2018,19859,4.97,24.05,10.75,15.29
G40220,40220,2018,17414,7.68,14.49,15.63,11.96
G40222,40222,2018,11714,9.1,12.71,15.85,11.12
G40223,40223,2018,12154,10.28,16.48,15.87,11.16
G40228,40228,2018,9020,7.96,18.92,14.36,11.83
G40229,40229,2018,19987,4.53,24.76,12.8,13.61
G40231,40231,2018,0,NA,NA,NA,NA
G40241,40241,2018,15691,10.89,15.61,15.53,9.06
G40242,40242,2018,5983,9.59,13.62,18.84,12.05
G40243,40243,2018,5292,11.72,11,16.19,10.19
G40245,40245,2018,16936,9.96,15.22,15.35,10.2
G40258,40258,2018,13500,9.44,22.72,11.73,10.72
G40272,40272,2018,18030,7.35,22.38,13.32,12.01
G40280,40280,2018,339,13.57,10.91,2.36,21.24
G40291,40291,2018,20220,8.08,17.86,16.06,11.82
G40299,40299,2018,21820,8.16,18.98,13.95,11.37
G40310,40310,2018,129,6.98,44.96,17.83,20.16
G40311,40311,2018,2764,7.34,39,10.09,10.35
G40312,40312,2018,1795,5.4,35.88,18.38,12.53
G40313,40313,2018,1213,15.83,31,7.09,9.98
G40316,40316,2018,132,37.12,32.58,0,0
G40322,40322,2018,1218,13.71,37.03,7.39,17.82
G40324,40324,2018,24479,10.28,34.94,10.94,8.46
G40328,40328,2018,469,5.12,58,4.9,7.25
G40330,40330,2018,8786,7.3,35.77,14.74,9.66
G40334,40334,2018,18,5.56,0,0,0
G40336,40336,2018,4087,10.33,33.77,10.94,19.13
G40337,40337,2018,1980,4.19,41.72,13.03,16.06
G40339,40339,2018,0,NA,NA,NA,NA
G40342,40342,2018,10262,8.63,25.55,8.38,11.28
G40346,40346,2018,223,9.87,26.46,5.38,7.17
G40347,40347,2018,1453,14.38,24.5,8.47,13.35
G40348,40348,2018,202,13.86,33.66,9.9,3.96
G40350,40350,2018,106,9.43,48.11,42.45,0
G40351,40351,2018,8916,14.94,18.92,17.51,13.66
G40353,40353,2018,9397,8.35,31.33,13.01,17.18
G40356,40356,2018,20027,9.18,23.25,16.09,13.27
G40358,40358,2018,159,15.09,11.95,6.29,11.95
G40359,40359,2018,2587,8.16,34.02,12.95,8.54
G40360,40360,2018,2942,8.94,38.72,13.97,12.13
G40361,40361,2018,8809,7.11,32.23,12.77,11.14
G40363,40363,2018,0,NA,NA,NA,NA
G40370,40370,2018,1439,7.99,45.31,7.23,3.27
G40371,40371,2018,1101,11.17,32.24,6.36,7.99
G40372,40372,2018,960,5.31,30.1,21.04,12.6
G40374,40374,2018,680,8.24,33.68,12.94,9.56
G40376,40376,2018,14,0,0,0,0
G40379,40379,2018,1618,10.38,30.16,16.69,6.37
G40380,40380,2018,2648,9.1,28.55,13.9,7.14
G40383,40383,2018,11913,10.16,27.36,11.95,8.79
G40385,40385,2018,1264,14.4,28.16,12.97,13.21
G40387,40387,2018,735,12.93,36.87,13.06,6.67
G40390,40390,2018,3460,28.27,8.82,11.82,8.87
G40391,40391,2018,16060,8.68,28.24,13.21,12.24
G40402,40402,2018,959,18.56,22.52,7.3,13.45
G40403,40403,2018,10998,13.47,27.61,16.52,7.57
G40404,40404,2018,623,41.09,1.93,8.51,11.72
G40409,40409,2018,1291,5.96,35.4,22.08,6.58
G40419,40419,2018,1251,11.91,28.46,10.79,14.15
G40422,40422,2018,10026,16.39,23.88,16.14,9.99
G40434,40434,2018,0,NA,NA,NA,NA
G40437,40437,2018,2095,11.36,26.44,12.46,7.26
G40440,40440,2018,1035,6.38,44.35,14.2,10.82
G40442,40442,2018,598,2.51,24.41,25.92,10.03
G40444,40444,2018,6244,10.22,29.32,17.46,9.96
G40445,40445,2018,269,3.72,29,6.69,15.61
G40447,40447,2018,2384,10.61,37.29,7.8,10.4
G40448,40448,2018,0,NA,NA,NA,NA
G40456,40456,2018,3970,12.47,30.88,15.24,6.17
G40460,40460,2018,561,6.77,33.51,8.38,9.98
G40461,40461,2018,1576,15.8,35.6,12.44,8.63
G40464,40464,2018,726,6.47,40.5,10.06,14.19
G40468,40468,2018,887,8.23,30.1,20.07,10.6
G40472,40472,2018,554,17.69,35.38,10.11,13.54
G40475,40475,2018,29005,14.55,18.16,13.43,13.2
G40481,40481,2018,29,0,65.52,0,34.48
G40484,40484,2018,4648,11.34,22.74,16.39,11.53
G40486,40486,2018,940,7.34,31.6,20.32,5.32
G40489,40489,2018,1750,11.66,32.34,13.26,16.23
G40502,40502,2018,15123,17.66,11.54,13.3,10.71
G40503,40503,2018,15977,17.37,12.17,14.51,12.25
G40504,40504,2018,14051,11.47,21.19,11.71,15.02
G40505,40505,2018,11740,8.84,18.94,10.94,15.49
G40506,40506,2018,654,40.06,0.15,0,11.62
G40507,40507,2018,1061,11.22,5.56,9.05,9.52
G40508,40508,2018,12394,19.52,10.42,10.46,12.83
G40509,40509,2018,22270,10.35,16.38,16.83,12.78
G40510,40510,2018,382,11.26,22.51,18.59,3.4
G40511,40511,2018,16592,10.03,22.49,13.71,13.52
G40513,40513,2018,5665,18.29,13.59,13.13,7.33
G40514,40514,2018,8779,16.74,14.44,14.59,11.37
G40515,40515,2018,20740,12,15.92,18.33,11.24
G40516,40516,2018,1688,14.4,33.06,13.33,6.87
G40517,40517,2018,19587,12.14,13.6,16.11,16.01
G40601,40601,2018,24783,7.34,20.76,9.01,12.4
G40604,40604,2018,0,NA,NA,NA,NA
G40701,40701,2018,10892,11.23,18.69,16.69,14.74
G40729,40729,2018,2112,4.64,24.53,11.17,16.1
G40734,40734,2018,1283,6.7,36.55,7.56,16.21
G40737,40737,2018,427,15.69,22.48,2.34,6.32
G40740,40740,2018,1227,5.3,25.84,20.95,8.64
G40741,40741,2018,9235,8.05,18.52,11.91,17.29
G40743,40743,2018,125,0,7.2,19.2,0
G40744,40744,2018,7388,9.73,20.21,13.74,15.24
G40759,40759,2018,865,9.6,35.84,20.12,8.79
G40763,40763,2018,86,52.33,11.63,11.63,15.12
G40769,40769,2018,6053,17.36,23.77,14.62,11.78
G40771,40771,2018,470,30.85,40.64,5.11,5.32
G40801,40801,2018,50,0,42,20,0
G40806,40806,2018,818,5.13,27.02,24.94,8.68
G40807,40807,2018,148,15.54,14.86,20.95,20.95
G40808,40808,2018,39,25.64,41.03,33.33,0
G40810,40810,2018,212,8.02,24.06,11.32,7.08
G40813,40813,2018,130,30,45.38,6.92,0
G40815,40815,2018,327,0,28.13,4.59,14.98
G40816,40816,2018,15,0,100,0,0
G40818,40818,2018,34,0,32.35,47.06,20.59
G40819,40819,2018,214,10.28,16.82,56.54,5.14
G40820,40820,2018,232,7.33,23.71,13.36,6.03
G40823,40823,2018,1046,14.63,26.29,21.22,10.23
G40824,40824,2018,130,19.23,20,10,0
G40826,40826,2018,130,3.85,27.69,19.23,25.38
G40827,40827,2018,290,20,33.79,16.55,1.72
G40828,40828,2018,762,21.26,23.75,20.6,8.4
G40829,40829,2018,40,67.5,0,0,0
G40830,40830,2018,25,44,32,0,0
G40831,40831,2018,1428,10.15,19.54,21.43,19.75
G40840,40840,2018,40,72.5,12.5,0,15
G40843,40843,2018,40,25,27.5,7.5,27.5
G40844,40844,2018,0,NA,NA,NA,NA
G40845,40845,2018,97,14.43,32.99,21.65,0
G40847,40847,2018,122,45.08,45.9,0,0
G40849,40849,2018,157,28.66,18.47,33.76,8.92
G40854,40854,2018,344,26.74,8.72,13.08,15.12
G40855,40855,2018,196,13.27,30.1,8.16,12.76
G40856,40856,2018,282,14.54,34.75,30.85,0
G40858,40858,2018,70,0,32.86,31.43,0
G40862,40862,2018,124,20.97,17.74,19.35,4.84
G40863,40863,2018,100,5,0,49,5
G40865,40865,2018,151,17.22,20.53,9.27,15.23
G40868,40868,2018,222,14.86,49.1,33.33,0
G40870,40870,2018,152,3.29,32.89,2.63,19.74
G40873,40873,2018,656,4.88,23.78,24.54,8.38
G40874,40874,2018,194,12.37,32.47,26.29,0
G40902,40902,2018,268,0,25.75,20.15,14.18
G40903,40903,2018,130,0,32.31,20.77,15.38
G40906,40906,2018,3640,21.21,16.76,17.25,14.95
G40913,40913,2018,98,36.73,0,19.39,0
G40914,40914,2018,53,0,0,0,41.51
G40915,40915,2018,184,5.43,17.39,20.11,33.15
G40921,40921,2018,94,7.45,22.34,10.64,8.51
G40923,40923,2018,206,7.28,25.73,16.5,0
G40927,40927,2018,94,19.15,18.09,28.72,0
G40935,40935,2018,750,12.8,31.2,7.87,7.2
G40939,40939,2018,38,0,0,50,50
G40940,40940,2018,142,9.15,33.8,5.63,0
G40941,40941,2018,124,0,37.9,7.26,13.71
G40943,40943,2018,154,13.64,34.42,36.36,15.58
G40946,40946,2018,17,0,47.06,0,0
G40949,40949,2018,401,18.7,18.45,11.72,4.74
G40953,40953,2018,195,0,21.03,26.15,32.31
G40958,40958,2018,51,0,13.73,43.14,13.73
G40962,40962,2018,4711,12.59,20.78,15.84,10.06
G40964,40964,2018,0,NA,NA,NA,NA
G40965,40965,2018,3276,6.99,22.92,17.98,15.69
G40972,40972,2018,352,33.24,19.6,8.52,18.47
G40977,40977,2018,3216,10.6,27.33,14.89,14.96
G40979,40979,2018,0,NA,NA,NA,NA
G40982,40982,2018,108,0,33.33,26.85,7.41
G40983,40983,2018,76,21.05,35.53,0,25
G40988,40988,2018,122,24.59,23.77,36.07,0
G40995,40995,2018,28,28.57,53.57,17.86,0
G40997,40997,2018,67,41.79,25.37,22.39,0
G41001,41001,2018,9154,11.57,20.48,14.69,10.18
G41002,41002,2018,1141,3.59,38.12,6.13,11.83
G41003,41003,2018,901,4.55,31.85,11.43,12.54
G41004,41004,2018,1661,10.6,30.64,12.34,12.22
G41005,41005,2018,12663,7.34,20.69,11.36,16.54
G41006,41006,2018,2076,11.95,23.6,11.42,16.38
G41007,41007,2018,2240,6.47,27.41,13.97,11.25
G41008,41008,2018,2852,6.35,42.29,7.19,10.2
G41010,41010,2018,1538,5.66,32.51,14.43,13.46
G41011,41011,2018,13334,6.04,16.63,13.79,10.03
G41014,41014,2018,3338,8.45,14.29,16.09,11.5
G41015,41015,2018,9751,5.69,19.4,12.77,9.21
G41016,41016,2018,2933,5.25,18.72,9.68,13.84
G41017,41017,2018,20828,9.03,16.73,15.63,9.73
G41018,41018,2018,14632,6.2,16.75,10.87,13.85
G41030,41030,2018,2743,6.09,25.34,7.91,10.94
G41031,41031,2018,6937,6.73,41.18,16.42,10.97
G41033,41033,2018,746,5.9,46.38,7.64,9.92
G41034,41034,2018,518,2.9,43.63,11,8.69
G41035,41035,2018,5101,8.31,34.58,7.19,12.1
G41039,41039,2018,1248,8.41,34.94,14.1,12.1
G41040,41040,2018,3187,4.17,33.01,8.13,16.69
G41041,41041,2018,2853,11.18,32.56,14.79,15.98
G41042,41042,2018,26882,6.03,18.51,11.85,14.81
G41043,41043,2018,760,14.87,23.68,11.97,10.39
G41044,41044,2018,394,10.15,47.46,6.09,5.33
G41045,41045,2018,737,7.6,35.96,5.83,8.41
G41046,41046,2018,461,4.56,21.48,8.46,11.5
G41048,41048,2018,8124,6.77,17.57,11.84,11.8
G41049,41049,2018,986,14.3,39.66,12.78,12.78
G41051,41051,2018,15520,7.42,20.7,15.36,9.56
G41052,41052,2018,31,0,67.74,0,0
G41055,41055,2018,1052,11.5,35.17,18.35,7.98
G41056,41056,2018,5450,6.84,34.55,15.1,13.19
G41059,41059,2018,1201,10.74,30.97,11.49,2.33
G41062,41062,2018,0,NA,NA,NA,NA
G41063,41063,2018,1478,10.22,27.94,16.37,8.59
G41064,41064,2018,766,9.27,45.95,10.05,7.18
G41071,41071,2018,9935,8.9,15.56,13.77,12.2
G41073,41073,2018,3285,7.85,18.3,12.79,7.34
G41074,41074,2018,2637,8.3,17.75,11.38,14.6
G41075,41075,2018,8679,9.14,18.41,15.61,11.59
G41076,41076,2018,8601,11.58,13.81,15.28,11.81
G41080,41080,2018,1378,5.95,24.53,6.39,15.31
G41083,41083,2018,498,0.8,35.34,18.88,4.02
G41085,41085,2018,399,4.76,19.05,21.55,13.28
G41086,41086,2018,1125,12.62,35.64,10.84,6.31
G41091,41091,2018,9851,8.44,21.87,10.78,12.03
G41092,41092,2018,1755,4.79,27.18,12.14,12.71
G41093,41093,2018,1217,6.66,54.64,11.59,10.02
G41094,41094,2018,7508,5.74,26.6,13.07,9.2
G41095,41095,2018,1633,7.84,42.25,3.06,6.55
G41097,41097,2018,2703,6.99,27.12,11.58,11.02
G41098,41098,2018,665,4.96,39.7,12.48,7.52
G41099,41099,2018,458,21.83,2.18,2.18,23.36
G41101,41101,2018,7009,8.29,13,22.11,14.98
G41102,41102,2018,8052,9.54,16.68,17.92,12.79
G41121,41121,2018,424,11.08,39.62,16.27,8.49
G41124,41124,2018,267,11.99,24.72,19.1,17.98
G41129,41129,2018,3734,10.52,19.58,23.59,11.68
G41132,41132,2018,80,0,13.75,30,0
G41135,41135,2018,24,20.83,12.5,45.83,20.83
G41139,41139,2018,3484,9.56,15.79,24.66,14.75
G41141,41141,2018,573,6.63,25.65,16.58,12.22
G41142,41142,2018,28,100,0,0,0
G41143,41143,2018,4846,14.09,21.11,16.51,10.87
G41144,41144,2018,3562,9.63,21.62,18.02,16.17
G41146,41146,2018,136,0,17.65,27.94,6.62
G41149,41149,2018,137,0,16.06,45.99,18.25
G41159,41159,2018,77,7.79,29.87,5.19,45.45
G41164,41164,2018,3927,13.17,27.88,16.55,11.89
G41166,41166,2018,519,3.08,21.39,16.96,24.66
G41168,41168,2018,966,12.01,17.08,17.81,14.7
G41169,41169,2018,2213,11.97,11.66,22.91,13.56
G41171,41171,2018,1106,6.87,28.66,17.45,11.48
G41174,41174,2018,436,12.61,24.77,30.73,13.07
G41175,41175,2018,2077,7.37,25.71,19.93,16.18
G41179,41179,2018,2513,11.78,35.77,14.88,8.64
G41180,41180,2018,327,2.45,34.56,15.6,8.87
G41183,41183,2018,636,10.06,16.67,22.8,19.81
G41189,41189,2018,768,6.51,40.76,19.01,12.76
G41201,41201,2018,0,NA,NA,NA,NA
G41203,41203,2018,220,11.36,6.82,29.55,0
G41204,41204,2018,146,7.53,10.96,28.08,0
G41214,41214,2018,113,0,29.2,10.62,37.17
G41216,41216,2018,493,12.58,28.6,8.72,21.5
G41219,41219,2018,550,8.36,26,13.27,15.09
G41222,41222,2018,788,12.31,19.29,13.71,21.32
G41224,41224,2018,1345,28.03,21.19,11.67,14.8
G41226,41226,2018,42,0,19.05,0,16.67
G41230,41230,2018,3809,8.58,23.23,12.97,14.02
G41231,41231,2018,356,14.04,43.26,8.43,6.18
G41232,41232,2018,214,18.22,4.21,14.02,37.85
G41234,41234,2018,281,0,24.91,22.78,22.06
G41238,41238,2018,158,7.59,24.05,32.28,6.96
G41240,41240,2018,1872,14.42,8.44,25.37,17.57
G41250,41250,2018,408,9.8,13.97,8.82,6.62
G41254,41254,2018,129,18.6,25.58,7.75,37.21
G41255,41255,2018,404,19.8,12.62,18.07,6.93
G41256,41256,2018,1190,17.39,20.17,11.43,11.85
G41257,41257,2018,215,9.3,16.74,24.65,21.86
G41260,41260,2018,143,12.59,19.58,12.59,0
G41262,41262,2018,273,0,3.66,17.58,47.25
G41263,41263,2018,102,0,45.1,25.49,0
G41264,41264,2018,153,7.19,9.15,0,3.92
G41265,41265,2018,430,10.47,22.56,16.98,12.56
G41267,41267,2018,253,3.95,11.86,17.39,15.42
G41268,41268,2018,40,0,17.5,27.5,20
G41271,41271,2018,41,0,56.1,0,0
G41274,41274,2018,123,0,7.32,14.63,0
G41301,41301,2018,1594,14.3,20.7,8.85,10.23
G41311,41311,2018,1788,13.7,24.78,16,12.02
G41314,41314,2018,1283,13.72,21.9,19.8,5.14
G41317,41317,2018,44,27.27,27.27,20.45,0
G41332,41332,2018,254,7.09,21.26,14.57,7.48
G41339,41339,2018,3288,14.23,18.89,19.13,12.38
G41348,41348,2018,262,16.41,17.18,21.76,4.58
G41352,41352,2018,237,11.81,15.19,2.53,17.72
G41360,41360,2018,254,6.69,69.69,4.72,0
G41365,41365,2018,118,14.41,46.61,0,10.17
G41366,41366,2018,0,NA,NA,NA,NA
G41367,41367,2018,43,18.6,0,20.93,0
G41385,41385,2018,166,8.43,28.92,15.06,6.63
G41390,41390,2018,0,NA,NA,NA,NA
G41397,41397,2018,0,NA,NA,NA,NA
G41408,41408,2018,125,16.8,40,15.2,12
G41421,41421,2018,69,8.7,18.84,18.84,0
G41425,41425,2018,350,9.14,35.71,34.57,8.57
G41464,41464,2018,128,8.59,11.72,0,0
G41465,41465,2018,3432,14.63,24.68,25.93,8.1
G41472,41472,2018,2706,13.49,24.87,16.59,13.23
G41501,41501,2018,9107,13.79,16.31,18.1,15.93
G41503,41503,2018,230,3.91,34.78,13.91,6.52
G41512,41512,2018,226,5.31,33.19,16.37,11.95
G41513,41513,2018,148,10.14,10.81,4.73,10.14
G41514,41514,2018,994,5.73,27.97,8.35,16.3
G41517,41517,2018,27,0,14.81,33.33,0
G41519,41519,2018,404,5.94,26.73,3.96,27.97
G41522,41522,2018,1320,12.73,14.92,19.24,16.14
G41524,41524,2018,26,0,0,42.31,0
G41526,41526,2018,0,NA,NA,NA,NA
G41527,41527,2018,357,13.45,27.73,17.65,5.88
G41528,41528,2018,105,0,0,56.19,0
G41531,41531,2018,293,17.41,17.75,28.33,20.48
G41534,41534,2018,69,0,26.09,17.39,28.99
G41535,41535,2018,156,28.85,31.41,17.31,7.69
G41537,41537,2018,1398,14.66,24.18,14.74,14.09
G41538,41538,2018,18,0,66.67,0,0
G41539,41539,2018,630,10.79,32.06,5.08,10.48
G41540,41540,2018,89,14.61,8.99,33.71,19.1
G41543,41543,2018,52,17.31,0,25,57.69
G41544,41544,2018,220,17.27,46.36,11.36,9.09
G41547,41547,2018,172,54.65,45.35,0,0
G41548,41548,2018,316,3.16,33.23,19.62,10.76
G41553,41553,2018,473,19.66,50.32,23.26,0
G41554,41554,2018,274,20.07,38.32,11.31,2.55
G41555,41555,2018,137,16.79,18.25,27.74,24.82
G41557,41557,2018,672,22.17,34.38,4.76,8.18
G41558,41558,2018,269,1.86,30.11,17.1,21.19
G41559,41559,2018,52,0,17.31,0,0
G41560,41560,2018,36,33.33,22.22,22.22,0
G41562,41562,2018,1170,10.26,38.72,7.95,19.57
G41563,41563,2018,144,31.94,29.17,11.11,9.72
G41564,41564,2018,211,4.27,23.22,12.32,30.33
G41566,41566,2018,292,12.67,31.51,3.77,13.01
G41567,41567,2018,25,52,24,0,24
G41568,41568,2018,119,27.73,0,22.69,30.25
G41571,41571,2018,185,0,21.62,8.11,11.89
G41572,41572,2018,1008,17.66,15.08,16.47,8.93
G41601,41601,2018,214,22.9,12.62,18.22,7.01
G41602,41602,2018,471,0,17.2,12.31,19.75
G41603,41603,2018,516,3.29,15.7,12.6,5.23
G41604,41604,2018,112,25.89,9.82,0,25
G41605,41605,2018,317,19.56,10.73,14.51,9.15
G41606,41606,2018,196,12.76,4.08,27.55,15.82
G41607,41607,2018,188,0,11.17,31.38,0
G41612,41612,2018,28,0,71.43,28.57,0
G41615,41615,2018,203,47.78,15.76,0,3.94
G41616,41616,2018,127,7.87,25.2,3.94,22.05
G41619,41619,2018,49,0,0,14.29,0
G41621,41621,2018,64,0,15.62,0,0
G41622,41622,2018,101,0,0,64.36,0
G41630,41630,2018,261,7.28,13.03,17.62,22.61
G41631,41631,2018,374,0,12.83,27.27,16.84
G41632,41632,2018,94,11.7,51.06,0,20.21
G41635,41635,2018,719,7.51,23.09,10.57,15.86
G41636,41636,2018,113,0,41.59,48.67,0
G41640,41640,2018,156,6.41,30.77,26.92,19.23
G41642,41642,2018,187,11.23,4.81,54.01,15.51
G41643,41643,2018,3,0,0,100,0
G41645,41645,2018,389,8.74,41.13,18.77,7.71
G41647,41647,2018,275,1.09,19.27,48,27.27
G41649,41649,2018,818,21.64,14.06,11,10.27
G41650,41650,2018,26,0,38.46,34.62,0
G41653,41653,2018,3305,10.44,17,21.57,14.49
G41655,41655,2018,188,0,12.23,9.57,37.77
G41659,41659,2018,63,0,28.57,0,0
G41660,41660,2018,191,24.08,21.99,0,29.84
G41663,41663,2018,209,18.18,51.67,0,0
G41666,41666,2018,230,3.48,29.13,11.3,19.57
G41667,41667,2018,228,3.95,25.44,27.63,8.33
G41669,41669,2018,113,15.93,21.24,29.2,5.31
G41701,41701,2018,5582,12.24,13.92,23.95,12.45
G41712,41712,2018,202,6.44,12.87,24.26,9.41
G41713,41713,2018,0,NA,NA,NA,NA
G41714,41714,2018,108,0,13.89,12.96,21.3
G41719,41719,2018,359,27.3,6.69,25.07,5.01
G41721,41721,2018,111,1.8,24.32,26.13,0.9
G41722,41722,2018,274,8.76,27.01,8.39,8.76
G41723,41723,2018,348,6.61,11.78,29.6,18.97
G41725,41725,2018,92,0,39.13,34.78,17.39
G41727,41727,2018,311,11.58,24.12,18.97,9.97
G41729,41729,2018,42,0,0,0,100
G41731,41731,2018,282,24.82,22.34,7.45,21.63
G41735,41735,2018,32,0,46.88,12.5,0
G41739,41739,2018,38,0,78.95,0,21.05
G41740,41740,2018,369,10.84,5.96,18.16,20.6
G41745,41745,2018,141,23.4,33.33,23.4,0
G41746,41746,2018,108,7.41,22.22,28.7,0
G41749,41749,2018,1002,9.58,12.18,20.26,19.86
G41751,41751,2018,96,0,10.42,0,38.54
G41754,41754,2018,120,0,41.67,25,0
G41759,41759,2018,86,0,45.35,0,9.3
G41760,41760,2018,0,NA,NA,NA,NA
G41762,41762,2018,0,NA,NA,NA,NA
G41763,41763,2018,135,24.44,36.3,4.44,11.85
G41764,41764,2018,244,0,13.52,14.34,7.79
G41766,41766,2018,29,44.83,55.17,0,0
G41772,41772,2018,104,12.5,32.69,25,0
G41773,41773,2018,334,17.37,15.27,22.46,11.08
G41774,41774,2018,885,10.17,23.73,21.81,14.46
G41775,41775,2018,20,0,0,100,0
G41776,41776,2018,473,17.34,28.12,32.56,6.55
G41777,41777,2018,124,37.1,22.58,0,17.74
G41804,41804,2018,147,44.9,1.36,7.48,5.44
G41810,41810,2018,113,0,9.73,53.98,0
G41812,41812,2018,81,7.41,37.04,17.28,23.46
G41815,41815,2018,310,21.29,20.32,20.32,16.13
G41817,41817,2018,108,0,7.41,50.93,0
G41819,41819,2018,144,7.64,6.94,38.89,11.81
G41821,41821,2018,132,15.91,45.45,10.61,0
G41822,41822,2018,564,22.16,14.89,18.09,5.32
G41824,41824,2018,364,10.16,11.81,20.6,21.7
G41825,41825,2018,237,5.91,13.5,0,12.24
G41826,41826,2018,237,0,24.89,28.27,13.08
G41828,41828,2018,212,18.4,33.49,16.04,0.94
G41831,41831,2018,343,11.66,36.44,13.41,12.24
G41832,41832,2018,145,11.03,64.14,0,8.28
G41833,41833,2018,142,32.39,16.9,16.9,0
G41834,41834,2018,64,0,21.88,0,0
G41835,41835,2018,249,6.43,4.82,10.04,22.49
G41836,41836,2018,498,3.61,11.04,14.06,20.68
G41837,41837,2018,493,8.72,16.84,33.67,7.1
G41838,41838,2018,166,0,40.36,12.65,19.88
G41839,41839,2018,463,21.81,18.14,4.32,3.46
G41840,41840,2018,281,12.46,31.67,8.19,7.47
G41843,41843,2018,183,11.48,8.74,23.5,30.6
G41844,41844,2018,445,28.76,4.94,18.65,15.51
G41845,41845,2018,55,0,0,61.82,1.82
G41847,41847,2018,185,0,16.22,55.14,7.03
G41848,41848,2018,0,NA,NA,NA,NA
G41849,41849,2018,15,0,0,0,0
G41855,41855,2018,372,18.01,6.99,35.48,0
G41858,41858,2018,2054,11.2,17.04,32.62,9.79
G41859,41859,2018,78,0,0,60.26,8.97
G41861,41861,2018,32,0,0,0,50
G41862,41862,2018,190,10,7.89,15.26,16.32
G42001,42001,2018,13000,7.2,17.25,19.41,12.23
G42003,42003,2018,12358,5.13,18.54,16.73,14.17
G42020,42020,2018,927,14.13,26,10.57,7.98
G42021,42021,2018,560,4.46,40.71,12.86,10.54
G42022,42022,2018,82,0,65.85,34.15,0
G42023,42023,2018,825,8.85,29.33,14.91,10.3
G42024,42024,2018,506,12.06,28.46,17.19,14.03
G42025,42025,2018,8257,12.44,28.35,14.86,10.88
G42027,42027,2018,817,9.67,17.5,23.01,16.03
G42028,42028,2018,355,12.96,31.83,7.61,8.17
G42029,42029,2018,2600,6.38,36.04,12.81,9.96
G42031,42031,2018,999,13.31,18.32,20.02,9.51
G42032,42032,2018,103,5.83,21.36,21.36,11.65
G42035,42035,2018,473,14.59,27.27,9.09,7.4
G42036,42036,2018,597,15.75,30.32,11.39,4.52
G42037,42037,2018,23,0,43.48,0,0
G42038,42038,2018,1715,4.02,25.83,12.71,16.85
G42039,42039,2018,888,11.37,34.35,17,10.7
G42040,42040,2018,426,24.65,30.75,9.86,10.33
G42041,42041,2018,1792,8.31,22.38,11.38,16.96
G42044,42044,2018,1245,7.39,26.1,10.68,12.37
G42045,42045,2018,1123,6.95,22.53,12.11,17.45
G42047,42047,2018,103,0,59.22,25.24,7.77
G42048,42048,2018,608,2.96,27.3,21.22,15.46
G42049,42049,2018,718,9.47,30.36,10.45,11.7
G42050,42050,2018,954,10.69,28.51,14.57,8.7
G42051,42051,2018,1599,11.57,32.02,20.64,8.13
G42053,42053,2018,2256,9.22,21.5,14.05,10.06
G42054,42054,2018,481,12.68,38.88,14.35,5.41
G42055,42055,2018,1011,8.8,22.26,5.04,18.99
G42056,42056,2018,818,4.77,26.04,12.22,10.27
G42058,42058,2018,1121,5.89,21.05,18.82,7.58
G42060,42060,2018,0,NA,NA,NA,NA
G42061,42061,2018,0,NA,NA,NA,NA
G42064,42064,2018,3345,6.88,35.7,14.47,10.61
G42066,42066,2018,9232,7.54,27.58,14.04,11.36
G42069,42069,2018,330,0,39.7,24.24,0
