G_ZCTA,ZCTA,minDisSUT,timeDrive,countDrive
G63130,63130,2.85,7.75,43
G63131,63131,3.51,7.3,44
G63132,63132,2.22,6.35,45
G63133,63133,2,6.2,42
G63134,63134,1.93,8.72,45
G63135,63135,2.25,6.25,43
G63136,63136,2.45,0,42
G63137,63137,2.44,6.33,43
G63138,63138,2.82,11.1,37
G63139,63139,1.42,7.14,42
G63140,63140,2.67,9.82,40
G63141,63141,1.36,0,41
G63143,63143,1.55,4.14,44
G63144,63144,0.22,0,42
G63146,63146,1.04,0,41
G63147,63147,1.74,5.31,44
G63155,63155,0.27,1.8,47
G63301,63301,5.82,0,21
G63303,63303,3.12,0,24
G63304,63304,1.35,0,17
G63330,63330,12.69,26.12,1
G63333,63333,10.88,24.41,1
G63334,63334,2.19,0,2
G63336,63336,7.55,27.12,1
G63339,63339,10.08,19.76,1
G63341,63341,7.14,23.97,7
G63343,63343,13.44,22,4
G63344,63344,2.6,0,5
G63347,63347,12.08,23.29,3
G63348,63348,10.19,16.82,8
G63349,63349,8.83,15.33,4
G63350,63350,9.38,21.94,2
G63351,63351,10.26,13.94,2
G63352,63352,13.23,26.76,1
G63353,63353,8.59,17.57,1
G63357,63357,11.26,29.36,1
G63361,63361,2.85,0,1
G63362,63362,5.79,11.75,3
G63363,63363,6.85,15.35,2
G63366,63366,3.76,0,11
G63367,63367,5.62,15.58,11
G63368,63368,3.43,12.93,13
G63369,63369,9.83,22.19,7
G63373,63373,10.9,27.62,4
G63376,63376,1.09,0,17
G63377,63377,10.73,19.9,4
G63379,63379,0.97,0,4
G63381,63381,13.31,25.07,4
G63382,63382,16.68,25.37,1
G63383,63383,3.33,0,1
G63384,63384,8.55,17.18,1
G63385,63385,8.56,15.03,11
G63386,63386,2.52,16.12,11
G63387,63387,5.35,8.18,5
G63389,63389,9.97,21.11,3
G63390,63390,4.86,14.31,5
G63401,63401,2.53,0,3
G63430,63430,8.01,18.16,2
G63435,63435,6.17,0,1
G63436,63436,11.77,23.65,3
G63441,63441,12.13,22.65,4
G63445,63445,1.3,0,1
G63448,63448,7.41,11.46,6
G63452,63452,14.2,26.83,1
G63453,63453,9.76,21.15,1
G63454,63454,12.76,23.46,5
G63456,63456,16.13,28.37,2
G63457,63457,9.86,25.82,1
G63459,63459,5.07,0,3
G63461,63461,11,21.02,7
G63465,63465,7.4,21.06,1
G63467,63467,7.43,21.72,2
G63471,63471,5.39,13.21,8
G63472,63472,7.43,12.78,3
G63501,63501,1.13,0,2
G63530,63530,20.01,28.97,2
G63533,63533,8.64,29.02,2
G63540,63540,9.85,28.88,2
G63544,63544,14.94,28.25,2
G63546,63546,10.2,18.39,2
G63547,63547,13.98,27.9,2
G63549,63549,12.07,21.42,2
G63558,63558,17.13,28.69,1
G63559,63559,9.45,17.34,2
G63561,63561,16.14,26.54,2
G63601,63601,5.94,15.96,3
G63621,63621,9.91,24.57,1
G63624,63624,8.84,27.33,1
G63626,63626,10.69,28.15,1
G63627,63627,12.28,17.32,2
G63628,63628,10.82,21.02,4
G63630,63630,6.57,16.98,1
G63631,63631,11.13,23.48,1
G63636,63636,11.68,25.26,1
G63637,63637,6.76,12.38,5
G63640,63640,2.15,0,4
G63645,63645,3.46,0,4
G63650,63650,1.16,5.26,1
G63653,63653,9.15,23.14,4
G63656,63656,8.46,20.43,1
G63660,63660,5.13,10.59,1
G63662,63662,12.8,26.62,1
G63663,63663,0.16,0,1
G63664,63664,7.33,0,1
G63670,63670,8.26,0,3
G63673,63673,9.56,21.21,3
G63701,63701,1.11,0,7
G63703,63703,1.18,0,7
G63736,63736,14.4,20.53,3
G63739,63739,10.01,26.34,5
G63740,63740,10.44,23.35,7
G63744,63744,11.6,24.98,7
G63745,63745,7.86,16.49,7
G63751,63751,8.98,22.56,2
G63755,63755,9.14,18.46,7
G63758,63758,7.1,15.95,7
G63764,63764,1.09,0,2
G63767,63767,11.75,19.75,3
G63769,63769,15.91,29.33,3
G63770,63770,12.55,25.41,2
G63771,63771,15.09,28.45,3
G63775,63775,0.99,0,3
G63780,63780,7.14,17.58,7
G63783,63783,12.99,27.32,2
G63784,63784,9.37,20.9,3
G63801,63801,1.72,0,4
G63820,63820,6.75,15.86,1
G63821,63821,15.11,23.75,7
G63822,63822,9.67,21.63,2
G63823,63823,6.67,10.31,5
G63824,63824,9.36,23.86,3
G63825,63825,8.78,16.4,2
G63826,63826,8.1,17.52,6
G63827,63827,8.56,15.24,6
G63829,63829,10.98,18.41,7
G63830,63830,8.36,12.3,10
G63834,63834,3.3,0,5
G63837,63837,16.63,29.39,5
G63839,63839,9.16,19.7,3
G63841,63841,2.05,0,2
G63845,63845,14.7,20.97,1
G63846,63846,9.81,14.32,5
G63847,63847,14.94,25.74,5
G63849,63849,7.84,27.17,5
G63851,63851,1.33,0,6
G63852,63852,10.61,18.63,5
G63853,63853,9.66,16.3,3
G63857,63857,0.96,0,6
G63860,63860,14.82,28.19,3
G63866,63866,21.27,28.7,1
G63867,63867,9.11,15.67,4
G63868,63868,6.07,13.01,6
G63869,63869,19.48,29.66,3
G63873,63873,12.91,21.14,1
G63876,63876,8.55,15.71,5
G63877,63877,10.55,19.42,3
G63879,63879,8.91,28.02,1
G63880,63880,7.36,13.49,5
G63882,63882,6.43,13.66,2
G63901,63901,2.54,0,4
G63902,63902,0.59,0.08,4
G63932,63932,8.78,29.73,4
G63935,63935,6.17,0,1
G63936,63936,8.07,22.45,6
G63937,63937,14.06,29.61,1
G63939,63939,8.58,14.41,5
G63940,63940,8.06,22.38,6
G63941,63941,11.37,20.25,1
G63943,63943,14.83,28.8,1
G63945,63945,8.73,18.27,4
G63952,63952,10.45,19.33,1
G63953,63953,11.04,27.18,1
G63954,63954,11.02,22.38,5
G63955,63955,8.09,20.86,1
G63956,63956,10.43,19.52,1
G63957,63957,0.97,0,1
G63961,63961,14.55,29.63,4
G63962,63962,7.25,27.14,4
G63965,63965,2.1,0,1
G63967,63967,12.74,20.88,4
G64001,64001,9.92,20.81,1
G64011,64011,5.73,18.4,2
G64012,64012,4.6,9.86,28
G64014,64014,1.55,5.83,21
G64015,64015,1.24,0,26
G64016,64016,8.43,22.57,4
G64017,64017,6.34,24.7,1
G64019,64019,7.05,15.16,3
G64020,64020,10.46,24.37,1
G64021,64021,5.57,15.12,1
G64022,64022,8.71,22.22,2
G64024,64024,11.61,24.15,6
G64029,64029,3.68,11.47,11
G64030,64030,3.62,9.21,52
G64034,64034,6.92,13.2,12
G64035,64035,8.97,19.36,1
G64036,64036,6.06,11.38,2
G64037,64037,1.39,0,2
G64048,64048,13.09,26.95,5
G64050,64050,1.64,0,40
G64052,64052,2.28,8.82,49
G64053,64053,2.66,8.45,47
G64054,64054,1.8,6.32,43
G64055,64055,0.73,0,45
G64056,64056,5.42,9.56,18
G64057,64057,3.3,10.77,30
G64058,64058,7.64,13.95,14
G64060,64060,8.47,17.4,9
G64063,64063,2.03,6.14,22
G64064,64064,2.52,16.27,18
G64065,64065,2.63,13.06,40
G64066,64066,12.03,26.17,2
G64067,64067,8.11,19.14,3
G64068,64068,1.97,0,32
G64070,64070,11.08,22.33,1
G64071,64071,6.67,18.14,2
G64072,64072,6.81,20.06,7
G64074,64074,7.51,25.52,2
G64075,64075,7.43,18.24,5
G64076,64076,2.6,0,3
G64077,64077,9.01,21.03,1
G64078,64078,6.71,13.91,10
G64079,64079,7.53,25.69,10
G64080,64080,8.78,22.11,4
G64081,64081,3.35,11.37,29
G64082,64082,4.96,17.19,17
G64083,64083,1.58,0,14
G64085,64085,4.19,0,1
G64086,64086,4.45,0,21
G64088,64088,11.69,25.32,2
G64089,64089,10.41,22.2,9
G64092,64092,6.44,26,11
G64093,64093,1.78,0,3
G64097,64097,6.97,17.59,3
G64098,64098,11.65,26.36,4
G64101,64101,1.41,6.32,58
G64102,64102,1.03,4.83,59
G64105,64105,1.21,4.96,60
G64106,64106,0.76,4.42,60
G64108,64108,0.68,0,60
G64109,64109,1.15,4.26,60
G64110,64110,0.74,0,60
G64111,64111,0.05,0,59
G64112,64112,0.59,0,54
G64113,64113,1.76,4.71,60
G64114,64114,0.71,0,58
G64116,64116,1.42,0,45
G64117,64117,2.1,5.83,46
G64118,64118,0.67,0,36
G64119,64119,0.22,0,42
G64120,64120,1.19,5.78,57
G64123,64123,0.47,0,52
G64124,64124,0.61,0,58
G64125,64125,1.23,8.16,51
G64126,64126,1.9,5.36,61
G64127,64127,0.5,0,61
G64128,64128,0.33,0,61
G64129,64129,2.15,7.72,61
G64130,64130,0.1,0,61
G64131,64131,1.72,0,61
G64132,64132,0.24,0,57
G64133,64133,1.66,0,56
G64134,64134,0.49,0,52
G64136,64136,2.24,6.91,39
G64137,64137,3.03,7.33,54
G64138,64138,1.58,0,52
G64139,64139,3.22,14.53,32
G64145,64145,0.18,0,52
G64146,64146,1.18,4.74,46
G64147,64147,2.89,11.58,47
G64149,64149,3.45,16.48,23
G64150,64150,3.62,10.98,50
G64151,64151,2.99,11.22,38
G64152,64152,6.8,18.67,28
G64153,64153,8.61,16.42,29
G64154,64154,5.95,12.75,30
G64155,64155,5.12,10.79,28
G64156,64156,3.82,11.3,26
G64157,64157,1.11,0,24
G64158,64158,2.28,8.15,38
G64161,64161,4.77,12.14,43
G64163,64163,11.06,20.61,13
G64164,64164,9.35,19.65,13
G64165,64165,7.49,13.32,22
G64166,64166,5.26,8.67,20
G64167,64167,3.79,11.63,9
G64192,64192,1.25,5.33,67
G64401,64401,11.12,24.79,4
G64421,64421,10.23,17.27,5
G64423,64423,11.13,20.23,1
G64427,64427,16.76,25.15,1
G64428,64428,13.17,22.57,1
G64429,64429,0.73,0,1
G64431,64431,14.08,29.9,1
G64432,64432,12.18,26.82,1
G64433,64433,12.52,27.2,1
G64436,64436,7.39,20.65,5
G64439,64439,17.76,29.73,3
G64443,64443,7.83,16.72,6
G64448,64448,11.82,20.63,5
G64454,64454,16.25,27.94,4
G64459,64459,12.85,27.42,4
G64461,64461,12.41,25.66,1
G64465,64465,13.7,27.12,1
G64468,64468,0.63,0,1
G64469,64469,14.57,28.77,1
G64474,64474,7.68,12.29,1
G64476,64476,7.27,14.81,1
G64479,64479,10.87,17.64,1
G64483,64483,18.43,29.1,1
G64484,64484,5.05,15.34,2
G64485,64485,11.85,16.89,5
G64487,64487,12.44,22.44,1
G64490,64490,14.65,25.93,5
G64493,64493,8.51,23.62,1
G64497,64497,12.87,25.58,1
G64501,64501,0.42,0,5
G64503,64503,1.38,8.7,5
G64504,64504,6.53,9.76,7
G64505,64505,4.67,0,5
G64506,64506,0.64,0,5
G64507,64507,4.12,9.54,5
G64620,64620,13.32,22.63,1
G64628,64628,2.09,0,1
G64631,64631,11.01,20.79,1
G64641,64641,12.53,28.17,1
G64644,64644,14.03,20.42,1
G64646,64646,15.11,29.65,1
G64648,64648,12.34,21.12,1
G64649,64649,8.29,18.94,1
G64651,64651,5.88,10.83,1
G64652,64652,10.09,26.22,1
G64653,64653,11.25,25.17,1
G64658,64658,11,20.99,1
G64659,64659,11.79,19.9,1
G64671,64671,17.15,28.87,1
G64676,64676,9.16,23.56,1
G64679,64679,10.77,20.12,1
G64683,64683,0.27,0,1
G64689,64689,10.37,17.37,1
G64701,64701,2.58,0,3
G64720,64720,9.68,19.42,3
G64722,64722,11.14,22.93,2
G64725,64725,10.95,17.55,3
G64728,64728,12.61,26.64,2
G64730,64730,2.63,0,1
G64733,64733,12.67,27.82,3
G64734,64734,5.89,16.54,5
G64735,64735,0.54,0,4
G64738,64738,10.58,20.58,1
G64739,64739,16.18,27.29,2
G64740,64740,10.16,22.19,3
G64741,64741,7.88,19.75,4
G64742,64742,10.93,24.87,2
G64743,64743,5.36,14.42,2
G64744,64744,1.26,0,5
G64745,64745,10.73,26.8,1
G64746,64746,8.34,13.86,4
G64747,64747,10.07,16.18,2
G64750,64750,6.42,28.25,3
G64752,64752,10.66,27.68,1
G64755,64755,11.06,24.36,2
G64759,64759,2.33,0,1
G64761,64761,9.98,24.94,6
G64763,64763,6.53,12.42,3
G64765,64765,12.37,29.8,2
G64767,64767,9.28,22.6,2
G64769,64769,7.56,21.46,5
G64771,64771,7.3,15.08,2
G64772,64772,0.65,0,7
G64776,64776,1.47,0,3
G64778,64778,9.29,29.35,2
G64779,64779,12.43,22.05,3
G64781,64781,8.27,18.46,1
G64784,64784,12.28,20.86,3
G64788,64788,14.13,27.95,2
G64790,64790,8.44,20.82,5
G64801,64801,1.73,0,7
G64804,64804,2.88,0,10
G64830,64830,6.58,19.03,4
G64831,64831,15.6,24.17,2
G64832,64832,7.07,21.43,5
G64833,64833,10.05,21.28,1
G64834,64834,7.58,18.75,7
G64835,64835,4.8,13.67,8
G64836,64836,1.55,0,6
G64840,64840,9.29,19.43,5
G64841,64841,3.42,12.38,8
G64843,64843,10.32,14.15,3
G64844,64844,7.68,15.8,4
G64847,64847,18.02,28.28,2
G64849,64849,9.07,26.94,1
G64850,64850,1.74,0,5
G64855,64855,12.61,24.26,4
G64857,64857,8.43,23.1,1
G64858,64858,5.32,9.22,5
G64859,64859,9.11,15.01,1
G64862,64862,12.14,23.8,3
G64863,64863,9.86,28.23,4
G64865,64865,2.93,0,5
G64866,64866,12.35,25.92,2
G64870,64870,6.81,11.82,6
G64873,64873,8.57,29.16,2
G65010,65010,10.17,19.88,9
G65011,65011,7.81,17.47,1
G65013,65013,13.51,23.39,3
G65014,65014,6.33,14.05,3
G65017,65017,10.56,28.86,1
G65018,65018,18.37,26.81,2
G65020,65020,1.59,0,3
G65023,65023,10.25,19.52,2
G65026,65026,1.96,0,1
G65032,65032,10.54,20.67,3
G65039,65039,8.62,22.89,9
G65040,65040,14.39,29.78,2
G65043,65043,4.72,15.39,5
G65047,65047,9.15,21.25,2
G65049,65049,9.31,24.34,2
G65052,65052,2.41,0,3
G65053,65053,8.74,18.29,2
G65059,65059,13.61,23.39,2
G65063,65063,11.19,15.13,4
G65064,65064,6.84,16.01,1
G65065,65065,4.7,14.67,3
G65066,65066,0.18,0,3
G65068,65068,12.29,19.32,2
G65072,65072,9.61,25.28,1
G65074,65074,10.67,29.02,2
G65077,65077,11.76,27.7,2
G65079,65079,6.65,23.57,3
G65082,65082,11.87,20.33,1
G65101,65101,5.92,0,3
G65109,65109,3.29,0,3
G65201,65201,4.8,0,7
G65202,65202,3.59,0,7
G65203,65203,2.7,0,7
G65215,65215,0.98,7.9,7
G65231,65231,10.16,16.64,3
G65232,65232,6.79,12.99,1
G65233,65233,3.3,0,2
G65237,65237,12.13,26.64,2
G65239,65239,5.37,12.82,2
G65240,65240,13.46,25.12,1
G65243,65243,10.83,16.27,4
G65244,65244,12.11,27.8,2
G65247,65247,12.66,21.74,2
G65248,65248,12.41,29.8,2
G65250,65250,6.37,18.42,2
G65251,65251,2.39,0,2
G65255,65255,9.92,18.8,7
G65256,65256,13.29,25.49,2
G65257,65257,10.5,26.3,2
G65259,65259,7.22,17.65,2
G65260,65260,9.28,22.24,2
G65262,65262,5.24,12.25,8
G65263,65263,11.23,23.7,2
G65264,65264,11.66,26.66,2
G65265,65265,1.97,0,1
G65270,65270,1.76,0,2
G65274,65274,4.44,14.89,2
G65276,65276,12.45,23.92,2
G65278,65278,5.51,8.36,2
G65279,65279,10.31,19.27,9
G65280,65280,8.88,25.19,1
G65284,65284,15.98,23.61,7
G65285,65285,7.49,11.59,1
G65287,65287,9.2,24.92,2
G65301,65301,1.39,0,2
G65305,65305,8.37,27.01,3
G65321,65321,14.12,26.86,1
G65322,65322,10.03,29.14,2
G65323,65323,8,13.81,3
G65327,65327,14.15,25.25,1
G65332,65332,8.29,21.55,3
G65334,65334,9.3,20.27,2
G65335,65335,9.65,26.61,3
G65336,65336,7.16,16.01,5
G65337,65337,11.16,20.15,5
G65338,65338,8.75,19.7,1
G65348,65348,14.31,24.48,2
G65350,65350,9.22,18.08,2
G65351,65351,18.96,29.67,1
G65355,65355,3.28,0,1
G65360,65360,1.04,0,3
G65401,65401,2.95,0,2
G65441,65441,7.8,13.72,3
G65444,65444,7.07,19.23,2
G65452,65452,9.9,24.96,2
G65453,65453,2.51,0,3
G65457,65457,6.78,11.01,4
G65459,65459,14.97,21.43,2
G65462,65462,17.4,28.52,2
G65463,65463,11.05,22.39,5
G65468,65468,10.23,25.46,2
G65473,65473,8.53,13.26,2
G65483,65483,0.9,0,2
G65529,65529,10.96,18.96,4
G65534,65534,10.41,18.58,2
G65535,65535,6.84,16.76,3
G65536,65536,1.38,0,2
G65542,65542,11.64,18.75,2
G65555,65555,9.32,24.43,2
G65556,65556,11.31,26.29,1
G65559,65559,9.16,17.78,4
G65560,65560,3.92,0,3
G65564,65564,5.36,19.08,2
G65565,65565,13.88,29.97,2
G65580,65580,11.68,21.92,2
G65583,65583,2.97,0,2
G65584,65584,2.53,0,2
G65588,65588,14.82,27.38,1
G65589,65589,8.14,26.19,2
G65590,65590,16.11,27.73,2
G65591,65591,7.58,21.13,3
G65603,65603,9.49,18.33,1
G65605,65605,6.54,0,3
G65610,65610,11.12,23.08,3
G65611,65611,7.81,19.57,3
G65612,65612,12.18,28.33,6
G65613,65613,1.98,0,3
G65616,65616,2.13,0,5
G65617,65617,10.66,20.34,10
G65619,65619,5.05,9.03,20
G65620,65620,11.82,27.08,2
G65622,65622,16.4,29.25,3
G65623,65623,4.8,13.85,3
G65624,65624,10.11,24.76,2
G65625,65625,2.96,0,1
G65630,65630,9.99,20.53,7
G65631,65631,5.74,16.91,5
G65632,65632,12.23,20.9,3
G65633,65633,11.44,26.7,1
G65634,65634,19.8,27.46,1
G65640,65640,11.11,26.02,3
G65641,65641,7.23,23.87,1
G65646,65646,9.41,25.62,1
G65647,65647,7.77,20.02,1
G65648,65648,12.5,22.5,9
G65649,65649,11.53,20.22,3
G65652,65652,10.58,13.37,4
G65653,65653,8.51,25.83,3
G65654,65654,5.63,22.25,2
G65656,65656,6.3,26.31,2
G65660,65660,14.02,28.32,1
G65661,65661,3.3,0,1
G65663,65663,8.76,17.81,3
G65664,65664,15.91,25.8,12
G65669,65669,9.03,15.08,7
G65672,65672,2.69,0,5
G65674,65674,16.47,25.66,4
G65679,65679,7.8,20.13,3
G65681,65681,11.11,23.56,2
G65682,65682,6.97,18.07,1
G65686,65686,6.12,13.08,2
G65689,65689,9.05,18.52,3
G65692,65692,12.66,24.97,4
G65702,65702,13.24,23.72,1
G65704,65704,17.69,28.21,1
G65705,65705,7.14,10.21,1
G65706,65706,1.74,0,1
G65707,65707,13.07,27.48,1
G65708,65708,1.53,0,3
G65710,65710,6.81,22.4,5
G65711,65711,3.39,0,1
G65712,65712,10.31,22.36,1
G65713,65713,10.07,23,1
G65714,65714,0.48,0,20
G65717,65717,9.74,18.9,1
G65721,65721,5.36,0,20
G65722,65722,11.03,18.02,3
G65723,65723,6.47,16.86,2
G65725,65725,12.36,24.29,5
G65728,65728,9.87,24.35,2
G65731,65731,5.66,20.41,3
G65734,65734,8.76,19.29,3
G65735,65735,11.86,26.67,2
G65737,65737,1.35,0,5
G65738,65738,10.31,18.1,17
G65739,65739,5.71,12.51,3
G65740,65740,3.45,18.55,5
G65742,65742,3.44,0,20
G65745,65745,8.51,26.73,1
G65746,65746,15.57,22.55,1
G65752,65752,6.3,12.59,1
G65753,65753,6.94,15.52,5
G65754,65754,9.59,19.77,9
G65757,65757,9.14,16.36,16
G65769,65769,5.52,8.81,3
G65771,65771,5.88,15.25,7
G65772,65772,11.46,24.3,1
G65774,65774,13.71,27.01,1
G65775,65775,1.2,0,4
G65777,65777,13.82,28.27,4
G65781,65781,8.93,15.95,12
G65786,65786,12.01,24.63,3
G65789,65789,5.89,21.06,4
G65793,65793,15.48,28.95,1
G65802,65802,1.86,0,20
G65803,65803,3.58,0,18
G65804,65804,1.02,0,20
G65806,65806,0.71,0,20
G65807,65807,1.73,0,20
G65809,65809,3.29,9.79,20
G65810,65810,1.1,0,20
G66002,66002,1.91,0,2
G66006,66006,10.28,23.48,6
G66007,66007,9.03,26.19,12
G66008,66008,9.22,27.41,2
G66012,66012,10.53,22.58,14
G66013,66013,7.56,15.69,17
G66015,66015,10.4,16.54,2
G66016,66016,8.67,14.54,2
G66018,66018,9.09,19.02,21
G66019,66019,9.95,20.12,18
G66020,66020,11.38,22.94,4
G66021,66021,12.76,25.78,11
G66023,66023,15.36,25.82,2
G66024,66024,2.14,9.35,5
G66025,66025,7.31,14.69,12
G66027,66027,5.33,14.52,2
G66030,66030,7.62,18.32,20
G66031,66031,4.81,17.21,10
G66032,66032,1.46,0,1
G66033,66033,8.86,14.55,3
G66035,66035,14.99,23.82,1
G66040,66040,12.86,20.85,1
G66041,66041,10,20.49,2
G66042,66042,8.39,23.66,4
G66043,66043,2.13,13.83,2
G66044,66044,5.63,6.08,4
G66045,66045,1.64,6.46,4
G66046,66046,2.4,0,4
G66047,66047,5.69,0,4
G66048,66048,4.51,0,2
G66049,66049,2.4,0,5
G66050,66050,7.81,18.72,4
G66052,66052,10.09,28.8,1
G66053,66053,2.66,0,5
G66054,66054,6.13,15.15,1
G66056,66056,7.19,16.58,1
G66060,66060,14.58,24.39,3
G66061,66061,2.58,0,31
G66062,66062,2.73,0,31
G66064,66064,2.51,0,5
G66066,66066,1.2,0,1
G66067,66067,0.5,0,2
G66070,66070,7.43,25.81,1
G66071,66071,2.83,0,5
G66073,66073,9.01,23.12,8
G66075,66075,2.44,0,3
G66076,66076,9.28,21,2
G66078,66078,5.99,14.48,3
G66079,66079,9.29,24.83,4
G66080,66080,8.72,14.4,3
G66083,66083,9.46,17.74,21
G66085,66085,6.25,18.47,21
G66086,66086,13.88,26.42,3
G66087,66087,14.32,25.59,2
G66088,66088,12.04,28.51,1
G66090,66090,6.32,13.68,5
G66091,66091,8.46,21.91,1
G66092,66092,10.57,22.33,2
G66095,66095,11.5,25.92,2
G66097,66097,9.03,21.22,1
G66101,66101,0.26,0,58
G66102,66102,2.37,0,54
G66103,66103,0.89,0,61
G66104,66104,3.41,7.97,48
G66105,66105,2.07,5.7,55
G66106,66106,3.8,9.57,54
G66109,66109,6.01,18.42,39
G66111,66111,3.95,14.79,44
G66112,66112,2.12,11.03,44
G66115,66115,1.96,6.86,55
G66118,66118,0.96,4.78,58
G66202,66202,0.78,0,60
G66203,66203,1.71,6.4,57
G66204,66204,0.62,0,56
G66205,66205,0.11,0,60
G66206,66206,0.77,4.18,58
G66207,66207,0.23,0,53
G66208,66208,2.01,7.2,56
G66209,66209,1.96,6.04,51
G66210,66210,1.07,8.79,53
G66211,66211,0.6,0,56
G66212,66212,0.19,0,53
G66213,66213,2.78,10.77,52
G66214,66214,0.68,0,54
G66215,66215,0.22,0,54
G66216,66216,0.27,0,52
G66217,66217,2.46,6.21,51
G66218,66218,4.32,10.68,42
G66219,66219,1.67,6.06,52
G66220,66220,4.01,10.72,37
G66221,66221,4.37,8.37,34
G66223,66223,4.27,12.15,50
G66224,66224,2.24,7.88,39
G66226,66226,6.65,13.65,30
G66227,66227,6.34,10.96,28
G66402,66402,9.5,18.88,8
G66406,66406,12.79,22.87,1
G66409,66409,8.29,19.44,7
G66411,66411,14.32,21.7,1
G66412,66412,8.08,18.84,1
G66414,66414,11.48,20.78,8
G66425,66425,10.78,21.95,1
G66429,66429,7.99,17.65,8
G66434,66434,1.27,0,2
G66438,66438,8.38,16.95,1
G66439,66439,13.62,24.02,1
G66440,66440,14.17,23.74,5
G66441,66441,3.45,0,2
G66442,66442,5.03,16.16,1
G66502,66502,2.52,0,3
G66503,66503,7.12,10.21,3
G66506,66506,0.48,2.02,2
G66507,66507,16.68,18.58,8
G66508,66508,1.27,0,1
G66509,66509,19.15,27.71,2
G66512,66512,12.73,25.34,6
G66514,66514,7.09,13.75,1
G66515,66515,9.99,28.12,1
G66517,66517,8.37,17.22,3
G66518,66518,10.26,21.35,1
G66526,66526,22.95,29.61,1
G66528,66528,13.64,26.56,2
G66531,66531,15.23,24.57,2
G66532,66532,8.7,20.9,1
G66533,66533,14.29,26.06,2
G66535,66535,8.78,16.24,2
G66537,66537,16.83,28.7,3
G66539,66539,9.15,18.46,8
G66542,66542,5.62,9.26,8
G66546,66546,7.02,16.88,8
G66547,66547,14.11,22.27,2
G66548,66548,12.89,26.27,1
G66603,66603,1.2,2.34,9
G66604,66604,0.67,0,8
G66605,66605,1.1,0,9
G66606,66606,0.35,0,8
G66607,66607,1.61,5.66,9
G66608,66608,2.91,6.49,8
G66609,66609,1.75,0,8
G66610,66610,7.02,5.46,8
G66611,66611,0.87,0,8
G66612,66612,0.16,0,9
G66614,66614,6.63,0,8
G66615,66615,9.19,9.18,8
G66616,66616,3.54,8.1,9
G66617,66617,7.14,14.69,8
G66618,66618,5.84,9.73,8
G66619,66619,3.27,10.6,8
G66621,66621,0.51,3.63,8
G66622,66622,0.04,0,8
G66701,66701,3.07,0,5
G66710,66710,10.01,15.92,1
G66712,66712,8.12,15.33,6
G66713,66713,5.23,8.26,8
G66717,66717,13.13,20.53,1
G66720,66720,2.03,0,1
G66724,66724,9.67,17.84,7
G66725,66725,2.67,0,3
G66728,66728,6.31,9.82,7
G66733,66733,12.62,27.59,1
G66734,66734,7.25,17.42,1
G66735,66735,5.68,12.43,6
G66736,66736,13.39,22.18,1
G66738,66738,10.88,18.26,3
G66739,66739,3.73,5.34,7
G66741,66741,8.8,20.32,2
G66743,66743,1.94,0,6
G66748,66748,8.47,18.32,2
G66749,66749,0.92,0,2
G66751,66751,6.39,10.15,1
G66753,66753,13.69,26.06,1
G66755,66755,12.5,21.05,1
G66756,66756,7.54,28.59,5
G66757,66757,0.8,0,2
G66760,66760,4.37,14.91,5
G66761,66761,8.83,14.3,1
G66762,66762,1.28,0,6
G66763,66763,1.56,8.42,6
G66767,66767,6.64,10.4,3
G66769,66769,10.11,25.12,2
G66770,66770,0.3,0,8
G66773,66773,6.87,19.15,6
G66776,66776,11.18,27.01,1
G66778,66778,4.64,10.28,6
G66781,66781,6.68,19.08,5
G66782,66782,9.05,29.27,1
G66783,66783,18.35,25.5,1
G66801,66801,0.32,0,2
G66835,66835,8.7,20.37,2
G66839,66839,0.92,0,1
G66840,66840,17.45,29.09,1
G66852,66852,12.68,28.77,1
G66856,66856,14.41,27.88,2
G66857,66857,9.43,26.94,1
G66858,66858,17.35,29.36,1
G66861,66861,10.79,19.17,1
G66864,66864,10.91,19.51,2
G66865,66865,14.15,23.08,2
G66866,66866,13.26,24.32,5
G66869,66869,16.61,28.67,2
G66901,66901,0.86,0,2
G66930,66930,13.16,29.08,2
G66935,66935,18.65,23.01,2
G66938,66938,13.31,20.78,2
G66945,66945,12.27,24.6,1
G66948,66948,10.25,18.3,2
G66951,66951,16.87,28.12,1
G67001,67001,10.65,29.08,1
G67002,67002,6.57,12.56,32
G67003,67003,4.15,0,1
G67005,67005,7.48,21.54,2
G67009,67009,13.72,29.08,1
G67010,67010,1.01,0,21
G67013,67013,10.62,23.67,2
G67016,67016,12.12,28.83,1
G67017,67017,7.62,15.44,30
G67019,67019,11.24,22.94,2
G67020,67020,13.36,23.83,8
G67024,67024,15.42,25.98,2
G67026,67026,11.83,26.74,1
G67030,67030,8.19,22.05,19
G67035,67035,18.82,28.78,1
G67037,67037,7.03,16.82,30
G67039,67039,10.66,17.07,3
G67042,67042,3.62,0,2
G67049,67049,10.19,24.84,1
G67050,67050,12.33,20.14,6
G67052,67052,7.13,11.96,29
G67053,67053,9.12,21.25,6
G67054,67054,2.52,0,1
G67055,67055,2.22,11.5,30
G67056,67056,10,21.83,4
G67058,67058,11.27,20.21,1
G67059,67059,10.59,20.13,2
G67060,67060,7.29,16.02,29
G67062,67062,5.4,13.16,8
G67063,67063,1.14,0,1
G67066,67066,8.84,13.11,1
G67067,67067,2.6,7.41,34
G67071,67071,16.87,28.83,1
