G_ZCTA,GEOID,IntSub,IntNoSub,noInt,total,IntSubPct,IntNoSubPct,NoIntPct,year,ZCTA
G4219076,4219076,2245,9,434,2688,83.52,0.33,16.15,2019,19076
G4219015,4219015,5698,52,746,6496,87.72,0.8,11.48,2019,19015
G4219030,4219030,3908,98,673,4679,83.52,2.09,14.38,2019,19030
G4219038,4219038,10335,201,711,11247,91.89,1.79,6.32,2019,19038
G1019730,1019730,283,0,18,301,94.02,0,5.98,2019,19730
G1019732,1019732,26,0,0,26,100,0,0,2019,19732
G1019806,1019806,4572,146,474,5192,88.06,2.81,9.13,2019,19806
G1019954,1019954,494,2,54,550,89.82,0.36,9.82,2019,19954
G1019960,1019960,1856,58,602,2516,73.77,2.31,23.93,2019,19960
G1019966,1019966,10134,94,2083,12311,82.32,0.76,16.92,2019,19966
G4219136,4219136,9825,275,2232,12332,79.67,2.23,18.1,2019,19136
G4219081,4219081,3110,104,162,3376,92.12,3.08,4.8,2019,19081
G4219086,4219086,3984,44,192,4220,94.41,1.04,4.55,2019,19086
G4219106,4219106,6535,43,158,6736,97.02,0.64,2.35,2019,19106
G4219141,4219141,8549,659,3315,12523,68.27,5.26,26.47,2019,19141
G4219145,4219145,13596,638,4145,18379,73.98,3.47,22.55,2019,19145
G4219367,4219367,17,0,0,17,100,0,0,2019,19367
G4219374,4219374,296,0,84,380,77.89,0,22.11,2019,19374
G4219437,4219437,376,14,0,390,96.41,3.59,0,2019,19437
G4219444,4219444,3940,66,307,4313,91.35,1.53,7.12,2019,19444
G4219446,4219446,19673,606,1933,22212,88.57,2.73,8.7,2019,19446
G4219453,4219453,787,0,29,816,96.45,0,3.55,2019,19453
G4219465,4219465,5915,83,625,6623,89.31,1.25,9.44,2019,19465
