G_COUNTYFP,COUNTYFP,SVIth1,SVIth2,SVIth3,SVIth4,SVIS
G46125,46125,0.11,0.52,0.24,0.11,0.11
G46129,46129,0.15,0.45,0.51,0.81,0.39
G47001,47001,0.55,0.79,0.46,0.57,0.61
G47003,47003,0.66,0.84,0.79,0.55,0.78
G47009,47009,0.33,0.22,0.35,0.31,0.25
G47011,47011,0.64,0.58,0.61,0.69,0.69
G47015,47015,0.6,0.39,0.13,0.36,0.37
G47019,47019,0.79,0.69,0.11,0.59,0.62
G47021,47021,0.43,0.25,0.25,0.22,0.24
G47025,47025,0.92,0.49,0.21,0.61,0.71
G47031,47031,0.54,0.76,0.36,0.34,0.49
G47033,47033,0.75,0.87,0.73,0.41,0.78
G47039,47039,0.81,0.69,0.11,0.24,0.51
G47041,47041,0.67,0.37,0.21,0.35,0.43
G47043,47043,0.5,0.33,0.4,0.47,0.43
G47047,47047,0.48,0.26,0.48,0.09,0.26
G47051,47051,0.46,0.52,0.48,0.24,0.38
G47053,47053,0.74,0.96,0.41,0.39,0.74
G47055,47055,0.64,0.64,0.38,0.59,0.6
G47063,47063,0.86,0.71,0.73,0.5,0.81
G47065,47065,0.36,0.14,0.71,0.59,0.41
G47071,47071,0.86,0.76,0.3,0.44,0.71
G47077,47077,0.86,0.57,0.44,0.43,0.7
G47079,47079,0.76,0.92,0.3,0.27,0.63
G47081,47081,0.74,0.41,0.27,0.56,0.57
G47089,47089,0.6,0.46,0.4,0.63,0.56
G47099,47099,0.87,0.93,0.44,0.54,0.83
G47101,47101,0.67,0.92,0.11,0.62,0.64
G47103,47103,0.6,0.91,0.41,0.56,0.68
G47107,47107,0.76,0.64,0.41,0.47,0.66
G47111,47111,0.72,0.91,0.47,0.36,0.69
G47113,47113,0.58,0.6,0.76,0.7,0.71
G47115,47115,0.69,0.81,0.15,0.29,0.51
G47117,47117,0.63,0.82,0.59,0.3,0.61
G47119,47119,0.38,0.41,0.56,0.38,0.39
G47127,47127,0.3,0.18,0.09,0.11,0.09
G47131,47131,0.8,0.9,0.52,0.43,0.77
G47133,47133,0.71,0.46,0.07,0.42,0.46
G47139,47139,0.78,0.51,0.06,0.36,0.49
G47141,47141,0.71,0.3,0.57,0.55,0.62
G47143,47143,0.89,0.84,0.53,0.5,0.82
G47145,47145,0.55,0.37,0.21,0.41,0.38
G47147,47147,0.43,0.55,0.62,0.27,0.43
G47149,47149,0.28,0.24,0.79,0.28,0.33
G47155,47155,0.65,0.51,0.57,0.51,0.61
G47159,47159,0.46,0.67,0.09,0.16,0.26
G47161,47161,0.74,0.63,0.14,0.14,0.41
G47163,47163,0.59,0.72,0.2,0.6,0.54
G47165,47165,0.17,0.38,0.55,0.18,0.21
G47167,47167,0.58,0.76,0.47,0.14,0.45
G47177,47177,0.84,0.92,0.63,0.44,0.83
G47179,47179,0.43,0.36,0.32,0.73,0.46
G47183,47183,0.78,0.37,0.35,0.7,0.66
G47185,47185,0.84,0.75,0.11,0.38,0.6
G47189,47189,0.12,0.23,0.55,0.16,0.15
G48009,48009,0.13,0.33,0.48,0.03,0.09
G48011,48011,0.12,0.18,0.45,0.27,0.16
G48023,48023,0.3,0.72,0.22,0.03,0.16
G48031,48031,0.23,0.34,0.74,0.21,0.28
G48043,48043,0.42,0.49,0.88,0.74,0.66
G48049,48049,0.48,0.46,0.77,0.69,0.63
G48053,48053,0.29,0.81,0.78,0.45,0.53
G48059,48059,0.42,0.62,0.43,0.1,0.3
G48065,48065,0.02,0.42,0.4,0.01,0.03
G48067,48067,0.79,0.79,0.46,0.68,0.78
G48077,48077,0.46,0.45,0.53,0.11,0.32
G48083,48083,0.54,0.49,0.72,0.11,0.42
G48091,48091,0.06,0.24,0.79,0.33,0.24
G48097,48097,0.44,0.63,0.81,0.59,0.62
G48119,48119,0.69,0.8,0.38,0.29,0.57
G48143,48143,0.56,0.04,0.78,0.96,0.63
G48149,48149,0.27,0.3,0.77,0.59,0.44
G48151,48151,0.58,0.43,0.85,0.06,0.43
G48159,48159,0.47,0.84,0.74,0.2,0.53
G48175,48175,0.5,0.55,0.76,0.46,0.58
G48179,48179,0.7,0.67,0.87,0.81,0.84
G48181,48181,0.44,0.78,0.77,0.64,0.66
G48183,48183,0.61,0.77,0.91,0.95,0.88
G48187,48187,0.22,0.48,0.9,0.4,0.43
G48203,48203,0.61,0.43,0.84,0.72,0.73
G48221,48221,0.16,0.19,0.66,0.39,0.26
G48223,48223,0.58,0.84,0.8,0.45,0.71
G48233,48233,0.62,0.92,0.79,0.2,0.66
G48235,48235,0.36,0.5,0.32,0.07,0.2
G48241,48241,0.74,0.92,0.57,0.67,0.82
G48251,48251,0.38,0.32,0.81,0.54,0.51
G48259,48259,0.04,0.43,0.77,0.25,0.23
G48277,48277,0.68,0.96,0.65,0.69,0.84
G48281,48281,0.41,0.82,0.63,0.41,0.54
G48307,48307,0.55,0.99,0.76,0.31,0.74
G48337,48337,0.49,0.87,0.67,0.33,0.58
G48343,48343,0.71,0.78,0.74,0.4,0.73
G48361,48361,0.42,0.82,0.55,0.61,0.58
G48363,48363,0.75,0.9,0.81,0.75,0.88
G48367,48367,0.21,0.16,0.64,0.36,0.26
G48373,48373,0.76,0.81,0.82,0.93,0.91
G48381,48381,0.08,0.17,0.7,0.39,0.22
G48387,48387,0.81,0.45,0.35,0.3,0.56
G48395,48395,0.6,0.57,0.85,0.71,0.75
G48399,48399,0.56,0.88,0.75,0.11,0.54
G48441,48441,0.45,0.69,0.83,0.74,0.69
G48459,48459,0.66,0.47,0.61,0.4,0.59
G48467,48467,0.55,0.72,0.61,0.34,0.56
G48477,48477,0.48,0.44,0.85,0.89,0.73
G48503,48503,0.42,0.92,0.67,0.3,0.55
G49017,49017,0.44,0.61,0.51,0.37,0.46
G49025,49025,0.25,0.37,0.24,0.05,0.11
G49055,49055,0.3,0.34,0.59,0.23,0.29
G50003,50003,0.19,0.77,0.08,0.6,0.29
G50005,50005,0.26,0.32,0.19,0.58,0.27
G50011,50011,0.16,0.18,0.19,0.26,0.11
G50013,50013,0.06,0.03,0.17,0.01,0
G50015,50015,0.21,0.11,0.08,0.43,0.13
G50017,50017,0.2,0.32,0.09,0.39,0.17
G50019,50019,0.44,0.73,0.17,0.53,0.43
G50023,50023,0.1,0.24,0.17,0.57,0.18
G50025,50025,0.26,0.42,0.16,0.68,0.31
G50027,50027,0.1,0.35,0.16,0.3,0.13
G51005,51005,0.63,0.46,0.15,0.44,0.45
G51007,51007,0.36,0.26,0.58,0.27,0.32
G51009,51009,0.61,0.22,0.54,0.38,0.47
G51011,51011,0.44,0.71,0.42,0.18,0.36
G51015,51015,0.25,0.08,0.31,0.29,0.15
G51017,51017,0.51,0.12,0.19,0.3,0.25
G51019,51019,0.18,0.14,0.37,0.12,0.1
G51023,51023,0.08,0.17,0.31,0.05,0.04
G51031,51031,0.35,0.28,0.5,0.19,0.26
G51033,51033,0.32,0.3,0.59,0.4,0.35
G51035,51035,0.54,0.52,0.33,0.15,0.34
G51041,51041,0.11,0.24,0.85,0.09,0.18
G51043,51043,0.16,0.18,0.45,0.1,0.11
G51045,51045,0.09,0.23,0.02,0.28,0.07
G51047,51047,0.33,0.31,0.82,0.57,0.49
G51049,51049,0.77,0.71,0.46,0.2,0.58
G51053,51053,0.59,0.16,0.69,0.24,0.42
G51057,51057,0.54,0.7,0.73,0.3,0.56
G51061,51061,0.03,0.09,0.64,0.01,0.03
G51063,51063,0.34,0.14,0.3,0.05,0.11
G51065,51065,0.13,0.08,0.48,0.05,0.06
G51067,51067,0.48,0.27,0.42,0.47,0.4
G51069,51069,0.14,0.16,0.64,0.23,0.18
G51071,51071,0.38,0.83,0.19,0.13,0.27
G51073,51073,0.13,0.16,0.26,0.03,0.04
G51075,51075,0.04,0.06,0.41,0.15,0.05
G51077,51077,0.84,0.38,0.38,0.51,0.65
G51079,51079,0.26,0.19,0.48,0.12,0.16
G51083,51083,0.61,0.68,0.61,0.6,0.67
G51085,51085,0.02,0.05,0.42,0.05,0.02
G51089,51089,0.9,0.73,0.63,0.8,0.89
G51093,51093,0.39,0.3,0.62,0.24,0.34
G51095,51095,0.03,0.21,0.63,0.14,0.12
G51097,51097,0.58,0.23,0.65,0.06,0.32
G51099,51099,0.04,0.1,0.44,0.01,0.02
G51101,51101,0.15,0.17,0.37,0.01,0.04
G51109,51109,0.47,0.26,0.6,0.19,0.33
G51113,51113,0.32,0.12,0.38,0.16,0.16
G51127,51127,0.07,0.02,0.27,0.03,0.01
G51137,51137,0.3,0.84,0.68,0.31,0.46
G51139,51139,0.74,0.56,0.18,0.13,0.39
G51143,51143,0.69,0.62,0.6,0.42,0.64
G51155,51155,0.53,0.39,0.36,0.58,0.48
G51165,51165,0.3,0.18,0.58,0.43,0.32
G51171,51171,0.37,0.44,0.61,0.26,0.36
G51177,51177,0.19,0.22,0.78,0.15,0.22
G51181,51181,0.52,0.32,0.43,0.26,0.37
G51187,51187,0.39,0.24,0.41,0.21,0.26
G51191,51191,0.59,0.46,0.1,0.34,0.36
G51193,51193,0.47,0.17,0.78,0.08,0.29
G51197,51197,0.61,0.57,0.1,0.34,0.4
G51199,51199,0.11,0.33,0.74,0.15,0.2
G51550,51550,0.16,0.31,0.73,0.25,0.26
G51580,51580,0.54,0.65,0.26,0.42,0.46
G51735,51735,0.06,0.23,0.27,0.01,0.01
G51800,51800,0.33,0.42,0.65,0.26,0.35
G51810,51810,0.1,0.16,0.77,0.23,0.19
G51820,51820,0.55,0.83,0.66,0.33,0.6
G53003,53003,0.45,0.84,0.26,0.31,0.42
G53011,53011,0.18,0.22,0.75,0.37,0.29
G53015,53015,0.6,0.93,0.59,0.76,0.79
G53023,53023,0.39,0.75,0.23,0.02,0.18
G53027,53027,0.65,0.81,0.71,0.9,0.84
G53029,53029,0.15,0.23,0.53,0.24,0.19
G53035,53035,0.12,0.21,0.52,0.65,0.28
G53037,53037,0.48,0.02,0.51,0.51,0.28
G53041,53041,0.62,0.76,0.67,0.83,0.79
G53045,53045,0.59,0.68,0.73,0.42,0.64
G53059,53059,0.28,0.11,0.37,0.41,0.22
G53065,53065,0.55,0.64,0.35,0.32,0.46
G53067,53067,0.25,0.2,0.69,0.45,0.33
G54003,54003,0.46,0.61,0.49,0.33,0.44
G54009,54009,0.31,0.52,0.05,0.72,0.33
G54023,54023,0.62,0.37,0.29,0.22,0.37
G54025,54025,0.73,0.6,0.18,0.5,0.56
G54029,54029,0.53,0.6,0.19,0.38,0.41
G54031,54031,0.43,0.37,0.65,0.07,0.28
G54033,54033,0.54,0.51,0.09,0.54,0.41
G54035,54035,0.51,0.33,0.03,0.28,0.25
G54037,54037,0.32,0.12,0.47,0.28,0.23
G54041,54041,0.73,0.73,0.07,0.85,0.68
G54049,54049,0.55,0.4,0.29,0.63,0.49
G54051,54051,0.44,0.37,0.03,0.24,0.22
G54053,54053,0.73,0.5,0.03,0.72,0.55
G54057,54057,0.54,0.89,0.4,0.47,0.59
G54065,54065,0.51,0.17,0.09,0.13,0.18
G54067,54067,0.75,0.66,0.01,0.58,0.54
G54073,54073,0.59,0.6,0.05,0.55,0.45
G54079,54079,0.1,0.18,0.09,0.12,0.04
G54083,54083,0.75,0.36,0.02,0.85,0.58
G54085,54085,0.77,0.6,0.05,0.11,0.36
G54091,54091,0.7,0.47,0.04,0.59,0.49
G54095,54095,0.62,0.33,0.02,0.1,0.22
G54097,54097,0.86,0.5,0.02,0.87,0.69
G54103,54103,0.8,0.76,0.01,0.24,0.48
G54107,54107,0.47,0.76,0.06,0.41,0.37
G55003,55003,0.48,0.63,0.28,0.79,0.55
G55005,55005,0.25,0.58,0.3,0.53,0.33
G55009,55009,0.14,0.28,0.73,0.55,0.33
G55011,55011,0.11,0.15,0.29,0.08,0.06
G55015,55015,0.01,0.11,0.38,0.04,0.02
G55017,55017,0.18,0.29,0.26,0.45,0.21
G55021,55021,0.06,0.14,0.36,0.33,0.12
G55023,55023,0.3,0.46,0.29,0.75,0.4
G55027,55027,0.21,0.11,0.37,0.47,0.2
G55031,55031,0.21,0.34,0.2,0.67,0.27
G55035,55035,0.22,0.04,0.51,0.59,0.22
G55039,55039,0.14,0.1,0.45,0.54,0.2
G55041,55041,0.62,0.8,0.39,0.41,0.58
G55043,55043,0.32,0.04,0.14,0.66,0.19
G55045,55045,0.05,0.27,0.27,0.08,0.05
G55047,55047,0.25,0.35,0.41,0.43,0.29
G55049,55049,0.03,0.17,0.17,0.04,0.01
G55053,55053,0.42,0.44,0.43,0.73,0.5
G55055,55055,0.14,0.1,0.47,0.43,0.19
G55057,55057,0.41,0.34,0.24,0.64,0.38
G55061,55061,0.08,0.13,0.29,0.12,0.06
G55065,55065,0.2,0.46,0.34,0.11,0.16
G55067,55067,0.51,0.53,0.26,0.27,0.35
G55069,55069,0.16,0.19,0.05,0.31,0.1
G55071,55071,0.18,0.13,0.48,0.24,0.16
G55073,55073,0.12,0.09,0.54,0.27,0.14
G55075,55075,0.34,0.62,0.09,0.42,0.3
G55077,55077,0.42,0.36,0.27,0.22,0.26
G55081,55081,0.28,0.7,0.47,0.64,0.46
G55083,55083,0.19,0.14,0.22,0.08,0.06
G55087,55087,0.05,0.1,0.5,0.22,0.1
G55089,55089,0.01,0.06,0.28,0.11,0.01
G55091,55091,0.2,0.23,0.17,0.16,0.1
G55093,55093,0.04,0.03,0.37,0.47,0.08
G55095,55095,0.14,0.39,0.14,0.11,0.09
G55097,55097,0.18,0.03,0.4,0.58,0.17
G55101,55101,0.29,0.54,0.71,0.48,0.46
G55103,55103,0.31,0.43,0.28,0.45,0.31
G55105,55105,0.38,0.62,0.6,0.38,0.46
G55107,55107,0.46,0.65,0.2,0.3,0.35
G55109,55109,0,0.15,0.25,0.06,0.01
G55111,55111,0.18,0.3,0.4,0.4,0.23
G55115,55115,0.16,0.22,0.31,0.22,0.14
G55117,55117,0.1,0.14,0.56,0.55,0.22
G55119,55119,0.29,0.4,0.25,0.21,0.2
G55121,55121,0.2,0.38,0.57,0.33,0.28
G55123,55123,0.4,0.29,0.27,0.7,0.38
G55127,55127,0.23,0.11,0.65,0.43,0.27
G55131,55131,0.01,0.08,0.28,0.04,0.01
G55135,55135,0.14,0.33,0.3,0.34,0.18
G55137,55137,0.36,0.25,0.5,0.5,0.37
G55141,55141,0.14,0.34,0.35,0.19,0.15
G56003,56003,0.45,0.7,0.46,0.23,0.4
G56007,56007,0.23,0.33,0.77,0.82,0.5
G56009,56009,0.2,0.3,0.24,0.42,0.2
G56011,56011,0.06,0.13,0.08,0.17,0.03
G56013,56013,0.4,0.8,0.42,0.71,0.56
G56015,56015,0.37,0.32,0.54,0.27,0.33
G56019,56019,0.09,0.56,0.12,0.41,0.18
G56021,56021,0.17,0.29,0.56,0.4,0.27
G56025,56025,0.14,0.54,0.44,0.48,0.3
G56029,56029,0.03,0.14,0.36,0.17,0.07
G56031,56031,0.11,0.44,0.45,0.04,0.1
G56033,56033,0.01,0.19,0.24,0.37,0.09
G56035,56035,0.04,0.27,0.35,0.02,0.03
G56043,56043,0.43,0.65,0.37,0.28,0.37
G56045,56045,0.3,0.23,0.43,0.66,0.35
G01003,01003,0.22,0.2,0.44,0.34,0.22
G01019,01019,0.69,0.45,0.28,0.27,0.45
G01021,01021,0.77,0.85,0.7,0.36,0.76
G01027,01027,0.82,0.67,0.42,0.16,0.56
G01041,01041,0.73,0.86,0.7,0.24,0.69
G01049,01049,0.8,0.74,0.76,0.48,0.8
G01057,01057,0.83,0.81,0.22,0.55,0.7
G01061,01061,0.94,0.92,0.46,0.27,0.8
G01073,01073,0.52,0.58,0.81,0.62,0.66
G01075,01075,0.87,0.72,0.2,0.33,0.63
G01081,01081,0.55,0.15,0.72,0.92,0.66
G01093,01093,0.78,0.85,0.3,0.42,0.67
G01109,01109,0.91,0.28,0.82,0.92,0.9
G01123,01123,0.88,0.88,0.42,0.87,0.89
G01125,01125,0.6,0.13,0.71,0.81,0.63
G02068,02068,0.16,0,0.45,0.55,0.1
G02090,02090,0.19,0.19,0.57,0.75,0.34
G02110,02110,0.1,0.02,0.74,0.93,0.3
G02122,02122,0.32,0.26,0.46,0.74,0.41
G02195,02195,0.16,0.89,0.77,0.93,0.66
G02220,02220,0.06,0.19,0.73,0.94,0.4
G02230,02230,0.15,0.01,0.39,0.81,0.17
G02275,02275,0.28,0.63,0.68,0.81,0.56
G04003,04003,0.67,0.8,0.92,0.94,0.91
G04019,04019,0.61,0.57,0.93,0.98,0.88
G04025,04025,0.44,0.39,0.66,0.58,0.52
G05003,05003,0.83,0.93,0.74,0.49,0.86
G05005,05005,0.43,0.51,0.07,0.32,0.28
G05007,05007,0.17,0.17,0.81,0.31,0.27
G05015,05015,0.55,0.38,0.78,0.52,0.6
G05019,05019,0.54,0.56,0.64,0.98,0.79
G05023,05023,0.51,0.52,0.04,0.09,0.21
G05025,05025,0.64,0.95,0.38,0.2,0.56
G05029,05029,0.68,0.92,0.56,0.54,0.76
G05031,05031,0.57,0.87,0.61,0.91,0.8
G05043,05043,0.74,0.6,0.39,0.95,0.8
G05055,05055,0.7,0.91,0.15,0.38,0.58
G05059,05059,0.8,0.78,0.4,0.85,0.82
G05061,05061,0.74,0.98,0.86,0.66,0.9
G05071,05071,0.78,0.86,0.76,0.76,0.88
G05073,05073,0.73,0.9,0.53,0.64,0.79
G05075,05075,0.8,0.83,0.09,0.56,0.65
G05081,05081,0.66,0.88,0.35,0.42,0.63
G05091,05091,0.81,0.93,0.38,0.98,0.91
G05103,05103,0.84,0.95,0.51,0.68,0.87
G05105,05105,0.78,0.72,0.1,0.64,0.64
G05109,05109,0.65,0.91,0.59,0.46,0.71
G05139,05139,0.76,0.88,0.69,0.5,0.81
G05143,05143,0.51,0.2,0.83,0.88,0.67
G06009,06009,0.31,0.6,0.51,0.06,0.24
G06033,06033,0.8,0.89,0.83,0.84,0.92
G06035,06035,0.69,0.05,0.78,0.72,0.6
G06041,06041,0.03,0.08,0.84,0.7,0.27
G06043,06043,0.48,0.36,0.62,0.59,0.53
G06049,06049,0.75,0.45,0.78,0.58,0.75
G06057,06057,0.22,0.22,0.55,0.21,0.2
G06063,06063,0.26,0.37,0.55,0.24,0.27
G06091,06091,0.12,0.11,0.26,0.09,0.05
G06105,06105,0.66,0.87,0.53,0.63,0.74
G06109,06109,0.36,0.36,0.55,0.67,0.47
G08003,08003,0.87,0.3,0.93,0.99,0.95
G08005,08005,0.1,0.14,0.89,0.36,0.27
G08007,08007,0.26,0.13,0.62,0.34,0.26
G08009,08009,0.56,0.73,0.68,0.39,0.61
G08013,08013,0.13,0.01,0.72,0.57,0.17
G08014,08014,0.01,0.03,0.7,0.15,0.05
G08015,08015,0.12,0.29,0.44,0.49,0.24
G08017,08017,0.5,0.12,0.69,0.06,0.26
G08027,08027,0.44,0.34,0.56,0.04,0.24
G08029,08029,0.66,0.49,0.66,0.65,0.69
G08035,08035,0,0.07,0.5,0.04,0.02
G08041,08041,0.24,0.26,0.75,0.58,0.39
G08043,08043,0.58,0.4,0.68,0.7,0.65
G08049,08049,0.15,0.01,0.53,0.41,0.1
G08059,08059,0.02,0.02,0.67,0.2,0.06
G08061,08061,0.22,0.92,0.38,0.21,0.32
G08063,08063,0.34,0.69,0.81,0.4,0.52
G08069,08069,0.15,0.02,0.6,0.36,0.12
G08079,08079,0.04,0.29,0.27,0.02,0.03
G08081,08081,0.31,0.59,0.7,0.73,0.55
G08091,08091,0.1,0.1,0.33,0.03,0.02
G08095,08095,0.15,0.22,0.84,0.35,0.3
G08097,08097,0.03,0.04,0.49,0.26,0.07
G08107,08107,0.03,0,0.55,0.45,0.06
G08113,08113,0.01,0.01,0.57,0.27,0.03
G08115,08115,0.59,0.83,0.55,0.62,0.69
G08123,08123,0.28,0.15,0.86,0.53,0.4
G09013,09013,0.08,0.01,0.5,0.35,0.07
G10003,10003,0.27,0.11,0.85,0.56,0.38
G10005,10005,0.3,0.32,0.77,0.42,0.4
G12001,12001,0.51,0.01,0.76,0.89,0.47
G12005,12005,0.44,0.59,0.67,0.71,0.61
G12009,12009,0.32,0.33,0.7,0.35,0.37
G12015,12015,0.38,0.45,0.64,0.55,0.49
G12017,12017,0.67,0.5,0.48,0.53,0.6
G12031,12031,0.47,0.34,0.89,0.83,0.69
G12035,12035,0.32,0.3,0.78,0.1,0.28
G12037,12037,0.81,0.33,0.62,0.88,0.81
G12041,12041,0.74,0.83,0.59,0.53,0.76
G12045,12045,0.73,0.38,0.51,0.44,0.59
G12053,12053,0.64,0.67,0.65,0.21,0.55
G12069,12069,0.46,0.58,0.76,0.59,0.6
G12073,12073,0.5,0.03,0.69,0.85,0.49
G12075,12075,0.81,0.77,0.64,0.47,0.78
G12083,12083,0.71,0.63,0.7,0.63,0.75
G12091,12091,0.26,0.19,0.71,0.63,0.39
G12103,12103,0.29,0.26,0.77,0.81,0.52
G12105,12105,0.72,0.8,0.91,0.9,0.9
G12111,12111,0.61,0.61,0.9,0.49,0.72
G12117,12117,0.2,0.05,0.87,0.18,0.18
G12119,12119,0.15,0.34,0.54,0.31,0.24
G12121,12121,0.83,0.93,0.72,0.93,0.94
G12127,12127,0.45,0.44,0.7,0.52,0.53
G12131,12131,0.36,0.31,0.57,0.95,0.58
G13013,13013,0.57,0.55,0.8,0.05,0.42
G13035,13035,0.82,0.32,0.49,0.83,0.77
G13051,13051,0.51,0.36,0.84,0.82,0.69
G13067,13067,0.16,0.18,0.92,0.23,0.27
G13083,13083,0.61,0.13,0.19,0.91,0.52
G13103,13103,0.24,0.38,0.54,0.19,0.24
G13105,13105,0.85,0.72,0.8,0.52,0.83
G13117,13117,0.03,0.06,0.78,0.02,0.04
G13131,13131,0.86,0.98,0.9,0.52,0.93
G13133,13133,0.53,0.52,0.76,0.31,0.54
G13137,13137,0.64,0.33,0.81,0.72,0.71
G13149,13149,0.81,0.51,0.5,0.57,0.72
G13159,13159,0.85,0.5,0.58,0.35,0.69
G13171,13171,0.86,0.06,0.4,0.37,0.49
G13177,13177,0.46,0.36,0.4,0.31,0.35
G13181,13181,0.63,0.77,0.49,0.29,0.56
G13185,13185,0.83,0.31,0.75,0.94,0.87
G13195,13195,0.78,0.69,0.63,0.22,0.64
G13201,13201,0.77,0.65,0.34,0.88,0.78
G13219,13219,0.02,0.23,0.58,0.01,0.04
G13221,13221,0.66,0.38,0.74,0.2,0.52
G13223,13223,0.25,0.31,0.59,0.02,0.14
G13237,13237,0.48,0.26,0.76,0.27,0.43
G13241,13241,0.54,0.49,0.57,0.46,0.53
G13255,13255,0.84,0.9,0.57,0.72,0.87
G13257,13257,0.81,0.56,0.53,0.78,0.8
G13275,13275,0.8,0.94,0.73,0.81,0.91
G13281,13281,0.55,0.4,0.04,0.36,0.33
G13285,13285,0.85,0.85,0.76,0.78,0.9
G13291,13291,0.36,0.45,0.36,0.3,0.31
G13293,13293,0.91,0.57,0.59,0.76,0.85
G13305,13305,0.86,0.48,0.74,0.98,0.92
G13317,13317,0.74,0.86,0.88,0.25,0.76
G16005,16005,0.54,0.55,0.46,0.68,0.58
G16007,16007,0.34,0.64,0.2,0.12,0.21
G16009,16009,0.72,0.93,0.34,0.56,0.73
G16011,16011,0.51,0.63,0.79,0.2,0.51
G16013,16013,0.23,0.3,0.84,0.25,0.32
G16015,16015,0.31,0.16,0.12,0.04,0.07
G16019,16019,0.26,0.47,0.64,0.38,0.36
G16027,16027,0.74,0.57,0.85,0.41,0.74
G16029,16029,0.14,0.23,0.44,0.34,0.19
G16041,16041,0.31,0.29,0.31,0.06,0.14
G16043,16043,0.62,0.2,0.68,0.4,0.51
G16051,16051,0.38,0.12,0.64,0.17,0.25
G16059,16059,0.34,0.37,0.21,0.48,0.3
G16061,16061,0.55,0.87,0.46,0.37,0.57
G16071,16071,0.48,0.76,0.51,0.06,0.34
G16079,16079,0.75,0.65,0.44,0.77,0.76
G16081,16081,0.2,0.06,0.65,0.15,0.13
G16083,16083,0.45,0.51,0.75,0.32,0.5
G16087,16087,0.66,1,0.78,0.43,0.85
G17005,17005,0.38,0.07,0.26,0.93,0.37
G17009,17009,0.49,0.03,0.58,0.92,0.47
G17017,17017,0.59,0.63,0.84,0.53,0.7
G17025,17025,0.5,0.97,0.33,0.51,0.61
G17033,17033,0.45,0.31,0.48,0.39,0.38
G17037,17037,0.49,0.09,0.69,0.68,0.49
G17041,17041,0.42,0.38,0.49,0.54,0.44
G17043,17043,0.07,0.04,0.85,0.31,0.16
G17051,17051,0.8,0.5,0.27,0.46,0.59
G17059,17059,0.56,0.98,0.12,0.16,0.45
G17071,17071,0.29,0.43,0.04,0.02,0.07
G17085,17085,0.13,0.22,0.26,0.04,0.05
G17087,17087,0.63,0.27,0.22,0.58,0.46
G17089,17089,0.34,0.23,0.93,0.3,0.42
G17093,17093,0.11,0.21,0.82,0.05,0.14
G17095,17095,0.6,0.46,0.44,0.83,0.65
G17101,17101,0.73,0.57,0.48,0.88,0.78
G17103,17103,0.29,0.18,0.45,0.53,0.3
G17107,17107,0.34,0.11,0.28,0.42,0.23
G17113,17113,0.14,0.03,0.58,0.64,0.19
G17121,17121,0.71,0.94,0.28,0.65,0.74
G17135,17135,0.55,0.2,0.23,0.57,0.39
G17137,17137,0.44,0.54,0.33,0.74,0.5
G17139,17139,0.29,0.26,0.13,0.74,0.29
G17145,17145,0.7,0.57,0.24,0.79,0.65
G17157,17157,0.54,0.26,0.37,0.56,0.46
G17169,17169,0.64,0.86,0.5,0.23,0.57
G17177,17177,0.44,0.86,0.36,0.43,0.5
G17183,17183,0.72,0.89,0.54,0.76,0.81
G18011,18011,0.01,0.14,0.4,0.12,0.04
G18017,18017,0.65,0.69,0.79,0.51,0.72
G18039,18039,0.56,0.7,0.81,0.8,0.77
G18053,18053,0.78,0.85,0.25,0.67,0.73
G18057,18057,0,0.12,0.55,0.04,0.03
G18075,18075,0.68,0.9,0.22,0.63,0.67
G18077,18077,0.49,0.54,0.22,0.56,0.44
G18121,18121,0.6,0.31,0.29,0.87,0.58
G18123,18123,0.37,0.46,0.09,0.52,0.31
G18133,18133,0.4,0.11,0.34,0.72,0.35
G18153,18153,0.57,0.63,0.19,0.94,0.64
G18163,18163,0.45,0.46,0.46,0.71,0.52
G18167,18167,0.72,0.5,0.4,0.84,0.73
G19009,19009,0.19,0.21,0.06,0.02,0.02
G19013,19013,0.34,0.17,0.66,0.67,0.43
G19019,19019,0.07,0.53,0.04,0.13,0.07
G19025,19025,0.17,0.44,0.08,0.31,0.16
G19053,19053,0.61,0.44,0.31,0.95,0.68
G19057,19057,0.38,0.89,0.34,0.4,0.47
G19059,19059,0.01,0.42,0.19,0.26,0.09
G19063,19063,0.21,0.58,0.6,0.54,0.39
G19103,19103,0.2,0.01,0.75,0.86,0.27
G19113,19113,0.05,0.2,0.52,0.39,0.18
G19115,19115,0.48,0.18,0.82,0.34,0.46
G19119,19119,0.1,0.25,0.25,0.04,0.04
G19127,19127,0.47,0.51,0.87,0.74,0.69
G19137,19137,0.5,0.96,0.34,0.29,0.53
G19153,19153,0.16,0.29,0.77,0.62,0.38
G19157,19157,0.16,0.09,0.37,0.36,0.15
G19167,19167,0.13,0.09,0.62,0.49,0.22
G19191,19191,0.04,0.03,0.1,0.18,0.01
G19193,19193,0.43,0.67,0.82,0.79,0.7
G20003,20003,0.35,0.63,0.04,0.25,0.23
G20005,20005,0.46,0.32,0.29,0.82,0.49
G20021,20021,0.52,0.83,0.17,0.22,0.38
G20023,20023,0.12,0.58,0.49,0.01,0.1
G20033,20033,0.05,0.52,0.11,0.14,0.08
G20039,20039,0.29,0.42,0.33,0.06,0.16
G20043,20043,0.39,0.14,0.14,0.43,0.23
G20045,20045,0.3,0.01,0.59,0.7,0.22
G20047,20047,0.28,0.4,0.82,0.28,0.37
