origin,count within 60,count within 30,minutes
6114,43,20,0.0
6117,6,3,0.0
6118,7,7,0.0
6119,51,3,0.0
6120,37,6,0.0
6160,81,36,18.04
6226,11,11,0.0
6231,2,2,0.0
6238,2,2,0.0
6239,3,3,0.0
6241,3,3,0.0
6250,5,5,0.0
6260,1,1,0.0
6268,3,3,0.0
6269,3,3,9.29
6281,1,1,0.0
6320,23,21,0.0
6331,1,1,0.0
6332,1,0,48.69
6333,1,1,0.0
6339,1,1,0.0
6340,5,5,0.0
6351,2,2,0.0
6353,2,0,55.83
6354,1,1,0.0
6355,2,2,0.0
6357,3,3,0.0
6359,1,1,0.0
6360,15,15,0.0
6371,1,1,0.0
6378,2,2,0.0
6379,3,0,46.78
6382,2,2,0.0
6385,23,2,0.0
6401,14,5,0.0
6405,8,8,0.0
6409,2,0,36.98
6410,10,10,0.0
6413,1,1,0.0
6415,2,2,0.0
6416,1,1,0.0
6417,1,0,50.18
6418,14,9,0.0
6423,1,1,0.0
6426,2,1,0.0
6437,2,2,0.0
6438,1,1,0.0
6442,2,1,0.0
6443,9,9,0.0
6444,6,0,50.01
6450,17,15,0.0
6451,17,2,0.0
6457,34,34,0.0
6460,14,12,0.0
6461,14,2,0.0
6467,6,6,19.25
6469,1,1,0.0
6470,4,4,0.0
6473,8,8,0.0
6475,3,3,0.0
6477,3,3,0.0
6478,1,1,0.0
6479,7,6,0.0
6480,3,3,0.0
6481,34,0,51.99
6482,1,1,0.0
6483,1,1,0.0
6484,4,4,0.0
6488,4,4,0.0
6489,7,1,0.0
6492,9,9,0.0
6510,186,172,0.0
6511,175,109,0.0
6512,11,11,0.0
6513,34,11,0.0
6514,1,1,0.0
6515,112,3,0.0
6516,106,43,0.0
6517,2,2,0.0
6518,4,4,0.0
6519,215,86,0.0
6525,2,2,0.0
6604,20,2,0.0
6605,10,5,0.0
6606,11,6,0.0
6607,12,0,31.45
6608,19,6,0.0
6610,20,6,0.0
6611,2,2,0.0
6614,16,8,0.0
6615,16,4,0.0
6702,36,13,0.0
6704,29,2,0.0
6705,1,1,0.0
6706,35,7,0.0
6708,36,15,0.0
6710,36,14,0.0
6716,5,5,0.0
6754,1,1,0.0
6770,2,2,0.0
6778,2,0,56.8
6779,3,0,47.46
6782,2,0,53.38
6787,2,2,0.0
6790,12,12,0.0
6795,3,3,0.0
6798,2,2,0.0
6801,2,2,0.0
6804,2,2,0.0
6807,11,0,51.97
6810,17,16,0.0
6811,17,1,0.0
6812,1,1,0.0
6820,3,2,0.0
6824,12,11,0.0
6825,25,1,0.0
6830,11,10,0.0
6831,11,1,0.0
6840,8,8,0.0
6850,16,5,0.0
6851,8,2,0.0
6853,8,0,57.73
6854,14,8,0.0
6855,16,1,0.0
6856,16,13,25.88
6870,6,1,0.0
6877,2,2,0.0
6878,1,1,19.7
6880,13,13,0.0
6890,11,0,48.89
6896,2,2,0.0
6897,2,2,0.0
6901,14,6,0.0
6902,14,5,0.0
6903,1,1,0.0
6905,13,7,0.0
6906,15,2,0.0
6907,8,0,38.11
7001,13,3,0.0
7002,22,18,0.0
7003,24,6,0.0
7004,2,2,0.0
7005,2,2,0.0
7006,4,3,0.0
7008,2,2,0.0
7009,5,3,0.0
7010,20,3,0.0
7011,62,8,0.0
7012,42,6,0.0
7013,48,20,0.0
7014,21,1,0.0
7016,8,2,0.0
7017,79,16,0.0
7018,78,14,0.0
7020,12,3,0.0
7021,7,0,36.5
7022,20,1,19.05
7023,17,9,0.0
7024,67,7,0.0
7026,16,2,0.0
7027,7,7,20.66
7028,20,12,0.0
7029,85,4,25.28
7030,191,11,0.0
7031,14,1,0.0
7032,35,4,0.0
7033,21,0,38.87
7034,9,0,46.81
7035,1,1,0.0
7036,9,1,0.0
7039,18,15,0.0
7040,40,4,0.0
7041,32,4,0.0
7042,15,7,0.0
7043,28,2,0.0
7044,13,1,0.0
7045,2,2,0.0
7046,2,0,45.52
7047,38,8,0.0
7050,28,9,0.0
7052,12,11,0.0
7054,7,7,0.0
7055,41,2,0.0
7057,17,2,27.41
7059,2,2,0.0
7060,7,3,0.0
7062,12,2,0.0
7063,6,3,28.03
7064,7,0,30.85
7065,7,1,0.0
7066,3,0,45.48
7067,8,2,0.0
7068,18,3,0.0
7069,3,0,56.23
7070,12,1,0.0
7071,15,6,0.0
7072,12,2,0.0
7073,13,3,15.79
7074,4,1,28.17
7075,4,3,0.0
7076,14,8,0.0
7077,16,0,33.49
7078,6,2,0.0
7079,27,2,0.0
7080,5,2,0.0
7081,17,4,0.0
7082,3,0,37.31
7083,42,18,0.0
7086,166,5,16.91
7087,149,3,0.0
7088,43,8,22.25
7090,15,5,0.0
7092,9,0,49.42
7093,126,8,0.0
7094,6,3,0.0
7095,19,5,0.0
7102,97,69,0.0
7103,117,62,0.0
7104,85,8,0.0
7105,76,22,0.0
7106,87,20,0.0
7107,86,8,0.0
7108,97,59,22.68
7109,23,3,0.0
7110,26,5,0.0
7111,103,12,0.0
7112,86,9,0.0
7114,92,3,0.0
7201,16,10,23.84
7202,18,10,0.0
7203,14,2,22.85
7204,32,1,0.0
7205,45,0,37.05
7206,16,6,0.0
7208,35,10,0.0
7302,232,33,0.0
7304,48,32,0.0
7305,61,12,0.0
7306,56,39,0.0
7307,80,11,0.0
7310,232,12,0.0
7311,338,26,13.1
7401,4,0,47.71
7403,1,0,53.3
7407,34,2,0.0
7410,25,9,0.0
7416,2,0,54.66
