origin,count within 60,count within 30,minutes
4756,1,1,0.0
4757,1,0,43.54
4761,2,0,55.61
4769,1,1,0.0
4773,1,0,54.94
4776,1,1,0.0
4777,1,0,37.77
4781,2,0,46.03
4785,2,2,0.0
4841,13,3,0.0
4843,13,10,0.0
4847,7,0,54.55
4854,3,3,25.18
4856,13,10,0.0
4858,3,0,37.44
4861,11,0,40.5
4863,2,2,0.0
4864,1,1,0.0
4901,18,17,0.0
4910,5,5,0.0
4911,2,0,56.07
4915,13,13,0.0
4917,1,1,0.0
4918,1,0,33.72
4921,1,1,0.0
4922,3,0,59.0
4926,22,5,29.62
4928,3,0,47.33
4929,1,0,31.36
4930,1,1,0.0
4933,2,0,30.05
4937,18,0,41.19
4938,4,4,0.0
4939,1,0,48.4
4943,1,1,0.0
4947,2,2,0.0
4950,2,2,0.0
4951,1,0,46.67
4952,13,0,56.57
4953,2,2,0.0
4956,1,0,53.67
4957,1,1,0.0
4962,17,0,31.54
4963,18,1,0.0
4965,1,0,47.53
4966,1,0,52.44
4967,1,1,0.0
4969,2,0,45.54
4971,1,0,57.83
4974,13,0,42.13
4975,17,0,41.64
4976,6,6,0.0
4978,1,0,48.18
4983,1,1,0.0
4984,5,0,46.15
4986,3,0,45.52
4987,2,0,52.01
4988,2,2,0.0
4992,5,4,24.76
5001,50,8,0.0
5032,1,1,0.0
5033,4,4,0.0
5036,1,1,0.0
5037,2,0,44.6
5041,1,0,42.82
5042,3,0,46.39
5051,2,0,50.13
5052,8,0,38.08
5055,14,0,32.1
5059,8,0,41.64
5060,9,9,0.0
5061,1,0,57.09
5069,3,0,36.69
5081,6,3,0.0
5084,8,0,48.91
5089,2,2,0.0
5101,2,2,0.0
5143,5,0,53.14
5150,5,5,27.69
5151,5,0,57.98
5154,2,0,39.57
5156,6,5,0.0
5158,2,0,40.78
5201,10,9,0.0
5250,2,2,0.0
5251,2,0,54.86
5252,2,0,37.07
5253,2,0,34.36
5254,2,2,0.0
5255,2,2,0.0
5257,10,0,33.43
5260,4,0,33.07
5261,10,1,0.0
5262,9,0,49.35
5301,16,15,0.0
5345,1,0,41.54
5346,2,2,0.0
5350,1,0,58.7
5352,6,0,46.44
5353,1,1,0.0
5359,1,0,59.81
5361,1,0,47.61
5401,58,51,0.0
5403,59,50,0.0
5404,59,55,0.0
5405,58,50,0.0
5408,56,38,0.0
5439,59,40,11.0
5443,7,7,0.0
5445,2,0,59.93
5446,56,6,0.0
5447,2,0,37.66
5450,2,2,0.0
5452,14,1,0.0
5454,1,1,0.0
5455,8,0,52.52
5456,2,0,36.35
5459,8,0,42.68
5461,2,2,0.0
5465,1,0,54.37
5468,3,3,0.0
5472,14,0,46.68
5477,2,0,42.99
5478,16,8,0.0
5481,8,0,43.3
5482,50,0,34.49
5485,10,0,58.37
5488,16,8,0.0
5491,2,2,0.0
5494,1,0,50.87
5495,53,2,0.0
5602,14,11,0.0
5641,14,3,0.0
5649,3,0,38.1
5651,15,1,27.21
5654,3,3,26.47
5655,7,0,42.12
5657,7,0,55.05
5658,1,0,49.81
5661,7,7,0.0
5667,1,1,0.0
5672,4,2,0.0
5676,2,0,35.36
5677,4,2,0.0
5678,3,3,27.48
5679,4,0,40.46
5681,3,0,41.98
5701,10,10,0.0
5732,1,1,28.31
5733,3,3,0.0
5735,1,1,0.0
5736,10,10,22.14
5740,7,7,28.34
5743,1,0,56.85
5753,7,7,0.0
5759,10,0,44.61
5761,1,0,44.83
5763,10,0,54.03
5764,1,0,57.83
5765,10,0,43.9
5769,7,0,47.74
5774,1,0,37.61
5775,1,1,0.0
5777,10,0,44.38
5819,16,14,0.0
5822,1,0,50.35
5824,16,2,0.0
5825,3,0,42.89
5828,14,0,48.62
5829,3,0,45.4
5836,3,0,38.35
5843,3,3,0.0
5845,1,0,59.53
5850,14,0,59.08
5855,3,3,0.0
5857,3,0,39.67
5860,1,1,0.0
5904,1,0,54.35
5905,1,1,0.0
5906,4,0,55.07
6001,22,6,0.0
6002,103,26,0.0
6010,55,18,0.0
6013,32,0,46.82
6016,30,0,31.47
6018,6,4,0.0
6019,8,1,0.0
6020,8,1,9.84
6022,8,1,23.6
6023,105,4,22.74
6024,4,4,0.0
6026,1,0,49.24
6029,20,9,0.0
6031,4,0,40.53
6032,93,11,0.0
6033,57,7,0.0
6035,2,0,40.88
6037,74,28,0.0
6039,5,2,0.0
6040,51,19,0.0
6042,55,21,0.0
6043,25,0,40.93
6051,137,33,0.0
6052,104,36,0.0
6053,125,30,0.0
6057,13,0,43.62
6058,4,0,34.85
6060,1,0,49.76
6061,1,0,34.06
6062,69,30,0.0
6063,1,0,58.73
6066,30,9,0.0
6067,129,21,0.0
6068,6,0,30.16
6069,3,1,0.0
6070,17,1,0.0
6071,35,1,0.0
6073,39,2,0.0
6074,48,10,0.0
6076,2,1,0.0
6078,13,2,0.0
6081,11,1,28.36
6082,27,10,0.0
6084,15,0,40.09
6085,40,0,30.32
6088,19,0,48.27
6089,36,1,26.69
6090,1,0,44.13
6092,14,1,25.52
6093,3,1,0.0
6095,60,3,0.0
6096,15,0,39.13
6103,152,103,0.0
6105,158,93,0.0
6106,155,99,0.0
6107,160,51,0.0
6108,151,19,0.0
6109,164,62,0.0
6110,181,71,0.0
6111,151,28,0.0
6112,130,90,0.0
6114,155,91,0.0
6117,141,58,0.0
6118,139,18,0.0
6119,167,93,0.0
6120,130,84,0.0
6160,145,93,6.9
6226,21,11,0.0
6231,4,2,0.0
6232,4,0,40.71
6234,8,3,28.59
6235,16,0,42.31
6237,15,0,36.71
6238,21,2,0.0
6239,7,3,0.0
6241,7,3,0.0
6242,1,0,51.83
6243,8,3,26.42
6247,1,0,51.02
6248,2,0,34.9
6249,13,0,48.45
6250,21,5,0.0
6254,26,0,49.0
6255,6,0,38.72
6256,16,0,33.3
6259,5,0,46.75
6260,5,1,0.0
6262,16,3,23.31
6263,7,6,27.01
6264,12,0,34.45
6266,16,11,28.08
6268,21,3,0.0
6269,21,3,4.92
6277,12,0,36.93
6279,6,0,40.21
6280,17,11,25.12
6281,11,1,0.0
6282,1,0,30.13
6320,34,23,0.0
6330,18,0,44.19
6331,2,1,0.0
6332,5,1,18.27
6333,28,1,0.0
6334,15,0,43.8
6335,29,0,36.89
6336,17,0,49.7
6339,26,1,0.0
6340,31,5,0.0
6350,3,0,35.15
6351,2,2,0.0
6353,38,2,18.77
6354,5,1,0.0
6355,10,4,0.0
6357,28,3,0.0
6359,7,1,0.0
6360,17,15,0.0
6365,18,0,37.46
6370,2,0,39.48
6371,5,1,0.0
6373,1,0,39.11
6374,4,1,26.3
6375,30,21,27.38
6376,7,3,26.91
6377,5,1,26.89
6378,9,4,0.0
6379,8,3,17.15
